Folder,Base,Mixed,BaseValue,MixedValue,Difference
10272_results,Top5Similarity,Top5Similarity+Max Comp,100,35,-65
10272_results,Top5Similarity,Top5Similarity+Min Comp,100,33,-67
10272_results,Top5Similarity,Top5Similarity+Centroids_saturation_high,100,73,-27
10272_results,Top5Similarity,Top5Similarity+Centroids_saturation_medium,100,71,-29
10272_results,Top5Similarity,Top5Similarity+Centroids_saturation_low,100,58,-42
10272_results,Top5Similarity,Top5Similarity+Random,100,67,-33
10272_results,Top5Similarity,Top5Similarity+LHS,100,71,-29
10272_results,Top5Similarity,Top5Similarity+K-Means,100,52,-48
10272_results,Top5Similarity,Top5Similarity+Farthest,100,100,0
10272_results,Top5Similarity,Top5Similarity+ODAL,100,74,-26
10272_results,Top5Similarity,Top5Similarity+K-Center,100,45,-55
10272_results,Max Comp,Max Comp+Top5Similarity,100,35,-65
10272_results,Max Comp,Max Comp+Min Comp,100,40,-60
10272_results,Max Comp,Max Comp+Centroids_saturation_high,100,84,-16
10272_results,Max Comp,Max Comp+Centroids_saturation_medium,100,100,0
10272_results,Max Comp,Max Comp+Centroids_saturation_low,100,100,0
10272_results,Max Comp,Max Comp+Random,100,100,0
10272_results,Max Comp,Max Comp+LHS,100,100,0
10272_results,Max Comp,Max Comp+K-Means,100,42,-58
10272_results,Max Comp,Max Comp+Farthest,100,100,0
10272_results,Max Comp,Max Comp+ODAL,100,38,-62
10272_results,Max Comp,Max Comp+K-Center,100,60,-40
10272_results,Min Comp,Min Comp+Top5Similarity,37,33,-4
10272_results,Min Comp,Min Comp+Max Comp,37,40,3
10272_results,Min Comp,Min Comp+Centroids_saturation_high,37,46,9
10272_results,Min Comp,Min Comp+Centroids_saturation_medium,37,46,9
10272_results,Min Comp,Min Comp+Centroids_saturation_low,37,100,63
10272_results,Min Comp,Min Comp+Random,37,42,5
10272_results,Min Comp,Min Comp+LHS,37,41,4
10272_results,Min Comp,Min Comp+K-Means,37,50,13
10272_results,Min Comp,Min Comp+Farthest,37,37,0
10272_results,Min Comp,Min Comp+ODAL,37,100,63
10272_results,Min Comp,Min Comp+K-Center,37,40,3
10272_results,Centroids_saturation_high,Centroids_saturation_high+Top5Similarity,100,73,-27
10272_results,Centroids_saturation_high,Centroids_saturation_high+Max Comp,100,84,-16
10272_results,Centroids_saturation_high,Centroids_saturation_high+Min Comp,100,46,-54
10272_results,Centroids_saturation_high,Centroids_saturation_high+Centroids_saturation_medium,100,100,0
10272_results,Centroids_saturation_high,Centroids_saturation_high+Centroids_saturation_low,100,100,0
