ID,x,y,Ag,Au,Pd,Resistance
1,-22500,-40500,0.5962999999999999,0.22139999999999999,0.1823,0.3514097133333333
2,-18000,-40500,0.5558444155584442,0.2432756724327567,0.20087991200879912,0.3514269933333333
3,-13500,-40500,0.5162,0.2682,0.21559999999999999,0.3748914399999999
4,-9000,-40500,0.4747,0.2925,0.2328,0.3929686766666666
5,-4500,-40500,0.4385,0.3122,0.2493,0.40649309
6,0,-40500,0.4036403640364036,0.3379337933793379,0.2584258425842584,0.41355592
7,4500,-40500,0.36253625362536257,0.36543654365436545,0.27202720272027203,0.4149772266666666
8,9000,-40500,0.3207,0.3889,0.2904,0.4117438133333333
9,13500,-40500,0.2909,0.4011,0.308,0.40483439
10,18000,-40500,0.2644,0.4172,0.3184,0.39631807
11,22500,-40500,0.24227577242275775,0.4301569843015699,0.32756724327567244,0.39164976
12,-27000,-36000,0.6397999999999999,0.1863,0.1739,0.2772366366666666
13,-22500,-36000,0.603039696030397,0.2114788521147885,0.18548145185481452,0.3035197233333333
14,-18000,-36000,0.5655434456554345,0.22997700229977,0.2044795520447955,0.3299673466666666
15,-13500,-36000,0.5207999999999999,0.2561,0.2231,0.3546399433333333
16,-9000,-36000,0.4782,0.2832,0.2386,0.3710058466666667
17,-4500,-36000,0.4416558344165583,0.30246975302469753,0.2558744125587441,0.38988739
18,0,-36000,0.4026597340265974,0.32576742325767427,0.27157284271572846,0.3990799633333333
19,4500,-36000,0.36166383361663834,0.3450654934506549,0.2932706729327067,0.4025050966666666
20,9000,-36000,0.3245,0.3703,0.30519999999999997,0.4017003633333333
21,13500,-36000,0.297,0.3897,0.31329999999999997,0.3964707533333333
22,18000,-36000,0.2634,0.40880000000000005,0.32780000000000004,0.3878042933333333
23,22500,-36000,0.2408,0.4172,0.342,0.3789350633333333
24,27000,-36000,0.2132786721327867,0.43315668433156684,0.35356464353564643,0.37320815
25,-31500,-31500,0.6776322367763223,0.15828417158284172,0.16408359164083594,0.2372932433333333
26,-27000,-31500,0.6431,0.1827,0.17420000000000002,0.2610017133333333
27,-22500,-31500,0.6001,0.20170000000000002,0.19820000000000002,0.2873951333333334
28,-18000,-31500,0.5647,0.2266,0.2087,0.3140314833333333
29,-13500,-31500,0.5361,0.24309999999999998,0.2208,0.3382291833333333
30,-9000,-31500,0.49560000000000004,0.2662,0.2382,0.3586211733333334
31,-4500,-31500,0.44554455445544555,0.291929192919292,0.2625262526252625,0.37509968
32,0,-31500,0.41100000000000003,0.3116,0.2774,0.38569177
33,4500,-31500,0.37070000000000003,0.3322,0.29710000000000003,0.3912258066666666
34,9000,-31500,0.33349999999999996,0.35669999999999996,0.30979999999999996,0.3913412133333333
35,13500,-31500,0.3007,0.3713,0.32799999999999996,0.38777034
36,18000,-31500,0.2743,0.3796,0.3461,0.3810919966666667
37,22500,-31500,0.24170000000000003,0.39490000000000003,0.36340000000000006,0.3731003866666667
38,27000,-31500,0.21780000000000002,0.414,0.3682,0.3662003566666666
39,31500,-31500,0.19198080191980804,0.42155784421557846,0.38646135386461355,0.3646288166666666
40,-36000,-27000,0.7195719571957195,0.1375137513751375,0.1429142914291429,0.2010115666666666
41,-31500,-27000,0.6831,0.1549,0.162,0.2229929266666666
42,-27000,-27000,0.6454000000000001,0.17329999999999998,0.1813,0.2474631266666666
43,-22500,-27000,0.6171382861713829,0.19068093190680935,0.19218078192180782,0.27373724
44,-18000,-27000,0.5758,0.2112,0.213,0.2999708466666667
45,-13500,-27000,0.5327467253274674,0.23627637236276375,0.23097690230976906,0.3245371266666667
46,-9000,-27000,0.4851,0.2579,0.257,0.34573629
47,-4500,-27000,0.44299999999999995,0.2836,0.2734,0.3632919
48,0,-27000,0.4089,0.3016,0.2895,0.3751645999999999
49,4500,-27000,0.3747625237476252,0.31886811318868113,0.3063693630636936,0.3820910366666667
50,9000,-27000,0.3321,0.3433,0.3246,0.38397061
51,13500,-27000,0.30219999999999997,0.3588,0.33899999999999997,0.3816629966666667
52,18000,-27000,0.2668,0.3713,0.3619,0.3767741733333333
53,22500,-27000,0.2433,0.38020000000000004,0.3765,0.3705341666666666
54,27000,-27000,0.2125,0.3978,0.3897,0.3644065066666667
55,31500,-27000,0.2029,0.39909999999999995,0.39799999999999996,0.3585335799999999
56,36000,-27000,0.16870000000000002,0.4147,0.41659999999999997,0.35525259
57,-40500,-22500,0.7537,0.1119,0.1344,0.1712097033333333
58,-36000,-22500,0.7225,0.1328,0.1447,0.1905077133333333
59,-31500,-22500,0.6859999999999999,0.14800000000000002,0.166,0.21243051
60,-27000,-22500,0.6585,0.1609,0.18059999999999998,0.2363960533333333
61,-22500,-22500,0.6208,0.1825,0.1967,0.2625004266666667
62,-18000,-22500,0.5758,0.2016,0.22260000000000002,0.2884531633333333
63,-13500,-22500,0.5342,0.2249,0.2409,0.3128552366666666
