ID,x,y,Ag,Au,Pd,Pt,Rh,Resistance
1,-22500,-40500,0.2607,0.2151,0.0766,0.053399999999999996,0.3942,1.0879440333333332
2,-18000,-40500,0.23559999999999998,0.2364,0.08310000000000001,0.0521,0.39280000000000004,1.0877629
3,-13500,-40500,0.2348,0.2581,0.0824,0.050300000000000004,0.37439999999999996,1.0889367
4,-9000,-40500,0.2147,0.2796,0.0986,0.0509,0.35619999999999996,1.089555066666667
5,-4500,-40500,0.1978,0.31120000000000003,0.1091,0.047599999999999996,0.3343,1.0880355333333334
6,0,-40500,0.1819,0.34049999999999997,0.1155,0.0464,0.3157,1.0828046
7,4500,-40500,0.1674,0.3714,0.126,0.0406,0.29460000000000003,1.0745019333333334
8,9000,-40500,0.1563,0.38799999999999996,0.1331,0.04190000000000001,0.2807,1.0626404333333332
9,13500,-40500,0.1392139213921392,0.4211421142114211,0.1428142814281428,0.0315031503150315,0.26532653265326533,1.0468338333333334
10,18000,-40500,0.1299,0.44719999999999993,0.1513,0.033999999999999996,0.23759999999999998,1.0300494
11,22500,-40500,0.11561156115611561,0.4676467646764676,0.163016301630163,0.0294029402940294,0.2243224322432243,1.0240062666666667
12,-27000,-36000,0.28800000000000003,0.1923,0.0723,0.059800000000000006,0.3876,1.0691971666666666
13,-22500,-36000,0.2713,0.2076,0.07690000000000001,0.0602,0.384,1.0687655
14,-18000,-36000,0.25452545254525455,0.22982298229822984,0.09190919091909192,0.05550555055505551,0.36823682368236826,1.069109766666667
15,-13500,-36000,0.237,0.2589,0.09390000000000001,0.053399999999999996,0.3568,1.0690673666666666
16,-9000,-36000,0.2307769223077692,0.2844715528447155,0.1024897510248975,0.0541945805419458,0.32806719328067196,1.0670233333333334
17,-4500,-36000,0.2086,0.314,0.1063,0.053399999999999996,0.3177,1.0637404333333331
18,0,-36000,0.1945,0.33659999999999995,0.1209,0.0495,0.2985,1.0562506333333337
19,4500,-36000,0.17329999999999998,0.36729999999999996,0.139,0.042199999999999994,0.2782,1.0460586333333333
20,9000,-36000,0.1572157215721572,0.38303830383038295,0.1501150115011501,0.048604860486048604,0.261026102610261,1.0324615333333331
21,13500,-36000,0.1448,0.4199,0.1563,0.0361,0.2429,1.0149285
22,18000,-36000,0.1384,0.4496,0.1595,0.0349,0.21760000000000002,0.9929428866666666
23,22500,-36000,0.124,0.47740000000000005,0.16449999999999998,0.036000000000000004,0.1981,0.9681628966666668
24,27000,-36000,0.1151,0.48460000000000003,0.1728,0.0294,0.1981,0.94504118
25,-31500,-31500,0.313,0.1653,0.0716,0.0654,0.3847,1.0579400666666667
26,-27000,-31500,0.303,0.184,0.07719999999999999,0.0629,0.3729,1.0541798333333334
27,-22500,-31500,0.2876,0.20620000000000002,0.08650000000000001,0.061500000000000006,0.3582,1.054388366666667
28,-18000,-31500,0.26489999999999997,0.22579999999999997,0.0863,0.061799999999999994,0.36119999999999997,1.0536473333333334
29,-13500,-31500,0.24607539246075394,0.25357464253574646,0.10818918108189182,0.06119388061193881,0.3309669033096691,1.0515841666666668
30,-9000,-31500,0.23070000000000002,0.2822,0.1134,0.0579,0.31579999999999997,1.0485582666666666
31,-4500,-31500,0.20932093209320932,0.3049304930493049,0.12711271127112714,0.06090609060906091,0.29772977297729775,1.0424047333333333
32,0,-31500,0.1977197719771977,0.3388338833883388,0.1237123712371237,0.053505350535053495,0.28622862286228623,1.0334341
33,4500,-31500,0.1824182418241824,0.3674367436743674,0.1392139213921392,0.0516051605160516,0.2593259325932593,1.0216333666666666
