ID,x,y,Au,Pd,Pt,Rh,Ru,Resistance
1,-22500,-40500,0.1784,0.0821,0.0645,0.40619999999999995,0.2688,0.8771656066666667
2,-18000,-40500,0.1946,0.0867,0.06,0.39020000000000005,0.2685,0.8770689533333333
3,-13500,-40500,0.2072,0.0942,0.061399999999999996,0.3669,0.2703,0.8835303299999999
4,-9000,-40500,0.23107689231076894,0.09869013098690131,0.06169383061693831,0.33796620337966204,0.27057294270572946,0.89382951
5,-4500,-40500,0.2477,0.0999,0.0564,0.3185,0.2775,0.9016158266666668
6,0,-40500,0.26817318268173185,0.11608839116088392,0.053394660533946606,0.29057094290570945,0.27177282271772824,0.9112727866666668
7,4500,-40500,0.28550000000000003,0.1222,0.0509,0.2699,0.27149999999999996,0.92105595
8,9000,-40500,0.31196880311968805,0.12358764123587641,0.04649535046495351,0.24887511248875116,0.26907309269073093,0.9309390966666666
9,13500,-40500,0.324032403240324,0.1346134613461346,0.0442044204420442,0.225022502250225,0.2721272127212721,0.9401137233333332
10,18000,-40500,0.3455,0.1349,0.0431,0.2057,0.2708,0.9516266333333332
11,22500,-40500,0.3623362336233623,0.14571457145714573,0.039703970397039705,0.18161816181618162,0.2706270627062706,0.9770711133333332
12,-27000,-36000,0.16728327167283275,0.07529247075292472,0.07899210078992101,0.42655734426557346,0.25187481251874816,0.87009119
13,-22500,-36000,0.18558144185581443,0.08379162083791622,0.07119288071192882,0.4089591040895911,0.25047495250474955,0.8716639399999999
14,-18000,-36000,0.19308069193080693,0.0994900509949005,0.07319268073192682,0.3823617638236177,0.25187481251874816,0.87792152
15,-13500,-36000,0.2162,0.1007,0.068,0.34950000000000003,0.2656,0.8863335966666667
16,-9000,-36000,0.2377,0.10769999999999999,0.0666,0.3306,0.25739999999999996,0.89334278
17,-4500,-36000,0.25649999999999995,0.118,0.062299999999999994,0.30479999999999996,0.25839999999999996,0.9003572299999999
18,0,-36000,0.27172717271727176,0.12301230123012302,0.06190619061906191,0.28052805280528054,0.26282628262826285,0.90782252
19,4500,-36000,0.28909999999999997,0.13179999999999997,0.0607,0.2517,0.2667,0.9158293466666668
20,9000,-36000,0.30656934306569344,0.14208579142085795,0.05299470052994701,0.24157584241575844,0.25677432256774324,0.9235461266666668
21,13500,-36000,0.32289999999999996,0.14300000000000002,0.049100000000000005,0.22260000000000002,0.26239999999999997,0.93335816
22,18000,-36000,0.34606539346065396,0.14728527147285272,0.04829517048295171,0.19548045195480454,0.26287371262873716,0.9416745733333334
23,22500,-36000,0.3609,0.15219999999999997,0.0423,0.1851,0.25949999999999995,0.9491556933333332
24,27000,-36000,0.38,0.1617,0.0358,0.16690000000000002,0.2556,0.9714457966666666
25,-31500,-31500,0.15441544154415443,0.0819081908190819,0.08700870087008701,0.4383438343834383,0.23832383238323832,0.8747746466666667
26,-27000,-31500,0.1705,0.0922,0.0866,0.4111,0.2396,0.8734099933333332
27,-22500,-31500,0.1820817918208179,0.0977902209779022,0.0851914808519148,0.3847615238476152,0.2501749825017498,0.8782509566666667
28,-18000,-31500,0.19899999999999998,0.1038,0.0803,0.37170000000000003,0.2452,0.8833122133333333
29,-13500,-31500,0.2209220922092209,0.10891089108910891,0.0769076907690769,0.34423442344234423,0.249024902490249,0.8887616833333334
30,-9000,-31500,0.2346,0.1195,0.07730000000000001,0.319,0.24960000000000002,0.8945091433333334
31,-4500,-31500,0.25429999999999997,0.12480000000000001,0.07440000000000001,0.30079999999999996,0.2457,0.9002952233333333
32,0,-31500,0.2803719628037196,0.12998700129987,0.06779322067793221,0.2785721427857214,0.2432756724327567,0.9064145166666666
33,4500,-31500,0.289,0.1375,0.0692,0.25329999999999997,0.251,0.91352933
34,9000,-31500,0.3104,0.14150000000000001,0.06309999999999999,0.23440000000000003,0.2506,0.92068081
35,13500,-31500,0.3286328632863287,0.15511551155115513,0.05840584058405841,0.21182118211821185,0.2460246024602461,0.9292040233333334
36,18000,-31500,0.34856514348565143,0.16668333166683333,0.0532946705329467,0.19118088191180882,0.24027597240275972,0.9363498433333334
37,22500,-31500,0.3578,0.17129999999999998,0.0518,0.1745,0.2446,0.9415278766666668
38,27000,-31500,0.3852385238523852,0.1762176217621762,0.0459045904590459,0.1598159815981598,0.23282328232823282,0.9504344833333334
39,31500,-31500,0.40090000000000003,0.1839,0.0464,0.1384,0.2304,0.9644498433333334
40,-36000,-27000,0.1401,0.0864,0.1001,0.4521,0.2213,0.8686839533333334
41,-31500,-27000,0.1545154515451545,0.09550955095509552,0.0995099509950995,0.42994299429943,0.22052205220522053,0.8746296066666666
42,-27000,-27000,0.1727827217278272,0.1013898610138986,0.09749025097490249,0.3937606239376062,0.2345765423457654,0.88015926
43,-22500,-27000,0.1846630673865227,0.10797840431913619,0.09378124375124976,0.380623875224955,0.23295340931813638,0.88369681
44,-18000,-27000,0.204,0.1108,0.0882,0.35850000000000004,0.23850000000000002,0.8868322166666667
45,-13500,-27000,0.21802180218021805,0.12111211121112112,0.09190919091909192,0.33083308330833083,0.23812381238123811,0.8911337833333334
46,-9000,-27000,0.2396760323967603,0.12888711128887112,0.0867913208679132,0.3126687331266873,0.231976802319768,0.89636239
47,-4500,-27000,0.25542554255425537,0.1336133613361336,0.0789078907890789,0.29272927292729267,0.2393239323932393,0.90026191
48,0,-27000,0.2771,0.1441,0.07769999999999999,0.2666,0.2345,0.90499019
49,4500,-27000,0.2962000000000001,0.15710000000000002,0.07150000000000001,0.23720000000000002,0.23800000000000004,0.9116215433333332
50,9000,-27000,0.3086,0.1604,0.0717,0.2224,0.2369,0.9176705166666668
51,13500,-27000,0.33409999999999995,0.162,0.06570000000000001,0.2027,0.23550000000000001,0.9241725066666666
52,18000,-27000,0.3472,0.17489999999999997,0.0645,0.1855,0.2279,0.9306208233333332
53,22500,-27000,0.359,0.1848,0.055999999999999994,0.1699,0.2303,0.93632321
54,27000,-27000,0.371,0.1931,0.0579,0.1483,0.2297,0.9406605533333334
55,31500,-27000,0.38630000000000003,0.2011,0.048,0.14029999999999998,0.2243,0.9464665166666666
56,36000,-27000,0.41375862413758624,0.202979702029797,0.0454954504549545,0.12148785121487851,0.2162783721627837,0.96000234
57,-40500,-22500,0.1306130613061306,0.0959095909590959,0.1147114711471147,0.4619461946194619,0.1968196819681968,0.8828031000000001
58,-36000,-22500,0.145,0.1008,0.1177,0.4322,0.2043,0.87884279
59,-31500,-22500,0.1607,0.1,0.11109999999999999,0.4154,0.21280000000000002,0.8809347466666666
60,-27000,-22500,0.17318268173182683,0.10318968103189682,0.10778922107789221,0.39646035396460355,0.21937806219378064,0.8855508733333333
