ID,x,y,Ru,Rh,Pd,Ir,Pt,Resistance
1,-22500,-40500,0.555540277,1.375099695,0.121008773,0.467533896,0.231016749,0.51629626
2,-18000,-40500,0.440507073,1.199158142,0.149282952,0.45274338,0.205569967,0.51613383
3,-13500,-40500,0.392407575,1.027314213,0.149908512,0.451930072,0.182976566,0.520969877
4,-9000,-40500,0.330919957,0.890475522,0.162451615,0.46328794,0.158440464,0.52773861
5,-4500,-40500,0.296168209,0.789168706,0.130608341,0.469086293,0.154522544,0.535625257
6,0,-40500,0.253143051,0.677879715,0.154604145,0.487597689,0.125722052,0.543709913
7,4500,-40500,0.224151539,0.598263615,0.157853197,0.481452249,0.116811365,0.552260343
8,9000,-40500,0.185703758,0.535003685,0.156226971,0.484893147,0.112011791,0.562421637
9,13500,-40500,0.176917761,0.457498272,0.154803041,0.487906012,0.105044921,0.574471177
10,18000,-40500,0.147039688,0.41509434,0.144437215,0.499674691,0.094990241,0.585289693
11,22500,-40500,0.120615385,0.365538462,0.156307692,0.503384615,0.083692308,0.60648664
12,-27000,-36000,0.583058306,1.331133113,0.162266227,0.429042904,0.244774477,0.507307023
13,-22500,-36000,0.489464281,1.160030347,0.161523213,0.420939282,0.215364284,0.51265353
14,-18000,-36000,0.432098765,1.020723104,0.145502646,0.401234568,0.205026455,0.518138457
15,-13500,-36000,0.371031467,0.876436493,0.156434889,0.413148553,0.188524097,0.523821283
16,-9000,-36000,0.313306303,0.779579801,0.151124217,0.425727976,0.171396978,0.530251987
17,-4500,-36000,0.28541334,0.684652237,0.15799667,0.417926676,0.152900003,0.537129213
18,0,-36000,0.236738688,0.606051041,0.164138824,0.430864412,0.140464955,0.544398197
19,4500,-36000,0.2125524,0.531381,0.147605833,0.457578083,0.125464958,0.552566453
20,9000,-36000,0.196270854,0.464415541,0.167244882,0.443682705,0.110575129,0.56183822
21,13500,-36000,0.169165105,0.407297522,0.160056215,0.465854674,0.098896523,0.571771503
22,18000,-36000,0.140136941,0.363864338,0.164722369,0.469581679,0.090966084,0.581706367
23,22500,-36000,0.130612245,0.328862974,0.15393586,0.469970845,0.081632653,0.594057173
24,27000,-36000,0.110680686,0.291090205,0.14831212,0.480354178,0.076369673,0.61043524
25,-31500,-31500,0.660047853,1.292593713,0.151260966,0.36027612,0.286020737,0.50894275
26,-27000,-31500,0.533529124,1.147821831,0.154185022,0.362212433,0.249632893,0.511809143
27,-22500,-31500,0.45753503,0.98985944,0.153978135,0.358549086,0.241965641,0.516271543
28,-18000,-31500,0.40632506,0.878702962,0.142113691,0.368294636,0.208166533,0.523348527
29,-13500,-31500,0.352002359,0.766664824,0.169550874,0.372274746,0.18060854,0.527586977
30,-9000,-31500,0.304618631,0.697729825,0.151458426,0.384602294,0.161669106,0.534438333
31,-4500,-31500,0.266721379,0.609197942,0.151510369,0.39298002,0.157823301,0.539868003
32,0,-31500,0.228404704,0.536382659,0.153252188,0.40670773,0.148831452,0.546892847
33,4500,-31500,0.214239312,0.483766189,0.1396011,0.411892355,0.132690155,0.55454139
34,9000,-31500,0.176738142,0.430149448,0.157244964,0.417153996,0.119558155,0.562752987
35,13500,-31500,0.158572113,0.38229401,0.158572113,0.421629728,0.108173225,0.571684867
36,18000,-31500,0.146767618,0.330809552,0.160745486,0.423995341,0.102504368,0.581078037
37,22500,-31500,0.12728138,0.288873394,0.168232781,0.436077077,0.08632998,0.591572757
38,27000,-31500,0.114918292,0.253031102,0.170795994,0.435424354,0.080126516,0.60343772
39,31500,-31500,0.100552031,0.217192386,0.167921891,0.450473097,0.070386421,0.62464074
40,-36000,-27000,0.705875865,1.265613368,0.13786638,0.330879312,0.314335346,0.50803562
41,-31500,-27000,0.586301639,1.121087234,0.144735551,0.323815131,0.274752232,0.510618457
42,-27000,-27000,0.516881117,0.976575388,0.129770153,0.321126141,0.257340812,0.515717337
43,-22500,-27000,0.449194858,0.860288367,0.138368059,0.33489081,0.222592095,0.52039624
44,-18000,-27000,0.382577987,0.766995291,0.143466745,0.34027369,0.206003531,0.525674293
45,-13500,-27000,0.345956213,0.674953788,0.149236013,0.339172758,0.18824088,0.531518247
46,-9000,-27000,0.297797246,0.614502253,0.140232565,0.352944884,0.171745502,0.53686351
47,-4500,-27000,0.25933075,0.545183963,0.154714368,0.361000192,0.153240898,0.542806627
48,0,-27000,0.229069783,0.476078767,0.157312984,0.373963321,0.144893538,0.549449043
49,4500,-27000,0.197769884,0.433272181,0.158736355,0.376023004,0.135316237,0.556580927
50,9000,-27000,0.172297089,0.38028429,0.15506738,0.392591225,0.129222817,0.564271077
51,13500,-27000,0.153747598,0.343602586,0.161900879,0.389028012,0.116475453,0.572262607
52,18000,-27000,0.13184719,0.302472966,0.162870059,0.399973409,0.109687999,0.581108467
53,22500,-27000,0.12334486,0.253015097,0.175002108,0.411149532,0.091717973,0.59033865
54,27000,-27000,0.111719473,0.234510246,0.162043561,0.408631587,0.089576875,0.6007666
55,31500,-27000,0.102161782,0.203359773,0.159989206,0.418285031,0.079030812,0.613325933
56,36000,-27000,0.091451586,0.176436898,0.163504351,0.424926562,0.066510244,0.629520607
57,-40500,-22500,0.74801309,1.226521464,0.148502599,0.30800539,0.319005583,0.51037766
58,-36000,-22500,0.637160364,1.079022533,0.148914874,0.285623612,0.292947294,0.511561997
59,-31500,-22500,0.547896783,0.943354542,0.150229763,0.287203959,0.278366914,0.515168297
60,-27000,-22500,0.474247935,0.839981512,0.150714386,0.287362096,0.255209694,0.51903155
61,-22500,-22500,0.416781419,0.754613054,0.141375195,0.295602681,0.229505187,0.523863047
62,-18000,-22500,0.358447295,0.657436507,0.149494606,0.321073643,0.212350293,0.52894037
63,-13500,-22500,0.316140556,0.599086354,0.156489575,0.314559853,0.192845739,0.534091783
64,-9000,-22500,0.281445243,0.539313922,0.142932925,0.327124838,0.182718378,0.53951934
65,-4500,-22500,0.245985462,0.458804345,0.165832896,0.334429673,0.176888422,0.54587061
66,0,-22500,0.219588888,0.424885008,0.162417817,0.341727086,0.152023076,0.55202644
67,4500,-22500,0.208965865,0.374909346,0.159797426,0.351554337,0.133983996,0.55867669
68,9000,-22500,0.171224899,0.342449797,0.171224899,0.352932954,0.12696268,0.565671163
69,13500,-22500,0.155885507,0.300715304,0.156991078,0.368155134,0.12492952,0.573051547
70,18000,-22500,0.131644077,0.27803229,0.164291808,0.368603414,0.111634177,0.58101579
71,22500,-22500,0.12267101,0.23327602,0.166913014,0.386112033,0.097533508,0.589667647
72,27000,-22500,0.108807642,0.210874987,0.166581611,0.387085592,0.089549652,0.599364063
73,31500,-22500,0.095984347,0.183662357,0.179047725,0.386706168,0.077525819,0.609084983
74,36000,-22500,0.091269982,0.163931521,0.171906568,0.385460603,0.073547655,0.620719503
75,40500,-22500,0.075905536,0.142429489,0.177397208,0.385497778,0.070788309,0.649453017
76,-40500,-18000,0.691820814,1.015651833,0.154555714,0.260046121,0.32873755,0.51277454
77,-36000,-18000,0.574080591,0.937005103,0.134172092,0.257346472,0.299137779,0.5147323
78,-31500,-18000,0.51942322,0.818241983,0.126346189,0.262719852,0.278763813,0.519028103
79,-27000,-18000,0.449653546,0.718708536,0.151113077,0.267212148,0.254312251,0.53290904
80,-22500,-18000,0.402622995,0.645555858,0.14100299,0.266716499,0.242932862,0.526648433
81,-18000,-18000,0.351374773,0.581422831,0.14496179,0.275742535,0.223745371,0.531787857
82,-13500,-18000,0.294715747,0.530488344,0.145884295,0.29029501,0.212195338,0.53701003
83,-9000,-18000,0.269843906,0.4829514,0.14391675,0.300287833,0.185431197,0.54227456
84,-4500,-18000,0.239380732,0.435829051,0.149612958,0.296623951,0.179535549,0.548136377
85,0,-18000,0.213853793,0.378545794,0.152401554,0.322009734,0.162233912,0.55430212
86,4500,-18000,0.196848101,0.338951464,0.153751179,0.330797992,0.144432926,0.560863197
87,9000,-18000,0.168230919,0.311005844,0.153842748,0.333141491,0.14056136,0.567522723
88,13500,-18000,0.148651071,0.266728517,0.169736329,0.340526921,0.128620075,0.574350073
89,18000,-18000,0.129842679,0.237541645,0.173123572,0.350273274,0.115751225,0.581353237
