ID,x,y,Ag,Au,Pd,Pt,Resistance
1,-22500,-40500,0.22272227222722274,0.5081508150815082,0.15081508150815082,0.11831183118311832,0.433867157
2,-18000,-40500,0.2168,0.47869999999999996,0.1937,0.1108,0.433872047
3,-13500,-40500,0.2119,0.46020000000000005,0.21050000000000002,0.1174,0.46547626
4,-9000,-40500,0.1979,0.44270000000000004,0.2409,0.1185,0.501320073
5,-4500,-40500,0.18731873187318734,0.42514251425142513,0.26612661266126614,0.12141214121412143,0.54042136
6,0,-40500,0.1702,0.41490000000000005,0.2968,0.11810000000000001,0.582645223
7,4500,-40500,0.16190000000000002,0.39,0.332,0.1161,0.625058347
8,9000,-40500,0.15148485151484853,0.3716628337166284,0.3618638136186381,0.11498850114988503,0.6652565
9,13500,-40500,0.1457,0.34,0.4014,0.11289999999999999,0.701880993
10,18000,-40500,0.1356,0.31889999999999996,0.43289999999999995,0.11259999999999998,0.732801383
11,22500,-40500,0.128012801280128,0.2982298229822982,0.46234623462346236,0.11141114111411142,0.763121213
12,-27000,-36000,0.2563,0.4705,0.1432,0.13,0.393597517
13,-22500,-36000,0.2488,0.457,0.1709,0.1233,0.417223103
14,-18000,-36000,0.2296,0.45189999999999997,0.1911,0.1274,0.446566413
15,-13500,-36000,0.2266,0.4365,0.2086,0.1283,0.47903828
16,-9000,-36000,0.2141,0.42310000000000003,0.2346,0.1282,0.515362443
17,-4500,-36000,0.2027,0.4081,0.2635,0.1257,0.554890863
18,0,-36000,0.1859185918591859,0.3878387838783878,0.2961296129612961,0.1301130113011301,0.59732556
19,4500,-36000,0.1858,0.365,0.3222,0.127,0.639528477
20,9000,-36000,0.15949999999999998,0.3509,0.3647999999999999,0.12479999999999998,0.678788223
21,13500,-36000,0.15539999999999998,0.3295,0.3942,0.1209,0.713040127
22,18000,-36000,0.1485,0.3079,0.4251,0.1185,0.741065477
23,22500,-36000,0.13238676132386762,0.2896710328967103,0.4617538246175382,0.11618838116188379,0.760022053
24,27000,-36000,0.12558744125587443,0.26307369263073693,0.49475052494750527,0.11658834116588343,0.775911687
25,-31500,-31500,0.2852,0.4622,0.1211,0.1315,0.384388087
26,-27000,-31500,0.2706,0.4517,0.1418,0.1359,0.40580579
27,-22500,-31500,0.2648,0.43949999999999995,0.15869999999999998,0.13699999999999998,0.43184236
28,-18000,-31500,0.24622462246224622,0.43844384438443845,0.1771177117711771,0.1382138213821382,0.462366693
29,-13500,-31500,0.22512251225122515,0.43034303430343035,0.20402040204020402,0.14051405140514053,0.496396847
30,-9000,-31500,0.22337766223377664,0.41115888411158885,0.22587741225877414,0.13958604139586042,0.53340793
31,-4500,-31500,0.2076,0.3956,0.2625,0.1343,0.573384467
32,0,-31500,0.1937,0.37420000000000003,0.2938,0.1383,0.616143507
33,4500,-31500,0.18460000000000001,0.3639,0.3187,0.1328,0.657481527
34,9000,-31500,0.17048295170482952,0.33956604339566043,0.35166483351664835,0.1382861713828617,0.696453153
35,13500,-31500,0.15650000000000003,0.3241,0.3864000000000001,0.13300000000000003,0.729142273
36,18000,-31500,0.14980000000000002,0.29810000000000003,0.41940000000000005,0.1327,0.754306353
37,22500,-31500,0.1375862413758624,0.27677232276772323,0.4617538246175382,0.12388761123887611,0.77134059
38,27000,-31500,0.13859999999999997,0.25449999999999995,0.48489999999999994,0.12199999999999997,0.779632457
39,31500,-31500,0.1188,0.2346,0.5247999999999999,0.12179999999999999,0.79200028
40,-36000,-27000,0.31013101310131014,0.4450445044504451,0.10881088108810882,0.13601360136013602,0.37523975
41,-31500,-27000,0.29432943294329433,0.4420442044204421,0.12251225122512252,0.1411141114111411,0.39712245
42,-27000,-27000,0.2873,0.4276,0.1414,0.1437,0.42125886
43,-22500,-27000,0.2723,0.42369999999999997,0.15960000000000002,0.1444,0.44936288
44,-18000,-27000,0.2555,0.41200000000000003,0.1834,0.1491,0.480696763
45,-13500,-27000,0.25062506250625066,0.3976397639763977,0.20352035203520358,0.14821482148214823,0.51564096
46,-9000,-27000,0.2303769623037696,0.39566043395660433,0.2255774422557744,0.1483851614838516,0.553852207
47,-4500,-27000,0.217,0.3765,0.2575,0.149,0.594933033
48,0,-27000,0.2105789421057894,0.3617638236176382,0.2803719628037196,0.14728527147285272,0.637597987
49,4500,-27000,0.1929,0.3461,0.3144,0.1466,0.67832939
50,9000,-27000,0.1825,0.3281,0.3508,0.1386,0.716050057
51,13500,-27000,0.1731826817318268,0.30596940305969406,0.3825617438256174,0.1382861713828617,0.747951497
52,18000,-27000,0.1564,0.2853,0.4143,0.14400000000000002,0.771781217
53,22500,-27000,0.1479,0.2663,0.44530000000000003,0.1405,0.786606343
54,27000,-27000,0.1311,0.2459,0.4875,0.1355,0.793102653
55,31500,-27000,0.12198780121987801,0.23067693230676933,0.5163483651634837,0.130986901309869,0.790603387
56,36000,-27000,0.12369999999999999,0.2036,0.5489999999999999,0.12369999999999999,0.78463145
57,-40500,-22500,0.34159999999999996,0.4303,0.0876,0.1405,0.371207277
58,-36000,-22500,0.3246,0.424,0.106,0.1454,0.3902276
59,-31500,-22500,0.3104,0.4165,0.1219,0.1512,0.4137827
60,-27000,-22500,0.299,0.4171,0.1309,0.153,0.43947578
61,-22500,-22500,0.2842,0.397,0.1588,0.16,0.46954893
62,-18000,-22500,0.2707,0.3921,0.17850000000000002,0.15869999999999998,0.502453673
63,-13500,-22500,0.2646,0.3851,0.1925,0.1578,0.53900016
64,-9000,-22500,0.2425,0.37329999999999997,0.21969999999999998,0.16449999999999998,0.577379723
65,-4500,-22500,0.2307769223077692,0.3577642235776422,0.2502749725027497,0.16118388161183883,0.61890755
66,0,-22500,0.20537946205379462,0.34436556344365565,0.28697130286971306,0.16328367163283672,0.661598147
67,4500,-22500,0.204,0.3267,0.304,0.1653,0.701702653
68,9000,-22500,0.18839999999999998,0.30579999999999996,0.34319999999999995,0.1626,0.738923283
69,13500,-22500,0.1807,0.2892,0.3735,0.1566,0.769792003
70,18000,-22500,0.1636163616361636,0.26712671267126714,0.4168416841684169,0.15241524152415242,0.791770173
71,22500,-22500,0.1539,0.249,0.4485,0.14859999999999998,0.80548632
72,27000,-22500,0.1462,0.2348,0.4697,0.1493,0.808630327
73,31500,-22500,0.1376,0.2164,0.5023,0.1437,0.80421225
74,36000,-22500,0.1198,0.20129999999999998,0.5431,0.1358,0.793892977
75,40500,-22500,0.11720000000000001,0.18460000000000001,0.5698,0.1284,0.79426028
76,-40500,-18000,0.3497,0.4072,0.09029999999999999,0.1528,0.386206403
77,-36000,-18000,0.33369999999999994,0.40059999999999996,0.10479999999999999,0.1609,0.408186193
78,-31500,-18000,0.32383238323832386,0.39683968396839686,0.11851185118511852,0.1608160816081608,0.433176933
79,-27000,-18000,0.3107689231076892,0.38956104389561047,0.13538646135386462,0.16428357164283572,0.460491493
80,-22500,-18000,0.289,0.3843,0.1528,0.1739,0.491935
81,-18000,-18000,0.276,0.37560000000000004,0.1787,0.1697,0.526468907
82,-13500,-18000,0.2741,0.3654,0.1888,0.17170000000000002,0.563353267
83,-9000,-18000,0.2432,0.35840000000000005,0.22260000000000002,0.17579999999999998,0.602576403
84,-4500,-18000,0.2378,0.3457,0.24710000000000001,0.16940000000000002,0.645003207
85,0,-18000,0.2291229122912291,0.3243324332433243,0.27262726272627263,0.17391739173917392,0.68618882
