ID,x,y,Ag,Au,Cu,Pd,Pt,Resistance
1,-22500,-40500,0.24059999999999998,0.4119,0.0987,0.19030000000000002,0.058499999999999996,0.4614830366666667
2,-18000,-40500,0.22170000000000004,0.40120000000000006,0.10480000000000002,0.21880000000000002,0.053500000000000006,0.4598431466666666
3,-13500,-40500,0.20970000000000003,0.38120000000000004,0.11420000000000001,0.23550000000000004,0.059400000000000015,0.4836875533333333
4,-9000,-40500,0.20129999999999998,0.3625,0.1241,0.2546,0.0575,0.5115419566666667
5,-4500,-40500,0.1818,0.3443,0.1273,0.2882,0.0584,0.5429837200000001
6,0,-40500,0.1652,0.33190000000000003,0.13190000000000002,0.31460000000000005,0.056400000000000006,0.57760004
7,4500,-40500,0.15821582158215822,0.3071307130713072,0.1427142714271427,0.3345334533453346,0.05740574057405741,0.6148180466666666
8,9000,-40500,0.1447,0.2894,0.1508,0.3613,0.0538,0.6544956000000001
9,13500,-40500,0.1275872412758724,0.26707329267073293,0.15478452154784522,0.3938606139386061,0.0566943305669433,0.69472526
10,18000,-40500,0.12179999999999999,0.24600000000000002,0.1612,0.415,0.055999999999999994,0.7370675766666667
11,22500,-40500,0.1119,0.2234,0.1759,0.436,0.0528,0.78565233
12,-27000,-36000,0.26739999999999997,0.40700000000000003,0.09609999999999999,0.1707,0.0588,0.42590644
13,-22500,-36000,0.25440000000000007,0.39690000000000003,0.09740000000000001,0.18680000000000002,0.06450000000000002,0.4451298566666667
14,-18000,-36000,0.23597640235976403,0.37566243375662434,0.1131886811318868,0.2131786821317868,0.061993800619938005,0.4672731966666666
15,-13500,-36000,0.217021702170217,0.3659365936593659,0.1199119911991199,0.2348234823482348,0.06230623062306231,0.4919465166666666
16,-9000,-36000,0.21332133213321328,0.3428342834283428,0.12321232123212321,0.2584258425842584,0.0622062206220622,0.5197937066666667
17,-4500,-36000,0.1923,0.3331,0.1353,0.27440000000000003,0.0649,0.55073449
18,0,-36000,0.1775,0.313,0.1393,0.3036,0.0666,0.5836647066666667
19,4500,-36000,0.1607,0.2924,0.1492,0.332,0.06570000000000001,0.6198232066666667
20,9000,-36000,0.1551,0.2687,0.16899999999999998,0.3436,0.0636,0.6575843633333334
21,13500,-36000,0.1402,0.2504,0.17579999999999998,0.37329999999999997,0.0603,0.6964090433333333
