Index,Ag,Au,Pd
1,59.63,22.14,18.23
2,55.59,24.33,20.09
3,51.62,26.82,21.56
4,47.47,29.25,23.28
5,43.85,31.22,24.93
6,40.36,33.79,25.84
7,36.25,36.54,27.2
8,32.07,38.89,29.04
9,29.09,40.11,30.8
10,26.44,41.72,31.84
11,24.23,43.02,32.76
12,63.98,18.63,17.39
13,60.31,21.15,18.55
14,56.56,23.0,20.45
15,52.08,25.61,22.31
16,47.82,28.32,23.86
17,44.17,30.25,25.59
18,40.27,32.58,27.16
19,36.17,34.51,29.33
20,32.45,37.03,30.52
21,29.7,38.97,31.33
22,26.34,40.88,32.78
23,24.08,41.72,34.2
24,21.33,43.32,35.36
25,67.77,15.83,16.41
26,64.31,18.27,17.42
27,60.01,20.17,19.82
28,56.47,22.66,20.87
29,53.61,24.31,22.08
30,49.56,26.62,23.82
31,44.55,29.19,26.25
32,41.1,31.16,27.74
33,37.07,33.22,29.71
34,33.35,35.67,30.98
35,30.07,37.13,32.8
36,27.43,37.96,34.61
37,24.17,39.49,36.34
38,21.78,41.4,36.82
39,19.2,42.16,38.65
40,71.95,13.75,14.29
41,68.31,15.49,16.2
42,64.54,17.33,18.13
43,61.72,19.07,19.22
44,57.58,21.12,21.3
45,53.28,23.63,23.1
46,48.51,25.79,25.7
47,44.3,28.36,27.34
48,40.89,30.16,28.95
49,37.48,31.89,30.64
50,33.21,34.33,32.46
51,30.22,35.88,33.9
52,26.68,37.13,36.19
53,24.33,38.02,37.65
54,21.25,39.78,38.97
55,20.29,39.91,39.8
56,16.87,41.47,41.66
57,75.37,11.19,13.44
58,72.25,13.28,14.47
59,68.6,14.8,16.6
60,65.85,16.09,18.06
61,62.08,18.25,19.67
62,57.58,20.16,22.26
63,53.42,22.49,24.09
64,49.08,24.79,26.13
65,44.84,26.91,28.26
66,41.61,28.12,30.27
67,36.81,31.2,31.99
68,33.53,32.51,33.96
69,30.65,33.74,35.61
70,27.5,35.37,37.13
71,24.43,36.81,38.75
72,21.71,38.13,40.16
73,19.05,39.22,41.73
74,18.24,39.63,42.12
75,15.62,40.6,43.77
76,75.69,10.85,13.47
77,72.62,12.28,15.1
78,69.74,13.72,16.54
79,65.44,15.64,18.92
80,61.69,17.3,21.01
81,57.68,19.69,22.63
82,54.48,21.0,24.53
83,50.2,23.42,26.38
84,45.78,25.73,28.5
85,42.01,27.32,30.68
86,38.42,29.13,32.45
87,33.96,31.05,34.99
88,31.14,32.64,36.22
89,27.35,33.94,38.71
90,24.72,34.71,40.57
91,22.1,36.59,41.3
92,19.85,37.21,42.94
93,18.46,38.23,43.3
94,16.01,39.22,44.77
95,78.45,9.02,12.53
96,75.69,10.55,13.76
97,72.32,11.73,15.96
98,69.68,13.32,17.0
99,66.57,15.05,18.38
100,62.2,16.74,21.05
101,58.47,18.55,22.97
102,54.48,20.67,24.85
103,50.21,22.52,27.27
104,45.87,24.91,29.22
105,42.33,26.08,31.59
106,38.43,28.08,33.49
107,34.3,29.78,35.92
108,31.22,31.5,37.28
109,27.3,32.4,40.3
110,24.79,33.74,41.47
111,22.13,34.89,42.98
112,19.84,35.58,44.58
113,18.4,36.27,45.33
114,15.91,37.18,46.91
115,14.02,37.45,48.53
116,78.58,8.59,12.83
117,75.57,10.25,14.18
118,72.87,11.04,16.1
119,69.64,12.52,17.84
120,65.92,14.25,19.83
121,62.75,15.46,21.79
122,58.78,17.52,23.69
123,54.69,19.21,26.1
124,49.62,21.49,28.89
125,46.59,23.28,30.13
126,41.91,25.1,32.99
127,38.16,26.61,35.23
128,34.74,28.18,37.07
129,31.01,29.88,39.11
130,27.82,31.0,41.17
131,25.01,32.2,42.79
132,22.06,33.58,44.36
133,19.8,34.05,46.16
134,18.21,34.64,47.15
135,15.71,35.79,48.5
136,15.12,35.63,49.26
137,78.86,8.3,12.85
138,76.02,9.5,14.48
139,73.05,10.42,16.53
140,69.42,12.22,18.36
141,66.35,13.66,19.98
142,63.0,14.91,22.09
143,58.64,16.61,24.74
144,54.97,18.55,26.48
145,50.62,20.35,29.03
146,46.98,21.99,31.03
147,42.17,23.77,34.06
148,38.27,25.51,36.22
149,34.49,26.94,38.57
150,31.04,28.36,40.59
151,27.87,29.42,42.71
152,24.69,30.79,44.52
153,22.34,31.83,45.83
154,20.3,32.39,47.31
155,17.29,33.18,49.52
156,16.21,33.97,49.82
157,14.45,34.39,51.16
158,79.29,7.86,12.85
159,76.41,9.0,14.59
160,73.41,10.3,16.29
161,70.28,11.55,18.17
162,66.5,12.63,20.87
163,63.18,14.34,22.47
164,58.86,15.99,25.15
165,54.39,17.77,27.84
166,51.02,19.36,29.63
167,46.64,20.85,32.52
168,42.64,22.85,34.52
169,38.61,23.95,37.44
170,34.05,26.05,39.9
171,31.58,27.06,41.36
172,27.64,28.59,43.78
173,24.93,29.63,45.44
174,21.99,30.3,47.71
175,19.56,31.28,49.16
176,17.95,31.53,50.52
177,16.41,32.54,51.05
178,14.34,33.29,52.37
179,79.63,7.44,12.92
180,76.15,8.55,15.3
181,72.98,9.74,17.28
182,70.2,10.76,19.04
183,66.78,12.08,21.14
184,62.47,13.64,23.89
185,59.0,14.91,26.09
186,55.3,16.62,28.08
187,50.83,18.26,30.91
188,46.63,19.94,33.44
189,42.4,21.49,36.1
190,38.29,22.91,38.81
191,34.9,24.26,40.83
192,31.05,25.52,43.43
193,28.52,26.69,44.79
194,24.82,28.08,47.1
195,22.75,28.7,48.55
196,19.55,29.94,50.5
197,17.55,30.42,52.03
198,16.07,30.71,53.22
199,14.03,31.6,54.38
200,79.02,7.32,13.65
201,76.77,7.99,15.25
202,73.35,9.16,17.49
203,70.37,10.26,19.38
204,67.22,11.39,21.39
205,63.1,12.95,23.95
206,59.39,14.42,26.18
207,55.25,15.68,29.07
208,50.64,17.48,31.87
209,46.23,18.97,34.8
210,42.25,20.02,37.73
211,37.99,21.87,40.14
212,34.51,23.21,42.28
213,31.69,24.57,43.73
214,27.65,25.47,46.87
215,24.77,26.98,48.26
216,22.46,27.46,50.08
217,19.53,28.41,52.06
218,17.66,29.11,53.24
219,16.08,29.63,54.29
220,14.09,30.26,55.64
221,79.03,6.77,14.2
222,76.3,7.98,15.72
223,73.48,8.77,17.75
224,70.15,9.82,20.03
225,66.48,10.79,22.74
226,62.93,12.25,24.82
227,59.58,13.41,27.01
228,55.53,15.06,29.41
229,50.23,16.7,33.07
230,46.41,17.74,35.84
231,41.99,19.41,38.6
232,38.16,20.93,40.92
233,34.78,21.76,43.45
234,31.31,22.86,45.82
235,27.79,24.43,47.78
236,24.76,25.17,50.07
237,22.11,26.3,51.59
238,20.15,27.05,52.8
239,17.39,27.85,54.75
240,16.01,28.51,55.48
241,14.13,28.76,57.11
242,75.97,7.45,16.58
243,73.34,8.25,18.41
244,70.18,9.51,20.3
245,66.67,10.45,22.88
246,62.69,11.75,25.56
247,59.05,12.96,27.99
248,54.57,14.11,31.32
249,50.63,15.66,33.7
250,46.72,17.04,36.24
251,42.49,18.23,39.27
252,38.4,19.52,42.08
253,34.67,20.78,44.55
254,30.74,22.1,47.16
255,27.09,23.22,49.69
256,25.21,24.15,50.64
257,21.86,25.02,53.11
258,19.96,25.94,54.1
259,17.43,26.63,55.94
260,16.23,26.76,57.01
261,76.5,7.21,16.29
262,73.58,7.88,18.55
263,69.88,8.97,21.15
264,66.21,10.08,23.72
265,63.43,10.86,25.71
266,58.3,12.41,29.29
267,54.94,13.23,31.82
268,50.32,14.41,35.27
269,46.68,15.82,37.5
270,42.65,17.07,40.27
271,38.34,18.6,43.07
272,34.83,19.57,45.61
273,31.43,20.71,47.85
274,27.63,22.11,50.25
275,24.88,22.8,52.32
276,22.06,23.48,54.47
277,20.05,24.33,55.61
278,17.64,25.23,57.13
279,16.07,25.5,58.43
280,73.51,7.66,18.83
281,69.82,8.57,21.6
282,66.24,9.33,24.43
283,62.57,10.64,26.8
284,58.57,11.3,30.14
285,54.69,12.68,32.63
286,50.81,13.92,35.27
287,45.95,14.95,39.1
288,42.46,16.16,41.38
289,37.69,17.44,44.87
290,34.57,18.44,46.99
291,30.97,19.68,49.34
292,28.11,20.56,51.34
293,25.39,21.49,53.12
294,22.2,22.36,55.44
295,20.08,22.86,57.07
296,17.97,23.88,58.15
297,69.53,7.93,22.54
298,66.53,9.04,24.43
299,62.26,9.99,27.75
300,58.3,10.76,30.94
301,54.32,11.87,33.82
302,50.37,13.16,36.47
303,45.82,14.26,39.92
304,41.52,15.43,43.06
305,38.38,16.41,45.21
306,34.39,17.44,48.17
307,31.4,18.47,50.14
308,27.87,19.24,52.88
309,24.91,20.12,54.97
310,21.96,21.09,56.94
311,20.12,22.2,57.68
312,65.61,8.68,25.71
313,61.63,9.63,28.74
314,57.99,10.49,31.51
315,54.1,11.19,34.71
316,49.66,12.53,37.81
317,45.87,13.33,40.8
318,41.77,14.38,43.85
319,38.18,15.37,46.45
320,34.3,16.66,49.05
321,31.12,17.23,51.65
322,28.15,18.14,53.72
323,25.35,19.15,55.5
324,21.99,19.88,58.12
