index,Ag,Au,Pd,Composition,Similarity_to_Resistance
0,59.63,22.14,18.23,Ag59.63Au22.14Pd18.23,0.3614511
1,55.59,24.33,20.09,Ag55.59Au24.33Pd20.09,0.3629688
2,51.62,26.82,21.56,Ag51.62Au26.82Pd21.56,0.36434442
3,47.47,29.25,23.28,Ag47.47Au29.25Pd23.28,0.36569312
4,43.85,31.22,24.93,Ag43.85Au31.22Pd24.93,0.36678663
5,40.36,33.79,25.84,Ag40.36Au33.79Pd25.84,0.3677305
6,36.25,36.54,27.2,Ag36.25Au36.54Pd27.20,0.368751
7,32.07,38.89,29.04,Ag32.07Au38.89Pd29.04,0.36968392
8,29.09,40.11,30.8,Ag29.09Au40.11Pd30.80,0.37027925
9,26.44,41.72,31.84,Ag26.44Au41.72Pd31.84,0.37073797
10,24.23,43.02,32.76,Ag24.23Au43.02Pd32.76,0.37108046
11,63.98,18.63,17.39,Ag63.98Au18.63Pd17.39,0.35979572
12,60.31,21.15,18.55,Ag60.31Au21.15Pd18.55,0.3612291
13,56.56,23.0,20.45,Ag56.56Au23.00Pd20.45,0.3626586
14,52.08,25.61,22.31,Ag52.08Au25.61Pd22.31,0.36423564
15,47.82,28.32,23.86,Ag47.82Au28.32Pd23.86,0.36561614
16,44.17,30.25,25.59,Ag44.17Au30.25Pd25.59,0.36672515
17,40.27,32.58,27.16,Ag40.27Au32.58Pd27.16,0.36780074
18,36.17,34.51,29.33,Ag36.17Au34.51Pd29.33,0.3688297
19,32.45,37.03,30.52,Ag32.45Au37.03Pd30.52,0.36964288
20,29.7,38.97,31.33,Ag29.70Au38.97Pd31.33,0.37018
21,26.34,40.88,32.78,Ag26.34Au40.88Pd32.78,0.37076575
22,24.08,41.72,34.2,Ag24.08Au41.72Pd34.20,0.37111127
23,21.33,43.32,35.36,Ag21.33Au43.32Pd35.36,0.37147427
24,67.77,15.83,16.41,Ag67.77Au15.83Pd16.41,0.35826445
25,64.31,18.27,17.42,Ag64.31Au18.27Pd17.42,0.359672
26,60.01,20.17,19.82,Ag60.01Au20.17Pd19.82,0.3614058
27,56.47,22.66,20.87,Ag56.47Au22.66Pd20.87,0.36270887
28,53.61,24.31,22.08,Ag53.61Au24.31Pd22.08,0.36372834
29,49.56,26.62,23.82,Ag49.56Au26.62Pd23.82,0.36508957
30,44.55,29.19,26.25,Ag44.55Au29.19Pd26.25,0.36663756
31,41.1,31.16,27.74,Ag41.10Au31.16Pd27.74,0.36760253
32,37.07,33.22,29.71,Ag37.07Au33.22Pd29.71,0.36862746
33,33.35,35.67,30.98,Ag33.35Au35.67Pd30.98,0.369464
34,30.07,37.13,32.8,Ag30.07Au37.13Pd32.80,0.37012112
35,27.43,37.96,34.61,Ag27.43Au37.96Pd34.61,0.3705824
36,24.17,39.49,36.34,Ag24.17Au39.49Pd36.34,0.37107477
37,21.78,41.4,36.82,Ag21.78Au41.40Pd36.82,0.37139854
38,19.2,42.16,38.65,Ag19.20Au42.16Pd38.65,0.37166494
39,71.95,13.75,14.29,Ag71.95Au13.75Pd14.29,0.35642153
40,68.31,15.49,16.2,Ag68.31Au15.49Pd16.20,0.35803342
41,64.54,17.33,18.13,Ag64.54Au17.33Pd18.13,0.3596251
42,61.72,19.07,19.22,Ag61.72Au19.07Pd19.22,0.3607502
43,57.58,21.12,21.3,Ag57.58Au21.12Pd21.30,0.36234212
44,53.28,23.63,23.1,Ag53.28Au23.63Pd23.10,0.36387956
45,48.51,25.79,25.7,Ag48.51Au25.79Pd25.70,0.3654679
46,44.3,28.36,27.34,Ag44.30Au28.36Pd27.34,0.36673266
47,40.89,30.16,28.95,Ag40.89Au30.16Pd28.95,0.36767566
48,37.48,31.89,30.64,Ag37.48Au31.89Pd30.64,0.3685376
49,33.21,34.33,32.46,Ag33.21Au34.33Pd32.46,0.3694955
50,30.22,35.88,33.9,Ag30.22Au35.88Pd33.90,0.37008506
51,26.68,37.13,36.19,Ag26.68Au37.13Pd36.19,0.37067914
52,24.33,38.02,37.65,Ag24.33Au38.02Pd37.65,0.37101334
53,21.25,39.78,38.97,Ag21.25Au39.78Pd38.97,0.37140214
54,20.29,39.91,39.8,Ag20.29Au39.91Pd39.80,0.37148923
55,16.87,41.47,41.66,Ag16.87Au41.47Pd41.66,0.3717805
56,75.37,11.19,13.44,Ag75.37Au11.19Pd13.44,0.35492408
57,72.25,13.28,14.47,Ag72.25Au13.28Pd14.47,0.35631254
58,68.6,14.8,16.6,Ag68.60Au14.80Pd16.60,0.35794145
59,65.85,16.09,18.06,Ag65.85Au16.09Pd18.06,0.35911345
60,62.08,18.25,19.67,Ag62.08Au18.25Pd19.67,0.36063585
61,57.58,20.16,22.26,Ag57.58Au20.16Pd22.26,0.36237845
62,53.42,22.49,24.09,Ag53.42Au22.49Pd24.09,0.36386216
