,x,y,time,R,I,V
0,-22500,-40500,2024-05-31 09:26:13.839636,0.3513535,0.04999799,0.01756697
1,-22500,-40500,2024-05-31 09:26:14.029996,0.3513756,0.04999798,0.01756807
2,-22500,-40500,2024-05-31 09:26:14.211613,0.3513572,0.04999793,0.01756713
3,-22500,-40500,2024-05-31 09:26:14.401790,0.3513746,0.04999811,0.01756806
4,-22500,-40500,2024-05-31 09:26:14.583885,0.3515179,0.04999803,0.01757521
5,-22500,-40500,2024-05-31 09:26:14.774450,0.3513779,0.04999811,0.01756823
6,-22500,-40500,2024-05-31 09:26:14.956718,0.3513851,0.04999805,0.01756857
7,-22500,-40500,2024-05-31 09:26:15.146875,0.3513655,0.04999796,0.01756756
8,-22500,-40500,2024-05-31 09:26:15.329026,0.3513572,0.04999793,0.01756713
9,-22500,-40500,2024-05-31 09:26:15.519303,0.3515745,0.04999817,0.01757808
10,-22500,-40500,2024-05-31 09:26:16.131988,0.3513535,0.04999799,0.01756697
11,-22500,-40500,2024-05-31 09:26:16.323329,0.3515179,0.04999803,0.01757521
12,-22500,-40500,2024-05-31 09:26:16.504921,0.3513746,0.04999811,0.01756806
13,-22500,-40500,2024-05-31 09:26:16.695497,0.3515305,0.04999792,0.01757579
14,-22500,-40500,2024-05-31 09:26:16.877720,0.3513746,0.04999811,0.01756806
15,-22500,-40500,2024-05-31 09:26:17.067826,0.3513961,0.04999791,0.01756907
16,-22500,-40500,2024-05-31 09:26:17.250525,0.3513655,0.04999796,0.01756756
17,-22500,-40500,2024-05-31 09:26:17.431888,0.3513779,0.04999811,0.01756823
18,-22500,-40500,2024-05-31 09:26:17.622116,0.3515565,0.04999808,0.01757715
19,-22500,-40500,2024-05-31 09:26:17.803833,0.351385,0.04999806,0.01756857
20,-22500,-40500,2024-05-31 09:26:18.420539,0.3513535,0.04999799,0.01756697
21,-22500,-40500,2024-05-31 09:26:18.610760,0.3515368,0.04999797,0.01757613
22,-22500,-40500,2024-05-31 09:26:18.797767,0.3513535,0.04999799,0.01756697
