x,y,R,I,V
-22500,-40500,0.3514097133333333,0.04999802766666666,0.017569792333333334
-18000,-40500,0.3514269933333333,0.049998023333333336,0.017570654999999998
-13500,-40500,0.37489143999999996,0.04999810033333333,0.018743860999999997
-9000,-40500,0.3929686766666666,0.049998099,0.019647688
-4500,-40500,0.40649309,0.049998125,0.020323891333333333
0,-40500,0.41355592,0.04999813833333333,0.020677024666666665
4500,-40500,0.41497722666666664,0.049998119333333334,0.02074808066666667
9000,-40500,0.4117438133333333,0.049998135666666665,0.020586423000000003
13500,-40500,0.40483439000000004,0.049998119333333334,0.020240958333333333
18000,-40500,0.39631807,0.04999808733333333,0.019815145666666666
22500,-40500,0.39164976,0.04999813266666667,0.019581756999999998
-27000,-36000,0.27723663666666665,0.049997973999999994,0.01386127
-22500,-36000,0.3035197233333333,0.049997986333333334,0.015175374666666666
-18000,-36000,0.32996734666666666,0.04999803166666667,0.016497717333333335
-13500,-36000,0.3546399433333333,0.049998024999999995,0.017731297
-9000,-36000,0.3710058466666667,0.04999809533333333,0.018549585333333334
-4500,-36000,0.38988739,0.04999809166666667,0.019493625
0,-36000,0.39907996333333334,0.049998113000000004,0.01995324533333333
4500,-36000,0.4025050966666666,0.049998108666666666,0.020124494
9000,-36000,0.4017003633333333,0.049998121,0.02008426233333333
13500,-36000,0.3964707533333333,0.04999811466666667,0.019822789666666667
18000,-36000,0.3878042933333333,0.04999811066666667,0.019389482333333333
22500,-36000,0.3789350633333333,0.04999811466666667,0.018946038666666668
27000,-36000,0.37320815,0.049998071,0.018659688
-31500,-31500,0.23729324333333332,0.04999794233333333,0.011864173666666667
-27000,-31500,0.26100171333333333,0.04999794766666667,0.013049549666666667
-22500,-31500,0.2873951333333334,0.049997965,0.014369172000000001
-18000,-31500,0.3140314833333333,0.04999798166666667,0.015700940666666666
-13500,-31500,0.33822918333333335,0.049998015,0.016910788
-9000,-31500,0.3586211733333334,0.04999806833333333,0.017930365333333333
-4500,-31500,0.37509968,0.04999806133333333,0.018754256333333334
0,-31500,0.38569177,0.049998093,0.019283852666666667
4500,-31500,0.3912258066666666,0.049998104,0.019560549333333333
9000,-31500,0.3913412133333333,0.049998085000000005,0.019566310333333333
13500,-31500,0.38777034000000005,0.04999809733333334,0.019387779333333334
18000,-31500,0.3810919966666667,0.049998098,0.019053875
22500,-31500,0.3731003866666667,0.049998082,0.018654304333333333
27000,-31500,0.36620035666666667,0.049998078,0.018309314333333333
31500,-31500,0.36462881666666663,0.049998063333333335,0.018230735333333335
-36000,-27000,0.20101156666666667,0.04999792033333333,0.010050161333333333
-31500,-27000,0.22299292666666667,0.04999791133333333,0.011149180666666668
-27000,-27000,0.24746312666666667,0.049997928000000004,0.012372644666666667
-22500,-27000,0.27373724,0.049997942,0.013686297666666668
-18000,-27000,0.2999708466666667,0.04999797733333333,0.014997936333333333
-13500,-27000,0.3245371266666667,0.049997991666666665,0.016226204
-9000,-27000,0.34573629,0.049998012,0.017286126000000002
-4500,-27000,0.3632919,0.04999804433333333,0.018163883666666665
0,-27000,0.37516459999999996,0.04999806933333333,0.018757505333333334
4500,-27000,0.3820910366666667,0.049998062333333336,0.019103812333333334
9000,-27000,0.38397061000000005,0.049998104,0.019197803
13500,-27000,0.3816629966666667,0.049998075333333336,0.019082416
18000,-27000,0.37677417333333335,0.04999809066666667,0.01883798866666667
22500,-27000,0.37053416666666666,0.049998087,0.018526
27000,-27000,0.3644065066666667,0.04999804133333333,0.018219611
31500,-27000,0.35853357999999996,0.049998052333333334,0.01792598
36000,-27000,0.35525259000000003,0.049998085666666664,0.017761949
-40500,-22500,0.17120970333333335,0.049997886,0.008560123466666668
-36000,-22500,0.19050771333333336,0.049997905,0.009524986466666666
-31500,-22500,0.21243051,0.04999792,0.010621083333333333
-27000,-22500,0.23639605333333333,0.04999793066666667,0.011819313
-22500,-22500,0.2625004266666667,0.04999793566666667,0.013124479666666666
-18000,-22500,0.2884531633333333,0.04999795366666667,0.014422067
-13500,-22500,0.31285523666666665,0.04999798466666667,0.015642131333333333
-9000,-22500,0.33466567999999997,0.049997996333333336,0.016732612666666664
-4500,-22500,0.35293062000000003,0.04999803566666667,0.017645837666666667
0,-22500,0.36615407,0.04999806466666667,0.018306995
4500,-22500,0.37426313333333333,0.049998066333333334,0.018712432999999997
9000,-22500,0.37768899,0.049998094,0.018883728666666665
13500,-22500,0.37694953333333336,0.049998090333333335,0.018846756333333332
18000,-22500,0.37371151999999996,0.049998090999999995,0.01868486266666667
22500,-22500,0.36934087666666665,0.04999807766666667,0.01846633333333333
27000,-22500,0.3646269866666667,0.04999810566666666,0.018230657
31500,-22500,0.3597705466666667,0.049998085000000005,0.017987838333333336
36000,-22500,0.3553455866666667,0.04999806466666667,0.017766590333333332
40500,-22500,0.36035596,0.049998063333333335,0.0180171
-40500,-18000,0.16271371666666665,0.04999790266666667,0.008135344666666667
-36000,-18000,0.18169756,0.049997893333333335,0.009084495033333334
-31500,-18000,0.20328076,0.049997909,0.010163612666666665
-27000,-18000,0.22693699333333334,0.049997909666666666,0.011346375333333332
-22500,-18000,0.25259305666666665,0.049997951666666665,0.012629135666666668
-18000,-18000,0.2787168433333333,0.049997963,0.013935275
-13500,-18000,0.30345802,0.04999797633333333,0.015172287333333333
-9000,-18000,0.3260833533333333,0.049998016666666666,0.016303522333333334
-4500,-18000,0.34493838000000004,0.04999801066666667,0.017246233
0,-18000,0.35951095,0.04999804866666667,0.017974847000000002
4500,-18000,0.36896165666666664,0.049998079,0.018447373666666666
9000,-18000,0.37388008,0.049998058666666664,0.018693278666666664
13500,-18000,0.37441297333333334,0.049998096666666665,0.018719935
18000,-18000,0.3728702366666667,0.04999808033333333,0.018642795666666667
22500,-18000,0.37024758333333335,0.049998063,0.018511662666666664
27000,-18000,0.36680094,0.049998094666666666,0.018339348
31500,-18000,0.36359676333333335,0.049998100000000004,0.018179147666666666
36000,-18000,0.3601107066666666,0.04999806466666667,0.01800483866666667
40500,-18000,0.3585240533333333,0.04999809633333333,0.017925520333333334
-45000,-13500,0.13986161,0.04999789266666667,0.006992785433333333
-40500,-13500,0.15542796,0.049997918333333335,0.007771074033333334
-36000,-13500,0.17428939666666665,0.049997915,0.0087141067
-31500,-13500,0.19552656333333335,0.049997917,0.009775920966666666
