Ag,Au,Pd,Composition,Similarity_to_resistance
59.63,22.14,18.23,Ag59.63Au22.14Pd18.23,0.38221174
55.59,24.33,20.09,Ag55.59Au24.33Pd20.09,0.38324183
51.62,26.82,21.56,Ag51.62Au26.82Pd21.56,0.3837968
47.47,29.25,23.28,Ag47.47Au29.25Pd23.28,0.38447377
43.85,31.22,24.93,Ag43.85Au31.22Pd24.93,0.38514307
40.36,33.79,25.84,Ag40.36Au33.79Pd25.84,0.38497669
36.25,36.54,27.2,Ag36.25Au36.54Pd27.20,0.3849823
32.07,38.89,29.04,Ag32.07Au38.89Pd29.04,0.38536656
29.09,40.11,30.8,Ag29.09Au40.11Pd30.80,0.38606393
26.44,41.72,31.84,Ag26.44Au41.72Pd31.84,0.38605136
24.23,43.02,32.76,Ag24.23Au43.02Pd32.76,0.38605398
63.98,18.63,17.39,Ag63.98Au18.63Pd17.39,0.3822255
60.31,21.15,18.55,Ag60.31Au21.15Pd18.55,0.3826928
56.56,23.0,20.45,Ag56.56Au23.00Pd20.45,0.38385355
52.08,25.61,22.31,Ag52.08Au25.61Pd22.31,0.38471755
47.82,28.32,23.86,Ag47.82Au28.32Pd23.86,0.3851984
44.17,30.25,25.59,Ag44.17Au30.25Pd25.59,0.38595068
40.27,32.58,27.16,Ag40.27Au32.58Pd27.16,0.3863693
36.17,34.51,29.33,Ag36.17Au34.51Pd29.33,0.38726425
32.45,37.03,30.52,Ag32.45Au37.03Pd30.52,0.38714027
29.7,38.97,31.33,Ag29.70Au38.97Pd31.33,0.38690358
26.34,40.88,32.78,Ag26.34Au40.88Pd32.78,0.38704106
24.08,41.72,34.2,Ag24.08Au41.72Pd34.20,0.38757318
21.33,43.32,35.36,Ag21.33Au43.32Pd35.36,0.38754165
67.77,15.83,16.41,Ag67.77Au15.83Pd16.41,0.3818884
64.31,18.27,17.42,Ag64.31Au18.27Pd17.42,0.3823192
60.01,20.17,19.82,Ag60.01Au20.17Pd19.82,0.38395998
56.47,22.66,20.87,Ag56.47Au22.66Pd20.87,0.38427788
53.61,24.31,22.08,Ag53.61Au24.31Pd22.08,0.3848641
49.56,26.62,23.82,Ag49.56Au26.62Pd23.82,0.38564572
44.55,29.19,26.25,Ag44.55Au29.19Pd26.25,0.38678175
41.1,31.16,27.74,Ag41.10Au31.16Pd27.74,0.3872738
37.07,33.22,29.71,Ag37.07Au33.22Pd29.71,0.3880025
33.35,35.67,30.98,Ag33.35Au35.67Pd30.98,0.38798964
30.07,37.13,32.8,Ag30.07Au37.13Pd32.80,0.38865143
27.43,37.96,34.61,Ag27.43Au37.96Pd34.61,0.38949835
24.17,39.49,36.34,Ag24.17Au39.49Pd36.34,0.3899294
21.78,41.4,36.82,Ag21.78Au41.40Pd36.82,0.38934696
19.2,42.16,38.65,Ag19.20Au42.16Pd38.65,0.39007193
71.95,13.75,14.29,Ag71.95Au13.75Pd14.29,0.38038027
68.31,15.49,16.2,Ag68.31Au15.49Pd16.20,0.38176525
64.54,17.33,18.13,Ag64.54Au17.33Pd18.13,0.3830961
61.72,19.07,19.22,Ag61.72Au19.07Pd19.22,0.383682
57.58,21.12,21.3,Ag57.58Au21.12Pd21.30,0.38497835
53.28,23.63,23.1,Ag53.28Au23.63Pd23.10,0.3858508
