Index,Ag,Au,Pd,Pt,Rh
1,26.07,21.51,7.66,5.34,39.42
2,23.56,23.64,8.31,5.21,39.28
3,23.48,25.81,8.24,5.03,37.44
4,21.47,27.96,9.86,5.09,35.62
5,19.78,31.12,10.91,4.76,33.43
6,18.19,34.05,11.55,4.64,31.57
7,16.74,37.14,12.6,4.06,29.46
8,15.63,38.8,13.31,4.19,28.07
9,13.92,42.11,14.28,3.15,26.53
10,12.99,44.72,15.13,3.4,23.76
11,11.56,46.76,16.3,2.94,22.43
12,28.8,19.23,7.23,5.98,38.76
13,27.13,20.76,7.69,6.02,38.4
14,25.45,22.98,9.19,5.55,36.82
15,23.7,25.89,9.39,5.34,35.68
16,23.08,28.45,10.25,5.42,32.81
17,20.86,31.4,10.63,5.34,31.77
18,19.45,33.66,12.09,4.95,29.85
19,17.33,36.73,13.9,4.22,27.82
20,15.72,38.3,15.01,4.86,26.1
21,14.48,41.99,15.63,3.61,24.29
22,13.84,44.96,15.95,3.49,21.76
23,12.4,47.74,16.45,3.6,19.81
24,11.51,48.46,17.28,2.94,19.81
25,31.3,16.53,7.16,6.54,38.47
26,30.3,18.4,7.72,6.29,37.29
27,28.76,20.62,8.65,6.15,35.82
28,26.49,22.58,8.63,6.18,36.12
29,24.61,25.36,10.82,6.12,33.1
30,23.07,28.22,11.34,5.79,31.58
31,20.93,30.49,12.71,6.09,29.77
32,19.77,33.88,12.37,5.35,28.62
33,18.24,36.74,13.92,5.16,25.93
34,17.56,38.51,14.68,4.88,24.37
35,14.82,42.0,16.3,4.4,22.49
36,13.75,43.59,17.52,3.98,21.16
37,12.66,46.35,18.72,3.73,18.54
38,11.62,48.03,19.74,3.12,17.49
39,10.92,50.64,20.22,2.72,15.5
40,34.96,14.8,6.23,7.35,36.64
41,32.61,16.52,7.01,7.15,36.71
42,31.69,18.2,7.39,7.46,35.26
43,29.74,20.07,9.0,6.92,34.27
44,27.51,22.62,10.3,6.9,32.68
45,25.83,24.71,11.83,6.87,30.76
46,24.23,27.57,12.02,6.49,29.69
47,22.26,29.78,13.42,6.34,28.2
48,20.61,32.75,13.56,6.22,26.85
49,18.17,35.51,15.36,5.93,25.03
50,16.9,38.34,16.22,5.45,23.09
51,15.49,41.03,16.89,4.79,21.79
52,14.19,42.97,18.96,4.58,19.31
53,12.85,44.91,19.67,4.54,18.02
54,12.59,47.57,20.26,3.91,15.67
55,10.53,48.46,22.04,3.57,15.4
56,9.44,51.3,22.74,2.86,13.66
57,37.49,12.94,6.42,7.35,35.79
58,35.22,14.02,7.85,7.99,34.93
59,34.12,16.33,8.37,7.87,33.3
60,32.39,18.03,8.97,7.73,32.88
61,30.31,20.35,9.2,7.35,32.79
62,28.24,22.97,9.52,8.22,31.05
63,27.48,24.69,11.66,7.15,29.02
64,23.86,27.4,12.86,7.3,28.58
65,22.78,29.46,13.38,7.6,26.78
66,20.86,32.16,15.02,6.64,25.32
67,19.81,34.82,16.18,5.96,23.22
68,17.44,36.94,17.55,6.37,21.7
69,15.9,40.16,18.02,5.57,20.35
70,14.85,42.21,19.11,5.7,18.14
71,14.18,44.06,20.06,5.0,16.69
72,13.14,45.68,21.88,4.73,14.57
73,10.03,48.3,22.71,4.04,14.92
74,10.02,50.09,23.89,3.46,12.54
75,8.71,52.25,25.25,2.38,11.41
76,38.8,12.88,6.78,8.03,33.51
77,36.07,14.09,7.23,8.81,33.8
78,35.26,16.16,8.36,8.54,31.67
79,33.92,17.15,8.99,8.65,31.29
80,31.29,19.77,11.02,8.44,29.48
81,29.1,21.91,10.53,8.5,29.98
82,28.22,24.33,11.39,8.34,27.72
83,25.52,27.27,12.97,7.79,26.45
84,23.69,28.19,15.0,8.29,24.83
85,21.83,31.75,15.44,7.48,23.51
86,20.34,34.62,16.62,7.04,21.38
87,18.21,36.59,17.85,6.71,20.63
88,16.56,39.02,19.35,6.43,18.65
89,14.06,41.77,20.66,6.35,17.16
90,14.05,42.69,22.35,5.4,15.5
91,12.84,45.07,23.1,4.93,14.06
92,11.08,46.3,24.64,4.11,13.86
93,10.53,48.7,25.14,3.94,11.7
94,8.45,50.12,26.7,3.41,11.32
95,41.41,11.2,6.27,8.46,32.65
96,38.93,12.65,7.16,9.06,32.2
97,37.7,13.65,7.38,9.6,31.67
98,36.3,15.09,9.58,9.27,29.76
99,33.75,17.44,9.98,9.52,29.31
100,32.69,19.26,10.55,9.45,28.06
101,30.5,20.68,12.12,9.42,27.28
102,28.42,24.07,12.04,9.58,25.89
103,26.38,26.36,13.35,9.34,24.57
104,23.86,29.0,15.19,8.54,23.4
105,21.2,31.22,17.2,8.28,22.11
106,20.22,33.08,18.07,8.01,20.63
107,18.82,36.19,19.33,7.42,18.23
108,16.82,37.92,20.49,6.99,17.78
109,15.2,40.57,22.12,6.41,15.69
110,13.78,42.34,23.86,5.84,14.19
111,11.79,43.89,24.58,5.29,14.44
112,10.81,46.56,25.61,5.28,11.73
113,9.98,47.28,26.69,4.78,11.27
114,8.58,49.06,27.69,4.51,10.17
115,7.35,50.66,28.57,4.2,9.22
116,42.88,11.14,6.91,9.7,29.38
117,40.95,11.87,7.64,9.9,29.63
118,39.02,13.38,7.99,10.16,29.45
119,37.07,15.25,9.63,10.0,28.04
120,34.43,16.9,9.8,10.58,28.28
121,32.63,18.9,10.52,10.32,27.63
122,30.27,20.65,13.49,10.25,25.34
123,28.19,22.91,13.35,10.37,25.18
124,26.17,25.82,14.57,10.02,23.42
125,25.37,27.22,15.97,9.33,22.1
126,21.97,29.85,18.49,9.31,20.38
127,20.65,32.47,19.21,8.97,18.71
128,19.14,35.67,19.76,8.19,17.24
129,16.9,36.21,22.35,7.73,16.8
130,15.19,39.02,22.66,7.88,15.25
131,13.44,41.51,24.8,6.67,13.6
132,12.5,42.13,26.23,6.67,12.48
133,11.05,45.58,26.06,5.66,11.65
134,10.82,45.61,27.36,5.41,10.8
135,9.55,47.99,28.73,4.62,9.1
136,8.21,49.86,29.92,4.06,7.95
137,43.3,10.21,7.59,10.69,28.21
138,41.64,11.89,7.65,10.92,27.9
139,39.27,12.82,9.45,11.17,27.28
140,38.11,14.5,9.67,11.38,26.34
141,35.84,16.15,11.05,11.37,25.59
142,33.43,18.31,12.04,11.17,25.05
143,31.55,20.55,13.0,11.19,23.7
144,29.12,21.93,14.51,11.13,23.32
145,27.13,24.55,15.31,10.71,22.3
146,25.26,27.64,16.94,10.34,19.83
147,22.51,29.38,18.21,10.39,19.51
148,20.94,31.47,19.97,9.94,17.69
149,18.87,34.46,20.87,9.04,16.77
150,17.85,35.91,21.79,8.89,15.55
151,15.36,38.01,24.09,8.08,14.46
152,14.66,40.02,25.11,7.33,12.88
153,13.25,41.2,27.24,7.07,11.24
154,12.16,43.93,27.53,6.49,9.9
155,10.26,45.81,29.39,5.66,8.88
156,9.58,45.86,30.22,5.13,9.21
157,9.55,47.48,30.34,4.77,7.86
158,44.41,10.19,6.8,11.75,26.85
159,42.46,11.43,6.96,12.09,27.06
160,40.18,12.66,8.74,12.55,25.88
161,38.14,14.19,10.16,12.36,25.15
162,35.06,15.79,11.61,12.89,24.65
163,33.85,17.9,12.29,12.61,23.35
164,31.45,19.6,14.06,12.2,22.69
165,29.78,22.34,14.99,12.27,20.63
166,27.46,24.25,16.24,11.97,20.08
167,25.4,26.82,17.59,11.7,18.5
168,22.84,28.41,19.85,11.59,17.32
169,21.38,30.58,20.63,10.54,16.87
170,19.16,32.17,22.28,10.22,16.16
171,17.04,35.8,23.64,9.82,13.7
172,16.15,36.62,25.07,9.08,13.08
173,13.55,38.45,26.83,8.87,12.29
174,13.39,38.68,28.65,7.76,11.52
175,11.74,41.91,28.8,7.39,10.15
176,11.38,42.54,30.78,6.29,9.01
177,9.64,43.92,31.41,6.24,8.79
178,8.2,46.13,32.52,5.21,7.93
179,45.38,10.14,6.71,12.46,25.31
180,43.58,11.03,8.14,13.23,24.02
181,40.31,12.27,10.45,13.66,23.32
182,38.3,13.94,10.88,13.11,23.77
183,36.61,15.13,12.52,13.41,22.34
184,34.34,16.85,13.4,13.86,21.54
185,31.52,18.93,15.18,13.64,20.73
186,29.69,20.75,15.3,13.79,20.48
187,27.58,23.15,16.95,13.25,19.08
188,25.13,24.74,19.3,13.31,17.52
189,23.27,27.64,20.82,12.33,15.94
190,20.72,30.04,21.98,12.15,15.1
191,19.44,31.53,23.35,11.67,14.01
192,18.21,33.06,24.8,10.82,13.11
193,15.99,35.66,26.52,9.73,12.1
194,14.23,36.81,27.85,9.77,11.34
195,13.39,38.55,29.63,8.27,10.16
196,11.71,40.53,30.83,7.38,9.55
197,11.5,41.48,31.23,7.3,8.49
198,9.69,43.68,32.47,6.63,7.53
199,9.32,44.65,33.46,5.82,6.75
200,45.4,9.9,7.52,13.61,23.57
201,43.4,10.18,9.43,14.23,22.76
