index,Ag,Au,Pd,Pt,Rh,Composition,Similarity_to_Resistance
0,26.07,21.51,7.66,5.34,39.42,Ag26.07Au21.51Pd7.66Pt5.34Rh39.42,0.43640536
1,23.56,23.64,8.31,5.21,39.28,Ag23.56Au23.64Pd8.31Pt5.21Rh39.28,0.43674016
2,23.48,25.81,8.24,5.03,37.44,Ag23.48Au25.81Pd8.24Pt5.03Rh37.44,0.43398952
3,21.47,27.96,9.86,5.09,35.62,Ag21.47Au27.96Pd9.86Pt5.09Rh35.62,0.4321679
4,19.78,31.12,10.91,4.76,33.43,Ag19.78Au31.12Pd10.91Pt4.76Rh33.43,0.42898214
5,18.19,34.05,11.55,4.64,31.57,Ag18.19Au34.05Pd11.55Pt4.64Rh31.57,0.4264509
6,16.74,37.14,12.6,4.06,29.46,Ag16.74Au37.14Pd12.60Pt4.06Rh29.46,0.42272997
7,15.63,38.8,13.31,4.19,28.07,Ag15.63Au38.80Pd13.31Pt4.19Rh28.07,0.42108822
8,13.92,42.11,14.28,3.15,26.53,Ag13.92Au42.11Pd14.28Pt3.15Rh26.53,0.41735423
9,12.99,44.72,15.13,3.4,23.76,Ag12.99Au44.72Pd15.13Pt3.40Rh23.76,0.41369522
10,11.56,46.76,16.3,2.94,22.43,Ag11.56Au46.76Pd16.30Pt2.94Rh22.43,0.41111255
11,28.8,19.23,7.23,5.98,38.76,Ag28.80Au19.23Pd7.23Pt5.98Rh38.76,0.43568665
12,27.13,20.76,7.69,6.02,38.4,Ag27.13Au20.76Pd7.69Pt6.02Rh38.40,0.43581396
13,25.45,22.98,9.19,5.55,36.82,Ag25.45Au22.98Pd9.19Pt5.55Rh36.82,0.4335212
14,23.7,25.89,9.39,5.34,35.68,Ag23.70Au25.89Pd9.39Pt5.34Rh35.68,0.43209368
15,23.08,28.45,10.25,5.42,32.81,Ag23.08Au28.45Pd10.25Pt5.42Rh32.81,0.42840293
16,20.86,31.4,10.63,5.34,31.77,Ag20.86Au31.40Pd10.63Pt5.34Rh31.77,0.42729917
17,19.45,33.66,12.09,4.95,29.85,Ag19.45Au33.66Pd12.09Pt4.95Rh29.85,0.42426693
18,17.33,36.73,13.9,4.22,27.82,Ag17.33Au36.73Pd13.90Pt4.22Rh27.82,0.4205807
19,15.72,38.3,15.01,4.86,26.1,Ag15.72Au38.30Pd15.01Pt4.86Rh26.10,0.41935417
20,14.48,41.99,15.63,3.61,24.29,Ag14.48Au41.99Pd15.63Pt3.61Rh24.29,0.41476548
21,13.84,44.96,15.95,3.49,21.76,Ag13.84Au44.96Pd15.95Pt3.49Rh21.76,0.41075838
22,12.4,47.74,16.45,3.6,19.81,Ag12.40Au47.74Pd16.45Pt3.60Rh19.81,0.4080537
23,11.51,48.46,17.28,2.94,19.81,Ag11.51Au48.46Pd17.28Pt2.94Rh19.81,0.40712017
24,31.3,16.53,7.16,6.54,38.47,Ag31.30Au16.53Pd7.16Pt6.54Rh38.47,0.43533722
25,30.3,18.4,7.72,6.29,37.29,Ag30.30Au18.40Pd7.72Pt6.29Rh37.29,0.4337592
26,28.76,20.62,8.65,6.15,35.82,Ag28.76Au20.62Pd8.65Pt6.15Rh35.82,0.43210673
27,26.49,22.58,8.63,6.18,36.12,Ag26.49Au22.58Pd8.63Pt6.18Rh36.12,0.4332345
28,24.61,25.36,10.82,6.12,33.1,Ag24.61Au25.36Pd10.82Pt6.12Rh33.10,0.42958516
29,23.07,28.22,11.34,5.79,31.58,Ag23.07Au28.22Pd11.34Pt5.79Rh31.58,0.4273199
30,20.93,30.49,12.71,6.09,29.77,Ag20.93Au30.49Pd12.71Pt6.09Rh29.77,0.42573822
31,19.77,33.88,12.37,5.35,28.62,Ag19.77Au33.88Pd12.37Pt5.35Rh28.62,0.42306957
32,18.24,36.74,13.92,5.16,25.93,Ag18.24Au36.74Pd13.92Pt5.16Rh25.93,0.41913423
33,17.56,38.51,14.68,4.88,24.37,Ag17.56Au38.51Pd14.68Pt4.88Rh24.37,0.41648275
34,14.82,42.0,16.3,4.4,22.49,Ag14.82Au42.00Pd16.30Pt4.40Rh22.49,0.41330576
35,13.75,43.59,17.52,3.98,21.16,Ag13.75Au43.59Pd17.52Pt3.98Rh21.16,0.41078517
36,12.66,46.35,18.72,3.73,18.54,Ag12.66Au46.35Pd18.72Pt3.73Rh18.54,0.40648502
37,11.62,48.03,19.74,3.12,17.49,Ag11.62Au48.03Pd19.74Pt3.12Rh17.49,0.40400332
38,10.92,50.64,20.22,2.72,15.5,Ag10.92Au50.64Pd20.22Pt2.72Rh15.50,0.40028328
39,34.96,14.8,6.23,7.35,36.64,Ag34.96Au14.80Pd6.23Pt7.35Rh36.64,0.4328093
40,32.61,16.52,7.01,7.15,36.71,Ag32.61Au16.52Pd7.01Pt7.15Rh36.71,0.43348795
41,31.69,18.2,7.39,7.46,35.26,Ag31.69Au18.20Pd7.39Pt7.46Rh35.26,0.43235946
42,29.74,20.07,9.0,6.92,34.27,Ag29.74Au20.07Pd9.00Pt6.92Rh34.27,0.43090153
43,27.51,22.62,10.3,6.9,32.68,Ag27.51Au22.62Pd10.30Pt6.90Rh32.68,0.42940265
44,25.83,24.71,11.83,6.87,30.76,Ag25.83Au24.71Pd11.83Pt6.87Rh30.76,0.4271904
