,x,y,time,R,I,V
0,-22500,-40500,2024-05-13 14:15:05.252874,1.087552,0.04999815,0.05437557
1,-22500,-40500,2024-05-13 14:15:05.442973,1.0872,0.04999818,0.05435801
2,-22500,-40500,2024-05-13 14:15:05.625917,1.087234,0.04999806,0.05435958
3,-22500,-40500,2024-05-13 14:15:05.816025,1.087491,0.04999807,0.05437244
4,-22500,-40500,2024-05-13 14:15:05.997106,1.087491,0.04999807,0.05437244
5,-22500,-40500,2024-05-13 14:15:06.189044,1.088521,0.04999815,0.05442402
6,-22500,-40500,2024-05-13 14:15:06.370826,1.088521,0.04999815,0.05442402
7,-22500,-40500,2024-05-13 14:15:06.561673,1.088533,0.04999821,0.0544247
8,-22500,-40500,2024-05-13 14:15:06.743141,1.088521,0.04999815,0.05442402
9,-22500,-40500,2024-05-13 14:15:06.933879,1.087276,0.04999814,0.05436178
10,-22500,-40500,2024-05-13 14:15:07.549872,1.087521,0.04999808,0.05437399
11,-22500,-40500,2024-05-13 14:15:07.740794,1.088521,0.04999815,0.05442402
12,-22500,-40500,2024-05-13 14:15:07.922857,1.087552,0.04999815,0.05437557
13,-22500,-40500,2024-05-13 14:15:08.112790,1.087491,0.04999807,0.05437244
14,-22500,-40500,2024-05-13 14:15:08.294887,1.088533,0.04999821,0.0544247
15,-22500,-40500,2024-05-13 14:15:08.486061,1.0872,0.04999818,0.05435801
16,-22500,-40500,2024-05-13 14:15:08.668292,1.087552,0.04999815,0.05437557
17,-22500,-40500,2024-05-13 14:15:08.858643,1.088547,0.0499981,0.05442527
18,-22500,-40500,2024-05-13 14:15:09.040114,1.088521,0.04999815,0.05442402
19,-22500,-40500,2024-05-13 14:15:09.231424,1.088527,0.04999815,0.05442434
20,-22500,-40500,2024-05-13 14:15:09.839022,1.087618,0.04999819,0.05437896
21,-22500,-40500,2024-05-13 14:15:10.028837,1.088533,0.04999821,0.0544247
22,-22500,-40500,2024-05-13 14:15:10.210855,1.088533,0.04999821,0.0544247
23,-22500,-40500,2024-05-13 14:15:10.400847,1.087234,0.04999806,0.05435958
24,-22500,-40500,2024-05-13 14:15:10.583015,1.088547,0.0499981,0.05442527
25,-22500,-40500,2024-05-13 14:15:10.773879,1.087521,0.04999808,0.05437399
26,-22500,-40500,2024-05-13 14:15:10.954883,1.087491,0.04999807,0.05437244
27,-22500,-40500,2024-05-13 14:15:11.145779,1.088527,0.04999815,0.05442434
28,-22500,-40500,2024-05-13 14:15:11.329137,1.088521,0.04999815,0.05442402
29,-22500,-40500,2024-05-13 14:15:11.519156,1.087491,0.04999807,0.05437244
30,-18000,-40500,2024-05-13 14:15:12.484352,1.087238,0.04999811,0.05435983
31,-18000,-40500,2024-05-13 14:15:12.762173,1.087207,0.0499981,0.05435827
32,-18000,-40500,2024-05-13 14:15:12.943887,1.087234,0.04999806,0.05435958
33,-18000,-40500,2024-05-13 14:15:13.134092,1.087206,0.0499982,0.05435835
34,-18000,-40500,2024-05-13 14:15:13.316113,1.087206,0.04999813,0.05435826
35,-18000,-40500,2024-05-13 14:15:13.497826,1.0872,0.04999818,0.05435801
36,-18000,-40500,2024-05-13 14:15:13.687910,1.087247,0.04999815,0.05436036
37,-18000,-40500,2024-05-13 14:15:13.877324,1.087276,0.04999814,0.05436178
38,-18000,-40500,2024-05-13 14:15:14.059193,1.087302,0.04999811,0.05436305
39,-18000,-40500,2024-05-13 14:15:14.248569,1.087286,0.04999819,0.05436232
40,-18000,-40500,2024-05-13 14:15:14.863274,1.087491,0.04999807,0.05437244
41,-18000,-40500,2024-05-13 14:15:15.053350,1.087521,0.04999808,0.05437399
42,-18000,-40500,2024-05-13 14:15:15.235540,1.087529,0.04999813,0.05437441
43,-18000,-40500,2024-05-13 14:15:15.424701,1.087493,0.04999815,0.05437263
44,-18000,-40500,2024-05-13 14:15:15.605869,1.087552,0.04999815,0.05437557
45,-18000,-40500,2024-05-13 14:15:15.795883,1.087529,0.04999813,0.05437441
46,-18000,-40500,2024-05-13 14:15:15.977205,1.087582,0.04999817,0.05437713
47,-18000,-40500,2024-05-13 14:15:16.167509,1.087618,0.04999819,0.05437896
48,-18000,-40500,2024-05-13 14:15:16.349447,1.087619,0.04999815,0.05437895
49,-18000,-40500,2024-05-13 14:15:16.538820,1.08763,0.0499982,0.05437954
50,-18000,-40500,2024-05-13 14:15:17.131083,1.088439,0.0499981,0.05441989
51,-18000,-40500,2024-05-13 14:15:17.321036,1.088449,0.04999809,0.05442039
52,-18000,-40500,2024-05-13 14:15:17.503284,1.088454,0.0499981,0.05442062
53,-18000,-40500,2024-05-13 14:15:17.693417,1.088457,0.04999812,0.0544208
54,-18000,-40500,2024-05-13 14:15:17.874343,1.088521,0.04999815,0.05442402
55,-18000,-40500,2024-05-13 14:15:18.064881,1.088504,0.04999814,0.05442318
56,-18000,-40500,2024-05-13 14:15:18.246781,1.088533,0.04999821,0.0544247
57,-18000,-40500,2024-05-13 14:15:18.436546,1.088547,0.0499981,0.05442527
58,-18000,-40500,2024-05-13 14:15:18.617587,1.08849,0.04999806,0.05442238
59,-18000,-40500,2024-05-13 14:15:18.806881,1.088527,0.04999815,0.05442434
60,-13500,-40500,2024-05-13 14:15:19.746208,1.088896,0.04999812,0.05444274
61,-13500,-40500,2024-05-13 14:15:19.936873,1.088882,0.04999807,0.054442
62,-13500,-40500,2024-05-13 14:15:20.118301,1.088881,0.0499981,0.05444198
63,-13500,-40500,2024-05-13 14:15:20.307804,1.088928,0.04999812,0.05444434
64,-13500,-40500,2024-05-13 14:15:20.490890,1.088945,0.0499981,0.0544452
65,-13500,-40500,2024-05-13 14:15:20.680301,1.088981,0.0499981,0.05444698
66,-13500,-40500,2024-05-13 14:15:20.861113,1.088982,0.04999813,0.05444704
67,-13500,-40500,2024-05-13 14:15:21.050786,1.088971,0.04999814,0.05444655
68,-13500,-40500,2024-05-13 14:15:21.233143,1.088962,0.04999812,0.05444603
69,-13500,-40500,2024-05-13 14:15:21.422848,1.088976,0.04999807,0.05444669
70,-13500,-40500,2024-05-13 14:15:22.040712,1.088984,0.04999814,0.05444716
71,-13500,-40500,2024-05-13 14:15:22.229617,1.088984,0.0499981,0.05444711
72,-13500,-40500,2024-05-13 14:15:22.411526,1.088982,0.04999819,0.05444715
73,-13500,-40500,2024-05-13 14:15:22.601212,1.088998,0.04999814,0.05444789
