,x,y,time,R,I,V
0,-22500,-40500,2024-05-29 14:58:35.102373,1.084673,0.04999808,0.05423155
1,-22500,-40500,2024-05-29 14:58:35.294795,1.087505,0.04999816,0.05437324
2,-22500,-40500,2024-05-29 14:58:35.476557,1.08471,0.04999815,0.05423348
3,-22500,-40500,2024-05-29 14:58:35.666991,1.084646,0.04999806,0.05423019
4,-22500,-40500,2024-05-29 14:58:35.849514,1.083259,0.0499981,0.0541609
5,-22500,-40500,2024-05-29 14:58:36.039841,1.083269,0.04999812,0.05416142
6,-22500,-40500,2024-05-29 14:58:36.221830,1.084693,0.04999815,0.05423263
7,-22500,-40500,2024-05-29 14:58:36.413784,1.084673,0.04999808,0.05423155
8,-22500,-40500,2024-05-29 14:58:36.595052,1.087456,0.04999817,0.05437079
9,-22500,-40500,2024-05-29 14:58:36.785793,1.087582,0.0499981,0.05437702
10,-22500,-40500,2024-05-29 14:58:37.395434,1.083259,0.0499981,0.0541609
11,-22500,-40500,2024-05-29 14:58:37.585254,1.083259,0.0499981,0.0541609
12,-22500,-40500,2024-05-29 14:58:37.766769,1.084701,0.04999816,0.05423307
13,-22500,-40500,2024-05-29 14:58:37.957491,1.08339,0.04999815,0.05416749
14,-22500,-40500,2024-05-29 14:58:38.140040,1.084693,0.04999815,0.05423263
15,-22500,-40500,2024-05-29 14:58:38.330227,1.083269,0.04999814,0.05416141
16,-22500,-40500,2024-05-29 14:58:38.512298,1.08471,0.04999815,0.05423348
17,-22500,-40500,2024-05-29 14:58:38.703941,1.08751,0.04999815,0.05437348
18,-22500,-40500,2024-05-29 14:58:38.885365,1.087505,0.04999816,0.05437324
19,-22500,-40500,2024-05-29 14:58:39.076231,1.083259,0.0499981,0.0541609
20,-22500,-40500,2024-05-29 14:58:39.682788,1.08329,0.04999819,0.05416253
21,-22500,-40500,2024-05-29 14:58:39.873837,1.084673,0.04999808,0.05423155
22,-22500,-40500,2024-05-29 14:58:40.056116,1.08339,0.04999815,0.05416749
23,-22500,-40500,2024-05-29 14:58:40.247837,1.083259,0.0499981,0.0541609
24,-22500,-40500,2024-05-29 14:58:40.430755,1.083269,0.04999814,0.05416141
25,-22500,-40500,2024-05-29 14:58:40.621974,1.084646,0.04999806,0.05423019
26,-22500,-40500,2024-05-29 14:58:40.803782,1.083269,0.04999812,0.05416142
27,-22500,-40500,2024-05-29 14:58:40.994869,1.08329,0.04999819,0.05416253
28,-22500,-40500,2024-05-29 14:58:41.180786,1.084701,0.04999816,0.05423307
29,-22500,-40500,2024-05-29 14:58:41.371819,1.087505,0.04999816,0.05437324
30,-18000,-40500,2024-05-29 14:58:42.317389,1.087582,0.0499981,0.05437702
31,-18000,-40500,2024-05-29 14:58:42.595187,1.087527,0.04999814,0.05437432
32,-18000,-40500,2024-05-29 14:58:42.776943,1.087506,0.04999806,0.05437321
33,-18000,-40500,2024-05-29 14:58:42.966857,1.087481,0.04999815,0.05437205
34,-18000,-40500,2024-05-29 14:58:43.147792,1.087474,0.04999812,0.05437163
35,-18000,-40500,2024-05-29 14:58:43.337605,1.08751,0.04999815,0.05437348
36,-18000,-40500,2024-05-29 14:58:43.519320,1.087495,0.04999807,0.05437264
37,-18000,-40500,2024-05-29 14:58:43.709889,1.087505,0.04999816,0.05437324
38,-18000,-40500,2024-05-29 14:58:43.891831,1.087497,0.04999821,0.05437291
39,-18000,-40500,2024-05-29 14:58:44.081019,1.087456,0.04999817,0.05437079
40,-18000,-40500,2024-05-29 14:58:44.687111,1.08339,0.04999815,0.05416749
41,-18000,-40500,2024-05-29 14:58:44.877758,1.083347,0.04999812,0.05416531
42,-18000,-40500,2024-05-29 14:58:45.058498,1.083327,0.04999817,0.05416436
43,-18000,-40500,2024-05-29 14:58:45.248500,1.083269,0.04999814,0.05416141
44,-18000,-40500,2024-05-29 14:58:45.429656,1.083285,0.04999807,0.05416216
45,-18000,-40500,2024-05-29 14:58:45.619876,1.08329,0.04999819,0.05416253
46,-18000,-40500,2024-05-29 14:58:45.801036,1.083269,0.04999812,0.05416142
47,-18000,-40500,2024-05-29 14:58:45.991832,1.083259,0.0499981,0.0541609
48,-18000,-40500,2024-05-29 14:58:46.172783,1.083308,0.04999818,0.05416346
49,-18000,-40500,2024-05-29 14:58:46.361900,1.083316,0.04999804,0.05416368
50,-18000,-40500,2024-05-29 14:58:46.971272,1.084887,0.04999811,0.0542423
51,-18000,-40500,2024-05-29 14:58:47.161831,1.084749,0.04999815,0.05423542
52,-18000,-40500,2024-05-29 14:58:47.342774,1.084701,0.04999816,0.05423307
53,-18000,-40500,2024-05-29 14:58:47.531944,1.08471,0.04999815,0.05423348
54,-18000,-40500,2024-05-29 14:58:47.713491,1.084673,0.04999808,0.05423155
55,-18000,-40500,2024-05-29 14:58:47.905908,1.084677,0.04999818,0.05423189
56,-18000,-40500,2024-05-29 14:58:48.088073,1.084646,0.04999806,0.05423019
57,-18000,-40500,2024-05-29 14:58:48.278001,1.08469,0.04999818,0.0542325
58,-18000,-40500,2024-05-29 14:58:48.459290,1.084633,0.04999811,0.05422962
59,-18000,-40500,2024-05-29 14:58:48.648808,1.084693,0.04999815,0.05423263
60,-13500,-40500,2024-05-29 14:58:49.587823,1.100819,0.04999815,0.05503893
61,-13500,-40500,2024-05-29 14:58:49.777807,1.10074,0.04999809,0.05503489
62,-13500,-40500,2024-05-29 14:58:49.959882,1.100781,0.04999813,0.055037
63,-13500,-40500,2024-05-29 14:58:50.150007,1.10071,0.04999813,0.05503346
64,-13500,-40500,2024-05-29 14:58:50.330828,1.100678,0.04999814,0.05503185
65,-13500,-40500,2024-05-29 14:58:50.520777,1.100725,0.04999814,0.05503422
66,-13500,-40500,2024-05-29 14:58:50.701874,1.100673,0.04999817,0.05503163
67,-13500,-40500,2024-05-29 14:58:50.891781,1.100723,0.04999811,0.05503406
68,-13500,-40500,2024-05-29 14:58:51.072808,1.100695,0.04999814,0.05503272
69,-13500,-40500,2024-05-29 14:58:51.262814,1.100738,0.04999811,0.05503482
70,-13500,-40500,2024-05-29 14:58:51.871144,1.099549,0.04999812,0.05497536
71,-13500,-40500,2024-05-29 14:58:52.060571,1.099314,0.04999813,0.05496367
72,-13500,-40500,2024-05-29 14:58:52.246776,1.099268,0.04999812,0.05496132
73,-13500,-40500,2024-05-29 14:58:52.436354,1.099215,0.04999816,0.05495872
74,-13500,-40500,2024-05-29 14:58:52.618301,1.099221,0.04999814,0.05495898
75,-13500,-40500,2024-05-29 14:58:52.808305,1.099171,0.04999809,0.05495644
76,-13500,-40500,2024-05-29 14:58:52.989467,1.099188,0.04999814,0.05495737
77,-13500,-40500,2024-05-29 14:58:53.178830,1.099156,0.04999818,0.05495578
78,-13500,-40500,2024-05-29 14:58:53.360815,1.099152,0.04999813,0.05495554
79,-13500,-40500,2024-05-29 14:58:53.550250,1.099193,0.04999818,0.05495763
