x,y,R,I,V
-22500,-40500,1.0846437666666666,0.049998129333333335,0.054230153333333336
-18000,-40500,1.0851717333333333,0.049998131333333334,0.05425655533333333
-13500,-40500,1.0995792333333334,0.04999813433333333,0.05497691033333333
-9000,-40500,1.1171785666666667,0.049998119333333334,0.055856822
-4500,-40500,1.1357467666666667,0.049998125666666664,0.056785207666666664
0,-40500,1.1538307,0.049998133,0.05768938666666667
4500,-40500,1.1683602666666666,0.04999811533333333,0.058415811000000005
9000,-40500,1.1776467333333334,0.049998117,0.058880119
13500,-40500,1.1810459333333334,0.049998118,0.059050075333333334
18000,-40500,1.1799437666666668,0.049998124000000005,0.058994976666666664
22500,-40500,1.1903751666666667,0.049998114333333336,0.059516516
-27000,-36000,1.0534374,0.049998138,0.05266990766666667
-22500,-36000,1.0625690333333333,0.049998130333333335,0.053126463
-18000,-36000,1.0773259000000002,0.049998146,0.05386429666666667
-13500,-36000,1.0927235666666666,0.04999813166666667,0.054634136
-9000,-36000,1.1073557666666667,0.04999812866666667,0.055365716333333335
-4500,-36000,1.1216859333333333,0.049998121,0.05608218733333333
0,-36000,1.1346503333333333,0.049998119,0.056730382333333336
4500,-36000,1.1459895666666666,0.049998120333333326,0.057297322666666664
9000,-36000,1.1518554666666667,0.049998118,0.057590603
13500,-36000,1.1511170666666668,0.049998117333333335,0.057553684333333334
18000,-36000,1.1423164666666668,0.04999811033333333,0.057113663333333335
22500,-36000,1.1308596999999998,0.049998124666666664,0.05654086666666667
27000,-36000,1.1178908333333333,0.04999812633333334,0.055892445
-31500,-31500,1.0462759333333334,0.049998139000000004,0.052311853
-27000,-31500,1.0502652,0.04999813333333333,0.05251130333333333
-22500,-31500,1.0591094,0.049998141,0.052953504
-18000,-31500,1.0721458666666666,0.04999814833333334,0.05360530733333334
-13500,-31500,1.0840659,0.04999813833333333,0.05420127833333333
-9000,-31500,1.0970959,0.04999813166666667,0.054852743333333336
-4500,-31500,1.1089097333333333,0.04999812966666666,0.055443412666666664
0,-31500,1.1189121,0.04999812333333333,0.055943506
4500,-31500,1.1266726333333332,0.049998117,0.05633150866666667
9000,-31500,1.1283657666666669,0.04999812133333333,0.05641616666666667
13500,-31500,1.1219794,0.049998120666666666,0.05609686233333333
18000,-31500,1.1137091333333333,0.04999812333333333,0.05568336633333334
22500,-31500,1.0967953666666665,0.04999812766666667,0.05483771666666667
27000,-31500,1.0751956333333332,0.04999813,0.05375777433333333
31500,-31500,1.0524192,0.049998146,0.05261900866666667
-36000,-27000,1.0328782,0.04999814700000001,0.05164199333333333
-31500,-27000,1.0395796333333334,0.04999815966666667,0.051977065333333336
-27000,-27000,1.0464298,0.049998158333333334,0.05231956
-22500,-27000,1.0560620333333335,0.04999814666666667,0.05280114066666666
-18000,-27000,1.0661021,0.049998141,0.053303123333333334
-13500,-27000,1.0765820666666666,0.049998124666666664,0.05382708733333333
-9000,-27000,1.0862416666666665,0.049998144333333334,0.05431007
-4500,-27000,1.0954563,0.049998158,0.05477079566666666
0,-27000,1.1034945333333332,0.04999814733333333,0.05517268166666667
4500,-27000,1.1059097,0.04999814033333334,0.055293431
9000,-27000,1.1047879666666667,0.04999813966666666,0.05523735033333333
13500,-27000,1.0962284666666666,0.04999814633333333,0.05480939366666667
18000,-27000,1.0834342,0.04999813533333333,0.05416969233333333
22500,-27000,1.0648346666666666,0.04999814066666666,0.053239752
27000,-27000,1.0413222666666668,0.04999814333333333,0.05206417666666666
31500,-27000,1.0136499333333333,0.049998152000000004,0.050680622333333335
36000,-27000,0.9910992833333334,0.049998163000000005,0.04955314233333333
-40500,-22500,1.0281635333333332,0.049998146,0.05140627033333334
-36000,-22500,1.0316604333333332,0.049998149,0.05158111233333333
-31500,-22500,1.0378318333333332,0.049998143,0.05188966366666667
-27000,-22500,1.0429915,0.04999814366666667,0.052147638333333336
-22500,-22500,1.0510589333333333,0.049998138,0.052550986333333334
-18000,-22500,1.0601829,0.049998144,0.05300717466666667
-13500,-22500,1.0674705666666666,0.049998136666666665,0.05337154
-9000,-22500,1.0745419666666665,0.049998135000000006,0.053725095333333334
-4500,-22500,1.0824167333333332,0.049998128,0.054118812
0,-22500,1.0867114333333334,0.04999813533333333,0.05433354866666666
4500,-22500,1.0859879333333333,0.04999812966666666,0.054297368
9000,-22500,1.0801150333333331,0.049998134,0.05400373733333333
13500,-22500,1.0686156,0.04999813266666667,0.05342878733333333
18000,-22500,1.0528416999999999,0.04999813766666667,0.05264012566666666
22500,-22500,1.0325928,0.04999815,0.05162773066666667
27000,-22500,1.0091123333333334,0.049998159,0.050453756333333336
31500,-22500,0.98020405,0.04999816233333333,0.049008401666666666
36000,-22500,0.9515941766666667,0.04999817266666667,0.047577968
40500,-22500,0.9489361366666667,0.04999817866666667,0.04744507866666667
-40500,-18000,1.0291848000000001,0.04999815233333334,0.051457339666666664
-36000,-18000,1.0333978333333333,0.04999815533333333,0.05166799066666667
-31500,-18000,1.0365902,0.04999815466666667,0.05182759766666667
-27000,-18000,1.0409221666666666,0.04999815533333333,0.05204418866666667
-22500,-18000,1.0464002666666667,0.04999815033333333,0.05231807966666667
-18000,-18000,1.0541392666666667,0.049998142333333336,0.05270500266666667
-13500,-18000,1.0587047,0.04999813966666666,0.052933266
-9000,-18000,1.0652437000000001,0.04999813866666667,0.05326020466666667
-4500,-18000,1.0698036666666666,0.04999813766666667,0.053488185
0,-18000,1.0707518,0.04999813433333333,0.05353559166666667
4500,-18000,1.0674743999999998,0.04999813766666667,0.05337173566666666
9000,-18000,1.0566448333333334,0.04999814366666667,0.052830277999999994
13500,-18000,1.0441117,0.049998136666666665,0.05220363433333333
18000,-18000,1.0270402666666667,0.049998147666666666,0.051350109666666664
22500,-18000,1.0048628333333334,0.04999815566666667,0.05024128533333334
27000,-18000,0.9809806366666667,0.04999816166666667,0.04904722933333334
31500,-18000,0.9513940066666666,0.04999817966666666,0.04756796866666667
36000,-18000,0.9227221533333334,0.049998175666666665,0.04613442466666667
40500,-18000,0.8953795299999999,0.049998176666666665,0.044767344333333334
