Index,Au,Pd,Pt,Rh
1,24.55,11.21,7.89,56.35
2,26.98,12.07,8.02,52.93
3,29.82,13.28,6.94,49.96
4,32.33,13.75,6.78,47.14
5,35.53,14.26,6.25,43.96
6,37.85,15.18,6.49,40.47
7,40.47,16.36,5.61,37.56
8,43.52,16.9,5.57,34.0
9,44.88,18.74,4.9,31.47
10,47.62,18.96,4.82,28.6
11,49.9,20.89,3.72,25.49
12,23.0,10.95,8.82,57.24
13,25.09,11.85,8.84,54.22
14,27.1,12.78,8.32,51.79
15,29.34,14.42,7.86,48.38
16,32.34,14.98,7.68,45.01
17,34.54,16.12,7.35,41.99
18,37.3,17.02,6.95,38.74
19,39.51,17.62,6.67,36.21
20,42.03,19.07,6.02,32.88
21,45.38,18.51,5.74,30.36
22,46.59,21.09,5.07,27.24
23,49.28,21.88,4.46,24.38
24,50.42,22.64,3.77,23.16
25,20.99,10.37,9.74,58.9
26,23.36,12.55,9.8,54.29
27,25.34,12.69,9.46,52.51
28,27.26,13.9,9.54,49.29
29,29.98,14.76,8.9,46.35
30,31.99,15.62,8.53,43.86
31,35.15,16.2,8.68,39.97
32,36.65,18.14,8.27,36.94
33,39.23,18.71,7.44,34.62
34,42.19,18.9,6.8,32.12
35,44.34,20.46,6.63,28.58
36,46.3,21.47,6.37,25.85
37,48.4,22.7,6.08,22.82
38,49.75,24.27,5.21,20.77
39,51.19,24.72,4.46,19.62
40,19.4,11.31,10.69,58.6
41,21.47,11.35,11.01,56.18
42,23.54,12.69,10.89,52.87
43,24.97,13.46,10.84,50.73
44,27.65,14.0,10.76,47.59
45,29.44,15.74,10.38,44.44
46,32.35,16.8,10.17,40.68
47,34.21,17.73,9.42,38.64
48,37.33,18.73,8.77,35.17
49,39.42,19.81,8.36,32.41
50,41.09,21.31,8.07,29.53
51,43.2,22.49,7.28,27.04
52,44.89,23.73,6.61,24.77
53,47.59,24.35,6.06,22.0
54,49.02,25.49,6.02,19.47
55,50.39,26.15,5.45,18.01
56,52.41,27.03,4.22,16.34
57,17.92,11.2,12.36,58.51
58,19.76,11.51,12.38,56.35
59,21.1,13.05,12.3,53.55
60,22.71,14.58,11.98,50.73
61,24.88,14.74,12.31,48.07
62,27.84,15.37,11.7,45.09
63,29.05,17.53,11.45,41.96
64,31.54,18.23,11.09,39.14
65,33.76,19.22,9.85,37.17
66,36.66,20.62,9.65,33.08
67,38.37,20.91,9.47,31.25
68,41.33,22.69,8.25,27.73
69,43.25,23.27,7.94,25.53
70,43.74,25.47,7.77,23.02
71,47.37,24.7,7.01,20.93
72,47.99,27.33,6.29,18.38
73,49.75,27.35,6.16,16.74
74,51.3,28.98,4.98,14.74
75,52.49,29.88,4.28,13.35
76,17.53,11.26,14.57,56.64
77,18.85,12.46,14.34,54.35
78,20.8,13.69,13.69,51.83
79,23.33,13.87,13.87,48.94
80,24.57,16.04,12.94,46.45
81,27.1,16.68,13.05,43.17
82,29.01,18.06,12.72,40.21
83,31.22,18.59,12.66,37.52
84,34.26,19.93,11.79,34.02
85,35.75,21.11,11.29,31.85
86,38.12,22.06,10.47,29.35
87,40.13,24.52,9.09,26.26
88,41.69,24.82,9.34,24.15
89,43.63,26.54,8.38,21.45
90,45.07,27.51,7.72,19.7
91,46.91,28.51,7.03,17.55
92,48.03,29.05,6.61,16.31
93,49.21,31.01,5.74,14.05
94,50.57,31.65,5.28,12.5
95,15.85,10.6,15.71,57.85
96,17.5,12.33,15.86,54.31
97,19.42,13.35,15.9,51.34
98,20.2,14.84,15.6,49.37
99,22.83,15.18,15.45,46.54
100,24.2,17.46,14.47,43.87
101,26.47,17.59,14.7,41.24
102,28.59,18.94,13.99,38.49
103,30.61,20.11,13.15,36.12
104,32.45,22.0,13.56,31.99
105,35.06,22.29,12.51,30.14
106,37.18,24.44,11.22,27.16
107,38.81,25.21,11.13,24.85
108,40.72,26.31,10.17,22.8
109,42.51,27.53,9.27,20.68
110,43.95,28.6,8.79,18.66
111,45.87,30.09,8.09,15.94
112,47.23,31.3,7.09,14.38
113,47.6,32.28,6.4,13.72
114,48.78,33.15,5.65,12.42
115,50.23,34.05,5.19,10.53
116,15.65,12.33,17.61,54.41
117,17.35,13.2,17.44,52.01
118,18.71,13.82,17.3,50.17
119,20.14,15.97,17.63,46.26
120,22.5,15.68,17.51,44.31
121,23.94,18.07,17.18,40.81
122,26.18,19.19,16.24,38.39
123,27.74,20.43,15.9,35.94
124,30.22,20.76,15.5,33.52
125,31.97,22.57,14.4,31.06
126,34.14,23.78,13.86,28.23
127,35.55,26.05,12.78,25.62
128,37.17,26.74,12.26,23.84
129,39.41,28.19,11.42,20.98
130,41.46,29.2,10.22,19.12
131,42.76,30.28,9.46,17.5
132,44.61,31.74,8.6,15.05
