,x,y,time,R,I,V
0,-22500,-40500,2024-05-29 15:46:19.149818,0.8773748,0.04999823,0.04386719
1,-22500,-40500,2024-05-29 15:46:19.339813,0.8773748,0.04999823,0.04386719
2,-22500,-40500,2024-05-29 15:46:19.521783,0.8777871,0.04999818,0.04388776
3,-22500,-40500,2024-05-29 15:46:19.711842,0.8761442,0.0499982,0.04380563
4,-22500,-40500,2024-05-29 15:46:19.893951,0.8778139,0.04999819,0.04388911
5,-22500,-40500,2024-05-29 15:46:20.085015,0.8773227,0.0499982,0.04386456
6,-22500,-40500,2024-05-29 15:46:20.267579,0.8761089,0.04999829,0.04380395
7,-22500,-40500,2024-05-29 15:46:20.457972,0.8777315,0.04999819,0.04388499
8,-22500,-40500,2024-05-29 15:46:20.639399,0.8760808,0.04999814,0.04380241
9,-22500,-40500,2024-05-29 15:46:20.829257,0.8778139,0.04999819,0.04388911
10,-22500,-40500,2024-05-29 15:46:21.436952,0.876125,0.04999824,0.04380471
11,-22500,-40500,2024-05-29 15:46:21.626723,0.877298,0.04999823,0.04386334
12,-22500,-40500,2024-05-29 15:46:21.808540,0.8777677,0.04999825,0.04388685
13,-22500,-40500,2024-05-29 15:46:21.998781,0.8778139,0.04999819,0.04388911
14,-22500,-40500,2024-05-29 15:46:22.181165,0.8760982,0.04999826,0.04380338
15,-22500,-40500,2024-05-29 15:46:22.372201,0.8777851,0.04999822,0.04388769
16,-22500,-40500,2024-05-29 15:46:22.554473,0.8778189,0.04999822,0.04388938
17,-22500,-40500,2024-05-29 15:46:22.744528,0.8761442,0.0499982,0.04380563
18,-22500,-40500,2024-05-29 15:46:22.925843,0.8777677,0.04999825,0.04388685
19,-22500,-40500,2024-05-29 15:46:23.116196,0.8778189,0.04999822,0.04388938
20,-22500,-40500,2024-05-29 15:46:23.728898,0.8777315,0.04999819,0.04388499
21,-22500,-40500,2024-05-29 15:46:23.919659,0.8777851,0.04999822,0.04388769
22,-22500,-40500,2024-05-29 15:46:24.101767,0.8777871,0.04999818,0.04388776
23,-22500,-40500,2024-05-29 15:46:24.291783,0.8760808,0.04999814,0.04380241
24,-22500,-40500,2024-05-29 15:46:24.474147,0.8773748,0.04999823,0.04386719
25,-22500,-40500,2024-05-29 15:46:24.665046,0.8760982,0.04999826,0.04380338
26,-22500,-40500,2024-05-29 15:46:24.846811,0.8773227,0.0499982,0.04386456
27,-22500,-40500,2024-05-29 15:46:25.037825,0.876125,0.04999824,0.04380471
28,-22500,-40500,2024-05-29 15:46:25.222800,0.8773748,0.04999823,0.04386719
29,-22500,-40500,2024-05-29 15:46:25.414878,0.877298,0.04999823,0.04386334
30,-18000,-40500,2024-05-29 15:46:26.364827,0.8778769,0.04999816,0.04389223
31,-18000,-40500,2024-05-29 15:46:26.642783,0.8778139,0.04999819,0.04388911
32,-18000,-40500,2024-05-29 15:46:26.825035,0.8778189,0.04999822,0.04388938
33,-18000,-40500,2024-05-29 15:46:27.015993,0.8777851,0.04999822,0.04388769
34,-18000,-40500,2024-05-29 15:46:27.197173,0.8777677,0.04999825,0.04388685
35,-18000,-40500,2024-05-29 15:46:27.387384,0.8777344,0.04999824,0.04388518
36,-18000,-40500,2024-05-29 15:46:27.569037,0.8777301,0.0499982,0.04388493
37,-18000,-40500,2024-05-29 15:46:27.760120,0.8777315,0.04999819,0.04388499
38,-18000,-40500,2024-05-29 15:46:27.941158,0.8777871,0.04999818,0.04388776
39,-18000,-40500,2024-05-29 15:46:28.131773,0.8778072,0.0499982,0.04388878
40,-18000,-40500,2024-05-29 15:46:28.740839,0.8773748,0.04999823,0.04386719
41,-18000,-40500,2024-05-29 15:46:28.931154,0.8773262,0.04999821,0.04386474
42,-18000,-40500,2024-05-29 15:46:29.113752,0.8772979,0.04999818,0.0438633
43,-18000,-40500,2024-05-29 15:46:29.303914,0.877298,0.04999823,0.04386334
44,-18000,-40500,2024-05-29 15:46:29.484789,0.8773577,0.04999824,0.04386634
45,-18000,-40500,2024-05-29 15:46:29.675218,0.8773276,0.04999824,0.04386484
46,-18000,-40500,2024-05-29 15:46:29.858140,0.8773227,0.0499982,0.04386456
