Index,Au,Pd,Pt,Rh,Ru
1,17.84,8.21,6.45,40.62,26.88
2,19.46,8.67,6.0,39.02,26.85
3,20.72,9.42,6.14,36.69,27.03
4,23.11,9.87,6.17,33.8,27.06
5,24.77,9.99,5.64,31.85,27.75
6,26.82,11.61,5.34,29.06,27.18
7,28.55,12.22,5.09,26.99,27.15
8,31.2,12.36,4.65,24.89,26.91
9,32.4,13.46,4.42,22.5,27.21
10,34.55,13.49,4.31,20.57,27.08
11,36.23,14.57,3.97,18.16,27.06
12,16.73,7.53,7.9,42.66,25.19
13,18.56,8.38,7.12,40.9,25.05
14,19.31,9.95,7.32,38.24,25.19
15,21.62,10.07,6.8,34.95,26.56
16,23.77,10.77,6.66,33.06,25.74
17,25.65,11.8,6.23,30.48,25.84
18,27.17,12.3,6.19,28.05,26.28
19,28.91,13.18,6.07,25.17,26.67
20,30.66,14.21,5.3,24.16,25.68
21,32.29,14.3,4.91,22.26,26.24
22,34.61,14.73,4.83,19.55,26.29
23,36.09,15.22,4.23,18.51,25.95
24,38.0,16.17,3.58,16.69,25.56
25,15.44,8.19,8.7,43.83,23.83
26,17.05,9.22,8.66,41.11,23.96
27,18.21,9.78,8.52,38.48,25.02
28,19.9,10.38,8.03,37.17,24.52
29,22.09,10.89,7.69,34.42,24.9
30,23.46,11.95,7.73,31.9,24.96
31,25.43,12.48,7.44,30.08,24.57
32,28.04,13.0,6.78,27.86,24.33
33,28.9,13.75,6.92,25.33,25.1
34,31.04,14.15,6.31,23.44,25.06
35,32.86,15.51,5.84,21.18,24.6
36,34.86,16.67,5.33,19.12,24.03
37,35.78,17.13,5.18,17.45,24.46
38,38.52,17.62,4.59,15.98,23.28
39,40.09,18.39,4.64,13.84,23.04
40,14.01,8.64,10.01,45.21,22.13
41,15.45,9.55,9.95,42.99,22.05
42,17.28,10.14,9.75,39.38,23.46
43,18.47,10.8,9.38,38.07,23.3
44,20.4,11.08,8.82,35.85,23.85
45,21.8,12.11,9.19,33.08,23.81
46,23.97,12.89,8.68,31.27,23.2
47,25.54,13.36,7.89,29.27,23.93
48,27.71,14.41,7.77,26.66,23.45
49,29.62,15.71,7.15,23.72,23.8
50,30.86,16.04,7.17,22.24,23.69
51,33.41,16.2,6.57,20.27,23.55
52,34.72,17.49,6.45,18.55,22.79
53,35.9,18.48,5.6,16.99,23.03
54,37.1,19.31,5.79,14.83,22.97
55,38.63,20.11,4.8,14.03,22.43
56,41.38,20.3,4.55,12.15,21.63
57,13.06,9.59,11.47,46.19,19.68
58,14.5,10.08,11.77,43.22,20.43
59,16.07,10.0,11.11,41.54,21.28
60,17.32,10.32,10.78,39.65,21.94
61,18.59,11.53,10.77,36.49,22.61
62,20.64,12.02,10.28,34.67,22.39
63,21.58,13.25,10.5,32.25,22.42
64,24.27,13.77,9.55,29.95,22.46
65,25.89,14.11,9.63,27.01,23.36
66,28.05,16.03,8.8,25.0,22.13
67,29.31,16.2,8.27,23.42,22.79
68,31.45,17.09,7.95,20.92,22.59
69,32.95,17.96,7.35,20.0,21.75
70,34.66,18.41,6.83,17.98,22.13
71,36.03,19.95,6.56,15.72,21.74
72,37.84,21.07,6.13,13.74,21.21
73,39.57,21.36,5.38,13.16,20.53
74,41.15,22.05,5.12,11.63,20.05
75,41.7,22.83,4.53,10.75,20.19
76,13.51,10.08,12.68,44.18,19.54
77,14.74,9.51,13.0,42.48,20.27
78,15.71,11.15,12.65,39.83,20.66
79,17.45,11.47,12.23,37.77,21.08
80,18.22,12.48,12.57,35.82,20.92
81,21.01,13.32,11.78,32.96,20.92
82,22.34,13.51,11.38,31.61,21.16
83,23.55,15.09,11.32,28.75,21.28
84,25.99,15.71,10.57,26.36,21.37
85,27.42,16.88,9.92,24.28,21.5
86,29.22,17.5,9.14,22.33,21.81
87,31.54,18.97,9.12,19.85,20.51
88,32.54,19.48,8.73,18.61,20.63
89,33.96,19.69,7.98,17.49,20.88
90,36.24,21.66,7.42,15.27,19.41
91,37.26,22.8,7.04,13.62,19.28
