,x,y,time,R,I,V
0,-22500,-40500,2024-06-07 09:33:13.557369,0.5166496,0.04999807,0.02583148
1,-22500,-40500,2024-06-07 09:33:13.748466,0.5163188,0.04999818,0.025815
2,-22500,-40500,2024-06-07 09:33:13.930138,0.5163534,0.04999826,0.02581677
3,-22500,-40500,2024-06-07 09:33:14.120951,0.5153546,0.04999809,0.02576675
4,-22500,-40500,2024-06-07 09:33:14.302869,0.5167058,0.04999817,0.02583434
5,-22500,-40500,2024-06-07 09:33:14.494348,0.516362,0.04999828,0.02581721
6,-22500,-40500,2024-06-07 09:33:14.676862,0.5163102,0.04999823,0.02581459
7,-22500,-40500,2024-06-07 09:33:14.866873,0.5153647,0.0499981,0.02576725
8,-22500,-40500,2024-06-07 09:33:15.048875,0.5166841,0.04999816,0.02583326
9,-22500,-40500,2024-06-07 09:33:15.239518,0.5167058,0.04999817,0.02583434
10,-22500,-40500,2024-06-07 09:33:15.855059,0.5167252,0.04999823,0.02583535
11,-22500,-40500,2024-06-07 09:33:16.044961,0.5163217,0.04999807,0.02581509
12,-22500,-40500,2024-06-07 09:33:16.230854,0.516375,0.04999829,0.02581787
13,-22500,-40500,2024-06-07 09:33:16.422520,0.5168222,0.04999829,0.02584023
14,-22500,-40500,2024-06-07 09:33:16.604815,0.5153546,0.04999809,0.02576675
15,-22500,-40500,2024-06-07 09:33:16.795358,0.5162815,0.04999806,0.02581307
16,-22500,-40500,2024-06-07 09:33:16.976862,0.5154153,0.04999822,0.02576984
17,-22500,-40500,2024-06-07 09:33:17.166862,0.5153647,0.0499981,0.02576725
18,-22500,-40500,2024-06-07 09:33:17.356814,0.5167252,0.04999823,0.02583535
19,-22500,-40500,2024-06-07 09:33:17.547827,0.516362,0.04999828,0.0258172
20,-22500,-40500,2024-06-07 09:33:18.153981,0.5163534,0.04999826,0.02581677
21,-22500,-40500,2024-06-07 09:33:18.345047,0.5163188,0.04999818,0.025815
22,-22500,-40500,2024-06-07 09:33:18.527035,0.5166496,0.04999807,0.02583148
