x,y,R,I,V
-22500,-40500,0.51629626,0.049998185,0.025813875
-18000,-40500,0.51613383,0.049998156,0.02580574
-13500,-40500,0.520969877,0.049998216,0.026047563
-9000,-40500,0.52773861,0.049998234,0.026385998
-4500,-40500,0.535625257,0.049998209,0.026780304
0,-40500,0.543709913,0.04999825,0.027184545
4500,-40500,0.552260343,0.049998228,0.027612039
9000,-40500,0.562421637,0.049998254,0.0281201
13500,-40500,0.574471177,0.049998259,0.028722559
18000,-40500,0.585289693,0.049998254,0.029263463
22500,-40500,0.60648664,0.049998256,0.030323276
-27000,-36000,0.507307023,0.04999818,0.025364429
-22500,-36000,0.51265353,0.049998202,0.025631755
-18000,-36000,0.518138457,0.049998207,0.025905993
-13500,-36000,0.523821283,0.049998178,0.02619011
-9000,-36000,0.530251987,0.049998188,0.026511638
-4500,-36000,0.537129213,0.049998211,0.0268555
0,-36000,0.544398197,0.049998248,0.027218955
4500,-36000,0.552566453,0.049998223,0.027627342
9000,-36000,0.56183822,0.049998199,0.028090898
13500,-36000,0.571771503,0.049998226,0.02858756
18000,-36000,0.581706367,0.049998225,0.029084286
22500,-36000,0.594057173,0.04999825,0.02970182
27000,-36000,0.61043524,0.049998248,0.030520692
-31500,-31500,0.50894275,0.049998172,0.025446207
-27000,-31500,0.511809143,0.049998216,0.025589544
-22500,-31500,0.516271543,0.049998182,0.025812637
-18000,-31500,0.523348527,0.049998231,0.0261665
-13500,-31500,0.527586977,0.049998226,0.026378412
-9000,-31500,0.534438333,0.04999824,0.026720977
-4500,-31500,0.539868003,0.049998229,0.026992443
0,-31500,0.546892847,0.04999819,0.027343652
4500,-31500,0.55454139,0.049998229,0.027726087
9000,-31500,0.562752987,0.049998223,0.02813665
13500,-31500,0.571684867,0.049998238,0.028583237
18000,-31500,0.581078037,0.049998218,0.029052867
22500,-31500,0.591572757,0.049998241,0.029577596
27000,-31500,0.60343772,0.049998252,0.030170832
31500,-31500,0.62464074,0.049998249,0.031230942
-36000,-27000,0.50803562,0.049998195,0.025400865
-31500,-27000,0.510618457,0.049998222,0.025530016
-27000,-27000,0.515717337,0.0499982,0.025784938
-22500,-27000,0.52039624,0.049998168,0.026018858
-18000,-27000,0.525674293,0.049998195,0.026282765
-13500,-27000,0.531518247,0.049998177,0.026574943
-9000,-27000,0.53686351,0.049998213,0.026842216
-4500,-27000,0.542806627,0.049998204,0.027139357
0,-27000,0.549449043,0.049998198,0.027471462
4500,-27000,0.556580927,0.049998203,0.027828046
9000,-27000,0.564271077,0.049998237,0.02821256
13500,-27000,0.572262607,0.049998226,0.028612115
18000,-27000,0.581108467,0.04999822,0.029054389
22500,-27000,0.59033865,0.049998237,0.029515892
27000,-27000,0.6007666,0.049998253,0.030037282
31500,-27000,0.613325933,0.049998248,0.030665222
36000,-27000,0.629520607,0.049998239,0.031474922
-40500,-22500,0.51037766,0.049998189,0.025517958
-36000,-22500,0.511561997,0.049998213,0.025577185
-31500,-22500,0.515168297,0.04999816,0.025757467
-27000,-22500,0.51903155,0.049998182,0.025950634
-22500,-22500,0.523863047,0.049998145,0.026192181
-18000,-22500,0.52894037,0.049998198,0.026446066
-13500,-22500,0.534091783,0.049998218,0.026703638
-9000,-22500,0.53951934,0.049998181,0.026974986
-4500,-22500,0.54587061,0.049998243,0.027292572
0,-22500,0.55202644,0.04999821,0.027600335
4500,-22500,0.55867669,0.049998192,0.027932824
9000,-22500,0.565671163,0.049998213,0.028282547
13500,-22500,0.573051547,0.049998224,0.02865156
18000,-22500,0.58101579,0.049998227,0.02904976
22500,-22500,0.589667647,0.049998243,0.029482346
27000,-22500,0.599364063,0.049998237,0.029967146
31500,-22500,0.609084983,0.049998258,0.030453188
36000,-22500,0.620719503,0.049998235,0.03103488
40500,-22500,0.649453017,0.049998249,0.032471514
-40500,-18000,0.51277454,0.049998179,0.025637793
-36000,-18000,0.5147323,0.049998181,0.025735679
-31500,-18000,0.519028103,0.049998194,0.025950467
-27000,-18000,0.53290904,0.04999819,0.026644487
-22500,-18000,0.526648433,0.049998193,0.02633147
-18000,-18000,0.531787857,0.04999819,0.026588431
-13500,-18000,0.53701003,0.049998171,0.026849519
-9000,-18000,0.54227456,0.049998205,0.027112755
-4500,-18000,0.548136377,0.049998245,0.027405857
0,-18000,0.55430212,0.04999823,0.027714125
4500,-18000,0.560863197,0.049998225,0.028042163
9000,-18000,0.567522723,0.04999824,0.028375138
13500,-18000,0.574350073,0.04999822,0.028716481
18000,-18000,0.581353237,0.049998253,0.029066648
22500,-18000,0.589509363,0.049998242,0.029474431
27000,-18000,0.598106203,0.049998244,0.029904261
31500,-18000,0.607612293,0.049998237,0.030379544
36000,-18000,0.617783673,0.049998237,0.030888096
40500,-18000,0.690820057,0.049998232,0.034539781
-45000,-13500,0.51705462,0.049998166,0.025851783
-40500,-13500,0.5153191,0.049998204,0.02576503
-36000,-13500,0.51765753,0.04999819,0.025881941
-31500,-13500,0.52117782,0.049998195,0.026057951
-27000,-13500,0.524767587,0.049998186,0.026237427
-22500,-13500,0.52917615,0.049998186,0.026457848
-18000,-13500,0.534149403,0.04999822,0.02670652
-13500,-13500,0.538989543,0.049998198,0.026948506
-9000,-13500,0.545358593,0.049998194,0.027266945
-4500,-13500,0.550216473,0.049998234,0.027509852
0,-13500,0.55608454,0.049998232,0.027803245
4500,-13500,0.562247093,0.049998211,0.028111348
9000,-13500,0.568523897,0.049998268,0.028425211
13500,-13500,0.574890797,0.049998223,0.028743519
18000,-13500,0.581514743,0.049998241,0.029074714
22500,-13500,0.58921405,0.049998236,0.029459663
27000,-13500,0.597252997,0.049998242,0.0298616
31500,-13500,0.6065185,0.04999824,0.030324858
36000,-13500,0.615599177,0.049998222,0.030778865
40500,-13500,0.62679271,0.049998237,0.031338529
45000,-13500,0.682129593,0.049998238,0.034105278
-45000,-9000,0.520848173,0.049998208,0.026041476
-40500,-9000,0.518293863,0.049998207,0.025913764
-36000,-9000,0.520039967,0.049998195,0.026001058
-31500,-9000,0.523389243,0.049998217,0.02616853
-27000,-9000,0.52684197,0.049998214,0.026341157
-22500,-9000,0.531323693,0.049998185,0.026565219
-18000,-9000,0.53580284,0.049998225,0.026789192
-13500,-9000,0.54087013,0.049998208,0.027042537
-9000,-9000,0.545840793,0.049998187,0.027291049
-4500,-9000,0.55154671,0.049998231,0.02757636
0,-9000,0.557416317,0.049998233,0.027869831
4500,-9000,0.563086477,0.049998242,0.028153335
9000,-9000,0.569339637,0.04999824,0.02846598
13500,-9000,0.575663313,0.049998202,0.028782131
18000,-9000,0.582082957,0.049998241,0.029103125
22500,-9000,0.589002643,0.049998238,0.029449094
27000,-9000,0.59665666,0.049998245,0.029831787
31500,-9000,0.605318147,0.049998243,0.030264845
