,x,y,time,R,I,V
0,-22500,-40500,2024-06-30 13:33:56.153881,0.7908266,0.04999828,0.03953997
1,-22500,-40500,2024-06-30 13:33:56.344882,0.791549,0.04999821,0.03957603
2,-22500,-40500,2024-06-30 13:33:56.527768,0.791573,0.04999829,0.0395773
3,-22500,-40500,2024-06-30 13:33:56.719167,0.7925752,0.04999809,0.03962725
4,-22500,-40500,2024-06-30 13:33:56.901846,0.7925022,0.04999812,0.03962362
5,-22500,-40500,2024-06-30 13:33:57.093334,0.7908215,0.04999826,0.0395397
6,-22500,-40500,2024-06-30 13:33:57.275104,0.791549,0.04999821,0.03957603
7,-22500,-40500,2024-06-30 13:33:57.465522,0.7915314,0.04999828,0.03957521
8,-22500,-40500,2024-06-30 13:33:57.647270,0.7908266,0.04999828,0.03953997
9,-22500,-40500,2024-06-30 13:33:57.838143,0.7908137,0.04999825,0.0395393
10,-22500,-40500,2024-06-30 13:33:58.468234,0.7908629,0.04999834,0.03954183
11,-22500,-40500,2024-06-30 13:33:58.659195,0.7925202,0.04999827,0.03962464
12,-22500,-40500,2024-06-30 13:33:58.842260,0.791573,0.04999829,0.0395773
13,-22500,-40500,2024-06-30 13:33:59.033023,0.791573,0.04999829,0.0395773
14,-22500,-40500,2024-06-30 13:33:59.215077,0.7925202,0.04999827,0.03962464
15,-22500,-40500,2024-06-30 13:33:59.404795,0.7908266,0.04999828,0.03953997
16,-22500,-40500,2024-06-30 13:33:59.586828,0.7915208,0.0499983,0.03957469
17,-22500,-40500,2024-06-30 13:33:59.777223,0.7908215,0.04999826,0.0395397
18,-22500,-40500,2024-06-30 13:33:59.964824,0.7908266,0.04999828,0.03953997
19,-22500,-40500,2024-06-30 13:34:00.154692,0.7908215,0.04999826,0.0395397
20,-22500,-40500,2024-06-30 13:34:00.768147,0.7915246,0.04999826,0.03957485
21,-22500,-40500,2024-06-30 13:34:00.958756,0.7908266,0.04999828,0.03953997
22,-22500,-40500,2024-06-30 13:34:01.144874,0.791549,0.04999821,0.03957603
23,-22500,-40500,2024-06-30 13:34:01.335204,0.7915314,0.04999828,0.03957521
24,-22500,-40500,2024-06-30 13:34:01.517439,0.7908266,0.04999828,0.03953997
25,-22500,-40500,2024-06-30 13:34:01.708225,0.791573,0.04999829,0.0395773
26,-22500,-40500,2024-06-30 13:34:01.889333,0.7908629,0.04999834,0.03954183
27,-22500,-40500,2024-06-30 13:34:02.080416,0.7924999,0.04999826,0.03962361
28,-22500,-40500,2024-06-30 13:34:02.263300,0.7915581,0.04999826,0.03957653
29,-22500,-40500,2024-06-30 13:34:02.453131,0.7908215,0.04999826,0.0395397
30,-18000,-40500,2024-06-30 13:34:03.402343,0.7925752,0.04999809,0.03962725
31,-18000,-40500,2024-06-30 13:34:03.681393,0.7925711,0.04999813,0.03962707
32,-18000,-40500,2024-06-30 13:34:03.863195,0.7925022,0.04999812,0.03962362
33,-18000,-40500,2024-06-30 13:34:04.053612,0.7925847,0.04999823,0.03962783
34,-18000,-40500,2024-06-30 13:34:04.235320,0.7925711,0.04999824,0.03962716
35,-18000,-40500,2024-06-30 13:34:04.426251,0.7925375,0.04999828,0.03962551
36,-18000,-40500,2024-06-30 13:34:04.609401,0.7925546,0.04999821,0.03962631
37,-18000,-40500,2024-06-30 13:34:04.799302,0.7925202,0.04999827,0.03962464
38,-18000,-40500,2024-06-30 13:34:04.981806,0.7924999,0.04999826,0.03962361
39,-18000,-40500,2024-06-30 13:34:05.172602,0.7925165,0.04999828,0.03962446
40,-18000,-40500,2024-06-30 13:34:05.781176,0.791549,0.04999821,0.03957603
41,-18000,-40500,2024-06-30 13:34:05.972480,0.7915208,0.0499983,0.03957469
42,-18000,-40500,2024-06-30 13:34:06.153492,0.7915314,0.04999828,0.03957521
43,-18000,-40500,2024-06-30 13:34:06.345294,0.7915246,0.04999826,0.03957485
44,-18000,-40500,2024-06-30 13:34:06.527220,0.7915732,0.04999828,0.0395773
45,-18000,-40500,2024-06-30 13:34:06.717441,0.791573,0.04999829,0.0395773
46,-18000,-40500,2024-06-30 13:34:06.898756,0.791536,0.04999814,0.03957532
47,-18000,-40500,2024-06-30 13:34:07.089618,0.791606,0.04999832,0.03957897
48,-18000,-40500,2024-06-30 13:34:07.271634,0.7915581,0.04999826,0.03957653
49,-18000,-40500,2024-06-30 13:34:07.462508,0.7915681,0.04999828,0.03957704
50,-18000,-40500,2024-06-30 13:34:08.077845,0.790814,0.04999824,0.03953931
51,-18000,-40500,2024-06-30 13:34:08.269249,0.7907988,0.04999821,0.03953853
52,-18000,-40500,2024-06-30 13:34:08.451151,0.7908266,0.04999828,0.03953997
53,-18000,-40500,2024-06-30 13:34:08.642216,0.7907947,0.04999827,0.03953836
54,-18000,-40500,2024-06-30 13:34:08.823871,0.7908137,0.04999825,0.0395393
55,-18000,-40500,2024-06-30 13:34:09.014115,0.7908215,0.04999826,0.0395397
56,-18000,-40500,2024-06-30 13:34:09.196617,0.7908119,0.0499982,0.03953917
57,-18000,-40500,2024-06-30 13:34:09.387984,0.7908598,0.04999831,0.03954166
58,-18000,-40500,2024-06-30 13:34:09.569784,0.7908629,0.04999834,0.03954183
59,-18000,-40500,2024-06-30 13:34:09.761846,0.7908562,0.04999831,0.03954147
60,-13500,-40500,2024-06-30 13:34:10.711152,0.8135597,0.04999822,0.04067654
61,-13500,-40500,2024-06-30 13:34:10.901305,0.8136135,0.04999824,0.04067924
62,-13500,-40500,2024-06-30 13:34:11.082820,0.8136007,0.04999817,0.04067854
63,-13500,-40500,2024-06-30 13:34:11.274668,0.8135988,0.04999831,0.04067857
