Index,Au,Cu,Pd,Pt
1,52.33,7.7,28.64,11.33
2,47.98,8.23,31.99,11.81
3,45.53,8.67,33.95,11.85
4,42.59,9.37,36.58,11.46
5,39.94,9.48,39.25,11.33
6,36.37,10.83,42.21,10.58
7,33.79,11.34,44.17,10.7
8,30.98,11.85,47.35,9.83
9,28.62,12.29,49.46,9.63
10,25.86,11.79,52.65,9.7
11,23.27,12.92,54.83,8.98
12,52.43,8.17,26.1,13.3
13,49.67,8.57,28.93,12.83
14,46.45,9.33,30.96,13.26
15,43.77,9.9,33.49,12.84
16,40.63,10.04,36.45,12.88
17,37.81,10.97,38.49,12.72
18,35.89,11.56,40.45,12.1
19,32.47,10.58,45.07,11.88
20,30.21,12.04,46.78,10.98
21,27.54,13.06,48.54,10.86
22,24.76,13.5,51.35,10.4
23,22.52,13.57,53.53,10.39
24,20.27,14.19,55.98,9.56
25,52.37,8.96,23.36,15.3
26,50.09,7.83,26.51,15.57
27,47.08,9.89,28.01,15.01
28,44.74,9.62,30.27,15.37
29,41.51,9.78,33.21,15.5
30,39.62,11.34,34.79,14.25
31,36.64,12.48,37.24,13.64
32,34.27,12.33,39.8,13.6
33,31.2,12.69,42.85,13.26
34,29.03,13.28,45.45,12.23
35,26.06,13.91,47.79,12.23
36,24.04,13.96,50.63,11.38
37,21.36,14.75,52.57,11.32
38,19.51,15.28,54.69,10.51
39,17.78,16.56,55.53,10.13
40,52.82,8.09,21.15,17.93
41,50.48,8.25,23.72,17.55
42,48.77,9.69,24.67,16.87
43,45.28,9.59,28.26,16.86
44,42.58,10.82,30.31,16.29
45,40.76,11.4,31.46,16.38
46,38.01,11.4,34.43,16.16
47,34.56,12.77,37.46,15.21
48,32.51,12.87,39.29,15.33
49,30.3,13.56,41.14,15.0
50,27.46,14.25,44.5,13.79
51,24.94,14.29,46.93,13.83
52,22.27,15.18,49.51,13.04
53,20.76,15.54,51.73,11.96
54,18.08,16.06,53.61,12.25
55,16.71,16.12,56.06,11.1
56,14.86,17.26,57.47,10.41
57,52.49,7.49,20.1,19.92
58,50.52,8.8,21.22,19.46
59,48.95,9.17,22.4,19.48
60,45.62,10.14,24.97,19.27
61,43.84,9.33,27.49,19.34
62,40.49,10.96,29.49,19.06
63,37.67,12.14,31.87,18.32
64,36.05,12.04,33.81,18.09
65,33.41,12.75,36.31,17.54
66,30.38,14.03,38.59,17.0
67,28.86,14.45,40.92,15.77
68,26.62,14.53,43.15,15.7
69,23.71,14.98,46.06,15.24
70,20.89,16.69,48.15,14.28
71,19.83,16.76,50.28,13.13
72,17.86,17.19,52.55,12.41
73,15.56,18.08,53.98,12.39
74,14.15,18.57,55.7,11.59
75,13.1,18.26,57.75,10.89
76,49.68,9.51,19.36,21.44
77,47.69,8.97,20.95,22.39
78,46.38,9.58,22.1,21.94
79,43.65,9.76,24.6,22.0
80,41.22,11.39,26.25,21.14
81,39.48,11.1,28.64,20.78
82,37.24,12.43,30.21,20.12
83,34.14,13.43,32.82,19.61
84,31.49,14.22,35.12,19.16
85,29.65,14.0,38.39,17.96
86,26.93,15.72,39.74,17.62
87,24.5,16.41,42.09,17.0
88,22.98,16.89,43.94,16.2
89,20.18,16.91,46.96,15.95
90,18.38,18.12,48.51,14.99
91,16.27,18.07,51.22,14.43
92,14.35,19.66,52.48,13.51
93,13.11,20.53,53.89,12.47
94,11.89,20.22,55.89,12.0
95,50.88,7.76,17.31,24.05
96,47.69,9.74,18.7,23.87
