index,Au,Cu,Pd,Pt,Composition,Similarity_to_Resistance
0,52.33,7.7,28.64,11.33,Au52.33Cu7.70Pd28.64Pt11.33,0.37480205
1,47.98,8.23,31.99,11.81,Au47.98Cu8.23Pd31.99Pt11.81,0.3745188
2,45.53,8.67,33.95,11.85,Au45.53Cu8.67Pd33.95Pt11.85,0.37367833
3,42.59,9.37,36.58,11.46,Au42.59Cu9.37Pd36.58Pt11.46,0.37162104
4,39.94,9.48,39.25,11.33,Au39.94Cu9.48Pd39.25Pt11.33,0.37102696
5,36.37,10.83,42.21,10.58,Au36.37Cu10.83Pd42.21Pt10.58,0.36694565
6,33.79,11.34,44.17,10.7,Au33.79Cu11.34Pd44.17Pt10.70,0.36581993
7,30.98,11.85,47.35,9.83,Au30.98Cu11.85Pd47.35Pt9.83,0.36308736
8,28.62,12.29,49.46,9.63,Au28.62Cu12.29Pd49.46Pt9.63,0.36152628
9,25.86,11.79,52.65,9.7,Au25.86Cu11.79Pd52.65Pt9.70,0.36202085
10,23.27,12.92,54.83,8.98,Au23.27Cu12.92Pd54.83Pt8.98,0.3581997
11,52.43,8.17,26.1,13.3,Au52.43Cu8.17Pd26.10Pt13.30,0.37665313
12,49.67,8.57,28.93,12.83,Au49.67Cu8.57Pd28.93Pt12.83,0.3753003
13,46.45,9.33,30.96,13.26,Au46.45Cu9.33Pd30.96Pt13.26,0.3744383
14,43.77,9.9,33.49,12.84,Au43.77Cu9.90Pd33.49Pt12.84,0.3726592
15,40.63,10.04,36.45,12.88,Au40.63Cu10.04Pd36.45Pt12.88,0.3722862
16,37.81,10.97,38.49,12.72,Au37.81Cu10.97Pd38.49Pt12.72,0.37002206
17,35.89,11.56,40.45,12.1,Au35.89Cu11.56Pd40.45Pt12.10,0.3677643
18,32.47,10.58,45.07,11.88,Au32.47Cu10.58Pd45.07Pt11.88,0.36886892
19,30.21,12.04,46.78,10.98,Au30.21Cu12.04Pd46.78Pt10.98,0.3643612
20,27.54,13.06,48.54,10.86,Au27.54Cu13.06Pd48.54Pt10.86,0.3617589
21,24.76,13.5,51.35,10.4,Au24.76Cu13.50Pd51.35Pt10.40,0.35965887
22,22.52,13.57,53.53,10.39,Au22.52Cu13.57Pd53.53Pt10.39,0.3590149
23,20.27,14.19,55.98,9.56,Au20.27Cu14.19Pd55.98Pt9.56,0.35601005
24,52.37,8.96,23.36,15.3,Au52.37Cu8.96Pd23.36Pt15.30,0.37784427
25,50.09,7.83,26.51,15.57,Au50.09Cu7.83Pd26.51Pt15.57,0.3805818
26,47.08,9.89,28.01,15.01,Au47.08Cu9.89Pd28.01Pt15.01,0.3758022
27,44.74,9.62,30.27,15.37,Au44.74Cu9.62Pd30.27Pt15.37,0.3768457
28,41.51,9.78,33.21,15.5,Au41.51Cu9.78Pd33.21Pt15.50,0.37662703
29,39.62,11.34,34.79,14.25,Au39.62Cu11.34Pd34.79Pt14.25,0.3716716
30,36.64,12.48,37.24,13.64,Au36.64Cu12.48Pd37.24Pt13.64,0.36831707
31,34.27,12.33,39.8,13.6,Au34.27Cu12.33Pd39.80Pt13.60,0.3683132
