Index,Ag,Au,Pd,Pt
1,22.27,50.81,15.08,11.83
2,21.68,47.87,19.37,11.08
3,21.19,46.02,21.05,11.74
4,19.79,44.27,24.09,11.85
5,18.73,42.51,26.61,12.14
6,17.02,41.49,29.68,11.81
7,16.19,39.0,33.2,11.61
8,15.15,37.17,36.19,11.5
9,14.57,34.0,40.14,11.29
10,13.56,31.89,43.29,11.26
11,12.8,29.82,46.23,11.14
12,25.63,47.05,14.32,13.0
13,24.88,45.7,17.09,12.33
14,22.96,45.19,19.11,12.74
15,22.66,43.65,20.86,12.83
16,21.41,42.31,23.46,12.82
17,20.27,40.81,26.35,12.57
18,18.59,38.78,29.61,13.01
19,18.58,36.5,32.22,12.7
20,15.95,35.09,36.48,12.48
21,15.54,32.95,39.42,12.09
22,14.85,30.79,42.51,11.85
23,13.24,28.97,46.18,11.62
24,12.56,26.31,49.48,11.66
25,28.52,46.22,12.11,13.15
26,27.06,45.17,14.18,13.59
27,26.48,43.95,15.87,13.7
28,24.62,43.84,17.71,13.82
29,22.51,43.03,20.4,14.05
30,22.34,41.12,22.59,13.96
31,20.76,39.56,26.25,13.43
32,19.37,37.42,29.38,13.83
33,18.46,36.39,31.87,13.28
34,17.05,33.96,35.17,13.83
35,15.65,32.41,38.64,13.3
36,14.98,29.81,41.94,13.27
37,13.76,27.68,46.18,12.39
38,13.86,25.45,48.49,12.2
39,11.88,23.46,52.48,12.18
40,31.01,44.5,10.88,13.6
41,29.43,44.2,12.25,14.11
42,28.73,42.76,14.14,14.37
43,27.23,42.37,15.96,14.44
44,25.55,41.2,18.34,14.91
45,25.06,39.76,20.35,14.82
46,23.04,39.57,22.56,14.84
47,21.7,37.65,25.75,14.9
48,21.06,36.18,28.04,14.73
49,19.29,34.61,31.44,14.66
50,18.25,32.81,35.08,13.86
51,17.32,30.6,38.26,13.83
52,15.64,28.53,41.43,14.4
53,14.79,26.63,44.53,14.05
54,13.11,24.59,48.75,13.55
