index,Ag,Au,Pd,Pt,Composition,Similarity_to_Resistance
0,22.27,50.81,15.08,11.83,Ag22.27Au50.81Pd15.08Pt11.83,0.3877594
1,21.68,47.87,19.37,11.08,Ag21.68Au47.87Pd19.37Pt11.08,0.38728815
2,21.19,46.02,21.05,11.74,Ag21.19Au46.02Pd21.05Pt11.74,0.38848895
3,19.79,44.27,24.09,11.85,Ag19.79Au44.27Pd24.09Pt11.85,0.3890491
4,18.73,42.51,26.61,12.14,Ag18.73Au42.51Pd26.61Pt12.14,0.38971776
5,17.02,41.49,29.68,11.81,Ag17.02Au41.49Pd29.68Pt11.81,0.38950026
6,16.19,39.0,33.2,11.61,Ag16.19Au39.00Pd33.20Pt11.61,0.38927847
7,15.15,37.17,36.19,11.5,Ag15.15Au37.17Pd36.19Pt11.50,0.38911468
8,14.57,34.0,40.14,11.29,Ag14.57Au34.00Pd40.14Pt11.29,0.38859558
9,13.56,31.89,43.29,11.26,Ag13.56Au31.89Pd43.29Pt11.26,0.3883229
10,12.8,29.82,46.23,11.14,Ag12.80Au29.82Pd46.23Pt11.14,0.3878369
11,25.63,47.05,14.32,13.0,Ag25.63Au47.05Pd14.32Pt13.00,0.38895315
12,24.88,45.7,17.09,12.33,Ag24.88Au45.70Pd17.09Pt12.33,0.38845292
13,22.96,45.19,19.11,12.74,Ag22.96Au45.19Pd19.11Pt12.74,0.38953874
14,22.66,43.65,20.86,12.83,Ag22.66Au43.65Pd20.86Pt12.83,0.38987648
15,21.41,42.31,23.46,12.82,Ag21.41Au42.31Pd23.46Pt12.82,0.39021748
16,20.27,40.81,26.35,12.57,Ag20.27Au40.81Pd26.35Pt12.57,0.39014274
17,18.59,38.78,29.61,13.01,Ag18.59Au38.78Pd29.61Pt13.01,0.3910369
18,18.58,36.5,32.22,12.7,Ag18.58Au36.50Pd32.22Pt12.70,0.39056864
19,15.95,35.09,36.48,12.48,Ag15.95Au35.09Pd36.48Pt12.48,0.39038867
20,15.54,32.95,39.42,12.09,Ag15.54Au32.95Pd39.42Pt12.09,0.38966632
21,14.85,30.79,42.51,11.85,Ag14.85Au30.79Pd42.51Pt11.85,0.3890874
22,13.24,28.97,46.18,11.62,Ag13.24Au28.97Pd46.18Pt11.62,0.3884513
23,12.56,26.31,49.48,11.66,Ag12.56Au26.31Pd49.48Pt11.66,0.3880204
24,28.52,46.22,12.11,13.15,Ag28.52Au46.22Pd12.11Pt13.15,0.38839966
25,27.06,45.17,14.18,13.59,Ag27.06Au45.17Pd14.18Pt13.59,0.38958424
26,26.48,43.95,15.87,13.7,Ag26.48Au43.95Pd15.87Pt13.70,0.39005977
27,24.62,43.84,17.71,13.82,Ag24.62Au43.84Pd17.71Pt13.82,0.39072824
28,22.51,43.03,20.4,14.05,Ag22.51Au43.03Pd20.40Pt14.05,0.3916154
29,22.34,41.12,22.59,13.96,Ag22.34Au41.12Pd22.59Pt13.96,0.39167076
