x,y,R,I,V
-22500,-40500,0.433867157,0.049997975,0.02169248
-18000,-40500,0.433872047,0.049997983,0.021692727
-13500,-40500,0.46547626,0.049998004,0.023272883
-9000,-40500,0.501320073,0.049998036,0.02506502
-4500,-40500,0.54042136,0.049998081,0.027020031
0,-40500,0.582645223,0.04999811,0.02913116
4500,-40500,0.625058347,0.049998161,0.031251768
9000,-40500,0.6652565,0.049998233,0.03326165
13500,-40500,0.701880993,0.049998248,0.03509282
18000,-40500,0.732801383,0.049998253,0.036638788
22500,-40500,0.763121213,0.049998265,0.038154736
-27000,-36000,0.393597517,0.049997942,0.019679066
-22500,-36000,0.417223103,0.049997963,0.020860306
-18000,-36000,0.446566413,0.049998,0.022327427
-13500,-36000,0.47903828,0.049998015,0.023950963
-9000,-36000,0.515362443,0.049998026,0.025767105
-4500,-36000,0.554890863,0.049998092,0.027743485
0,-36000,0.59732556,0.049998121,0.029865156
4500,-36000,0.639528477,0.049998165,0.031975251
9000,-36000,0.678788223,0.049998225,0.033938208
13500,-36000,0.713040127,0.049998238,0.03565075
18000,-36000,0.741065477,0.04999826,0.037051984
22500,-36000,0.760022053,0.049998263,0.037999783
27000,-36000,0.775911687,0.049998262,0.038794236
-31500,-31500,0.384388087,0.049997942,0.019218613
-27000,-31500,0.40580579,0.049997966,0.020289464
-22500,-31500,0.43184236,0.049998007,0.021591257
-18000,-31500,0.462366693,0.049998008,0.023117414
-13500,-31500,0.496396847,0.04999804,0.024818869
-9000,-31500,0.53340793,0.049998083,0.026669373
-4500,-31500,0.573384467,0.049998119,0.028668144
0,-31500,0.616143507,0.049998144,0.030806032
4500,-31500,0.657481527,0.049998214,0.032872903
9000,-31500,0.696453153,0.049998247,0.034821438
13500,-31500,0.729142273,0.049998239,0.036455829
18000,-31500,0.754306353,0.049998245,0.037713991
22500,-31500,0.77134059,0.049998245,0.038565676
27000,-31500,0.779632457,0.049998255,0.038980263
31500,-31500,0.79200028,0.04999826,0.039598637
-36000,-27000,0.37523975,0.049997949,0.018761217
-31500,-27000,0.39712245,0.049997955,0.019855309
-27000,-27000,0.42125886,0.049997978,0.021062092
-22500,-27000,0.44936288,0.049997969,0.022467232
-18000,-27000,0.480696763,0.049998018,0.024033886
-13500,-27000,0.51564096,0.049998084,0.025781061
-9000,-27000,0.553852207,0.049998091,0.027691554
-4500,-27000,0.594933033,0.049998132,0.029745539
0,-27000,0.637597987,0.049998196,0.031878749
4500,-27000,0.67832939,0.049998219,0.033915262
9000,-27000,0.716050057,0.049998242,0.035801244
13500,-27000,0.747951497,0.049998255,0.03739627
18000,-27000,0.771781217,0.04999823,0.038587693
22500,-27000,0.786606343,0.049998254,0.039328944
27000,-27000,0.793102653,0.049998258,0.039653751
31500,-27000,0.790603387,0.049998245,0.039528783
36000,-27000,0.78463145,0.049998264,0.03923021
-40500,-22500,0.371207277,0.049997939,0.0185596
-36000,-22500,0.3902276,0.04999794,0.019510577
-31500,-22500,0.4137827,0.049997962,0.020688292
-27000,-22500,0.43947578,0.049997994,0.021972908
-22500,-22500,0.46954893,0.049998017,0.023476516
-18000,-22500,0.502453673,0.049998029,0.025121694
-13500,-22500,0.53900016,0.04999806,0.026948962
-9000,-22500,0.577379723,0.049998135,0.02886791
-4500,-22500,0.61890755,0.049998123,0.030944216
0,-22500,0.661598147,0.049998258,0.033078754
4500,-22500,0.701702653,0.049998244,0.035083899
9000,-22500,0.738923283,0.049998242,0.036944866
13500,-22500,0.769792003,0.049998235,0.03848824
18000,-22500,0.791770173,0.049998247,0.03958712
22500,-22500,0.80548632,0.049998258,0.040272912
27000,-22500,0.808630327,0.049998251,0.040430102
31500,-22500,0.80421225,0.049998223,0.040209184
36000,-22500,0.793892977,0.049998267,0.039693274
40500,-22500,0.79426028,0.049998246,0.039711621
-40500,-18000,0.386206403,0.049997941,0.019309524
-36000,-18000,0.408186193,0.049997966,0.02040848
-31500,-18000,0.433176933,0.049997986,0.021657974
-27000,-18000,0.460491493,0.049997962,0.023023637
-22500,-18000,0.491935,0.049998028,0.02459578
-18000,-18000,0.526468907,0.049998059,0.026322424
-13500,-18000,0.563353267,0.049998084,0.028166584
-9000,-18000,0.602576403,0.049998147,0.030127703
-4500,-18000,0.645003207,0.049998164,0.032248977
0,-18000,0.68618882,0.049998223,0.034308221
4500,-18000,0.72709083,0.049998245,0.036353267
9000,-18000,0.762887043,0.049998263,0.038143027
13500,-18000,0.79162829,0.049998241,0.039580022
18000,-18000,0.813365263,0.04999825,0.04066684
22500,-18000,0.82496228,0.049998245,0.041246667
27000,-18000,0.827535783,0.049998249,0.041375339
31500,-18000,0.821633137,0.049998247,0.041080219
36000,-18000,0.8094398,0.049998251,0.040470574
40500,-18000,0.79643089,0.049998258,0.039820158
-45000,-13500,0.383031657,0.049997951,0.019150798
-40500,-13500,0.402111297,0.049997964,0.020104747
-36000,-13500,0.42657923,0.049997993,0.021328106
-31500,-13500,0.45331149,0.049997993,0.022664664
-27000,-13500,0.48323093,0.049998035,0.024160597
-22500,-13500,0.516587277,0.049998028,0.025828345
-18000,-13500,0.552504217,0.049998087,0.027624154
-13500,-13500,0.590686117,0.049998148,0.029533212
-9000,-13500,0.631504313,0.049998188,0.031574072
-4500,-13500,0.673349493,0.049998224,0.033666279
0,-13500,0.71420966,0.049998239,0.035709225
4500,-13500,0.753310217,0.049998243,0.037664186
9000,-13500,0.78788157,0.049998236,0.039392689
13500,-13500,0.81538473,0.049998236,0.040767798
18000,-13500,0.835690123,0.049998236,0.041783031
22500,-13500,0.846327777,0.049998238,0.042314897
27000,-13500,0.847392927,0.049998242,0.042368156
31500,-13500,0.840626497,0.049998247,0.042029852
36000,-13500,0.827622127,0.049998256,0.041379663
40500,-13500,0.81142687,0.04999825,0.040569924
45000,-13500,0.829280193,0.04999824,0.041462552
-45000,-9000,0.400712113,0.049997957,0.020034787
-40500,-9000,0.42266362,0.049997975,0.021132325
-36000,-9000,0.448894497,0.049997976,0.022443816
-31500,-9000,0.477505997,0.049998012,0.02387435
-27000,-9000,0.509332163,0.049998049,0.025465616
-22500,-9000,0.542666977,0.049998086,0.027132311
-18000,-9000,0.579185647,0.049998124,0.028958196
-13500,-9000,0.619417653,0.049998169,0.030969749
-9000,-9000,0.65938139,0.049998189,0.032967875
-4500,-9000,0.702395937,0.049998258,0.035118574
0,-9000,0.7430569,0.049998256,0.03715155
4500,-9000,0.7811136,0.049998248,0.039054312
