,x,y,time,R,I,V
0,-22500,-40500,2024-06-30 15:05:32.907259,0.4595844,0.04999816,0.02297837
1,-22500,-40500,2024-06-30 15:05:33.098318,0.4839665,0.04999796,0.02419734
2,-22500,-40500,2024-06-30 15:05:33.279057,0.4600028,0.049998,0.02299922
3,-22500,-40500,2024-06-30 15:05:33.469779,0.4600028,0.049998,0.02299922
4,-22500,-40500,2024-06-30 15:05:33.652139,0.4600154,0.04999809,0.02299989
5,-22500,-40500,2024-06-30 15:05:33.842340,0.4600477,0.04999806,0.02300149
6,-22500,-40500,2024-06-30 15:05:34.024639,0.4600759,0.04999809,0.02300292
7,-22500,-40500,2024-06-30 15:05:34.214508,0.4596308,0.04999803,0.02298063
8,-22500,-40500,2024-06-30 15:05:34.396157,0.4599221,0.04999799,0.02299518
9,-22500,-40500,2024-06-30 15:05:34.587697,0.4595545,0.04999791,0.02297677
10,-22500,-40500,2024-06-30 15:05:35.194209,0.4595155,0.04999793,0.02297482
11,-22500,-40500,2024-06-30 15:05:35.384930,0.4599645,0.04999797,0.02299729
12,-22500,-40500,2024-06-30 15:05:35.566453,0.4839665,0.04999796,0.02419734
13,-22500,-40500,2024-06-30 15:05:35.756653,0.4600477,0.04999806,0.02300149
14,-22500,-40500,2024-06-30 15:05:35.938758,0.4599804,0.04999804,0.02299812
15,-22500,-40500,2024-06-30 15:05:36.130031,0.4600477,0.04999806,0.02300149
16,-22500,-40500,2024-06-30 15:05:36.311506,0.4600759,0.04999809,0.02300292
17,-22500,-40500,2024-06-30 15:05:36.501898,0.4599152,0.049998,0.02299484
18,-22500,-40500,2024-06-30 15:05:36.683617,0.4600028,0.049998,0.02299922
19,-22500,-40500,2024-06-30 15:05:36.874315,0.4596308,0.04999803,0.02298063
20,-22500,-40500,2024-06-30 15:05:37.479783,0.4600154,0.04999809,0.02299989
21,-22500,-40500,2024-06-30 15:05:37.671154,0.4598867,0.04999804,0.02299344
22,-22500,-40500,2024-06-30 15:05:37.854351,0.4600477,0.04999806,0.02300149
23,-22500,-40500,2024-06-30 15:05:38.044813,0.4595844,0.04999816,0.02297837
24,-22500,-40500,2024-06-30 15:05:38.227164,0.4595155,0.04999793,0.02297482
25,-22500,-40500,2024-06-30 15:05:38.417356,0.4599839,0.04999804,0.02299829
26,-22500,-40500,2024-06-30 15:05:38.598217,0.4599888,0.04999809,0.02299856
27,-22500,-40500,2024-06-30 15:05:38.788756,0.4599804,0.04999804,0.02299812
