x,y,R,I,V
-22500,-40500,0.4614830366666667,0.049998027666666674,0.023073241
-18000,-40500,0.45984314666666665,0.04999802466666667,0.02299124866666667
-13500,-40500,0.48368755333333335,0.04999804366666667,0.02418343066666667
-9000,-40500,0.5115419566666667,0.04999808233333333,0.025576117333333332
-4500,-40500,0.5429837200000001,0.04999811966666667,0.027148164333333332
0,-40500,0.57760004,0.049998164,0.028878941666666665
4500,-40500,0.6148180466666666,0.049998220999999995,0.030739809
9000,-40500,0.6544956000000001,0.049998224,0.032723618333333336
13500,-40500,0.69472526,0.04999826166666667,0.03473505633333333
18000,-40500,0.7370675766666667,0.049998274,0.03685210766666667
22500,-40500,0.78565233,0.049998283,0.039281267333333335
-27000,-36000,0.42590644,0.04999798233333333,0.021294462666666666
-22500,-36000,0.4451298566666667,0.04999801,0.022255607333333333
-18000,-36000,0.46727319666666667,0.049998008,0.023362729333333332
-13500,-36000,0.49194651666666667,0.04999804933333333,0.024596365999999998
-9000,-36000,0.5197937066666667,0.04999808066666667,0.025988686333333334
-4500,-36000,0.55073449,0.049998118333333334,0.027535686666666667
0,-36000,0.5836647066666667,0.04999814933333333,0.029182156
4500,-36000,0.6198232066666667,0.049998218000000004,0.03099005566666667
9000,-36000,0.6575843633333334,0.04999820133333333,0.032878034333333334
13500,-36000,0.6964090433333333,0.049998247333333336,0.03481923133333333
18000,-36000,0.7352019066666667,0.049998252,0.03675880933333333
22500,-36000,0.76897572,0.049998263,0.038447451333333334
27000,-36000,0.8037261033333334,0.04999825433333334,0.04018490133333333
-31500,-31500,0.4181290066666667,0.049997979666666664,0.020905606333333333
-27000,-31500,0.4342806566666667,0.04999797066666667,0.021713151
-22500,-31500,0.4545495033333333,0.04999800833333334,0.02272657033333333
-18000,-31500,0.47699065,0.04999801066666666,0.023848583666666666
-13500,-31500,0.5020504366666666,0.049998042666666666,0.025101539
-9000,-31500,0.52755705,0.049998093,0.026376846333333332
-4500,-31500,0.5580982066666667,0.04999812433333333,0.027903865000000003
0,-31500,0.5911771033333333,0.049998159,0.029557766
4500,-31500,0.6261448233333333,0.049998164,0.03130609266666667
9000,-31500,0.66240356,0.04999822633333333,0.033119004
13500,-31500,0.6987749266666667,0.049998253666666666,0.034937525999999997
18000,-31500,0.7335239466666666,0.049998249,0.03667491333333333
22500,-31500,0.7655855933333334,0.04999825733333333,0.03827794566666667
27000,-31500,0.79398965,0.049998264,0.039698105666666664
31500,-31500,0.8214731666666667,0.049998268,0.04107223533333334
-36000,-27000,0.40708156333333334,0.04999798033333334,0.020353257
-31500,-27000,0.42420068,0.049997968999999996,0.021209172666666668
-27000,-27000,0.4435704333333333,0.049997993,0.022177631
-22500,-27000,0.46472266999999995,0.04999800533333333,0.023235207333333334
-18000,-27000,0.4874448433333333,0.049998034999999996,0.024371283333333334
-13500,-27000,0.5131178433333333,0.049998050333333335,0.02565489166666667
-9000,-27000,0.5404466400000001,0.04999808233333333,0.027021296333333333
-4500,-27000,0.5704172766666668,0.04999813333333333,0.028519798666666665
0,-27000,0.60243216,0.049998176,0.03012051
4500,-27000,0.6356559033333333,0.049998212,0.03178166
9000,-27000,0.6701988033333334,0.049998203,0.03350873633333333
13500,-27000,0.7046247999999999,0.049998257666666664,0.03523001233333333
18000,-27000,0.7370098433333333,0.049998260333333336,0.03684921066666667
22500,-27000,0.7674946366666667,0.049998263,0.03837339833333333
27000,-27000,0.7919600466666666,0.049998277,0.03959663633333333
31500,-27000,0.8138569400000001,0.049998257000000004,0.040691429
36000,-27000,0.83699622,0.049998260333333336,0.04184835633333333
-40500,-22500,0.40187081666666663,0.04999797066666667,0.020092725333333335
-36000,-22500,0.41741583666666665,0.04999796866666666,0.020869944333333335
-31500,-22500,0.43599649333333335,0.04999798,0.021798944666666667
-27000,-22500,0.4562859466666667,0.04999799833333333,0.022813384
-22500,-22500,0.47784049,0.049998,0.023891067666666665
-18000,-22500,0.5013174033333333,0.049998081333333326,0.025064907333333334
-13500,-22500,0.52727734,0.049998075999999995,0.026362852333333336
-9000,-22500,0.5549680633333334,0.049998101,0.027747348999999998
-4500,-22500,0.5837257266666668,0.04999813933333333,0.029185200333333335
0,-22500,0.6151482966666666,0.04999823433333333,0.03075632766666667
4500,-22500,0.6474606566666666,0.04999823266666667,0.032371889
9000,-22500,0.6799737233333333,0.04999825233333333,0.033997497333333335
13500,-22500,0.7121591066666667,0.049998247999999995,0.03560670866666667
18000,-22500,0.7420003866666666,0.04999823933333333,0.037098714
22500,-22500,0.7691117933333333,0.049998255,0.038454248333333337
27000,-22500,0.7921692033333334,0.04999826766666667,0.039607087666666665
31500,-22500,0.81079231,0.049998266,0.040538209666666665
36000,-22500,0.82829429,0.049998264333333334,0.04141327833333333
40500,-22500,0.85852261,0.04999825966666667,0.042924636333333335
-40500,-18000,0.41311941,0.049997966666666664,0.020655131333333333
-36000,-18000,0.4307355133333333,0.04999798566666667,0.021535907666666666
-31500,-18000,0.45016741,0.049997979000000005,0.022507461333333333
-27000,-18000,0.47093753666666666,0.049998005,0.02354593766666667
-22500,-18000,0.49292346,0.04999803566666667,0.024645204666666663
-18000,-18000,0.5170824366666666,0.04999805733333333,0.025853117333333335
-13500,-18000,0.5430193600000001,0.049998081666666666,0.027149926666666668
-9000,-18000,0.5700686,0.04999811133333333,0.028502352
-4500,-18000,0.5988638966666666,0.04999821,0.029942122
0,-18000,0.6292303,0.049998183,0.03146037166666667
4500,-18000,0.6596481233333333,0.049998249333333335,0.03298125066666667
9000,-18000,0.69046099,0.049998275,0.03452185866666667
13500,-18000,0.7205553866666666,0.049998257666666664,0.036026513
18000,-18000,0.7473824133333333,0.049998265666666666,0.03736782466666667
22500,-18000,0.7718121833333333,0.04999827666666667,0.03858928
27000,-18000,0.7926791933333334,0.049998268,0.03963258666666667
31500,-18000,0.8092836899999999,0.049998263333333334,0.04046278066666666
36000,-18000,0.82349522,0.049998267,0.041173334
