Index,Ag,Au,Cu,Pd,Pt
1,24.06,41.19,9.87,19.03,5.85
2,22.17,40.12,10.48,21.88,5.35
3,20.97,38.12,11.42,23.55,5.94
4,20.13,36.25,12.41,25.46,5.75
5,18.18,34.43,12.73,28.82,5.84
6,16.52,33.19,13.19,31.46,5.64
7,15.82,30.71,14.27,33.45,5.74
8,14.47,28.94,15.08,36.13,5.38
9,12.76,26.71,15.48,39.39,5.67
10,12.18,24.6,16.12,41.5,5.6
11,11.19,22.34,17.59,43.6,5.28
12,26.74,40.7,9.61,17.07,5.88
13,25.44,39.69,9.74,18.68,6.45
14,23.6,37.57,11.32,21.32,6.2
15,21.7,36.59,11.99,23.48,6.23
16,21.33,34.28,12.32,25.84,6.22
17,19.23,33.31,13.53,27.44,6.49
18,17.75,31.3,13.93,30.36,6.66
19,16.07,29.24,14.92,33.2,6.57
20,15.51,26.87,16.9,34.36,6.36
21,14.02,25.04,17.58,37.33,6.03
22,13.07,23.26,17.58,39.92,6.16
23,12.2,21.05,18.99,41.93,5.84
24,11.11,18.84,20.01,44.28,5.76
25,29.43,39.48,9.46,14.7,6.93
26,28.43,38.6,9.86,16.23,6.88
27,26.52,36.9,10.68,18.73,7.16
28,24.43,37.12,11.27,19.9,7.28
29,23.13,34.98,12.27,22.14,7.48
30,21.81,33.02,13.31,24.63,7.23
31,19.61,31.56,13.95,27.32,7.56
32,18.14,29.45,15.51,29.77,7.13
33,17.19,27.67,15.99,31.77,7.38
34,15.95,25.84,16.79,34.34,7.07
35,14.71,23.66,17.71,36.75,7.18
36,13.33,21.73,19.37,38.83,6.74
37,12.31,20.49,19.17,41.37,6.66
38,10.94,18.14,20.55,43.36,7.01
39,10.4,16.63,21.27,45.17,6.53
40,32.41,38.44,9.1,12.64,7.41
41,31.02,37.91,9.08,14.44,7.55
42,29.04,36.13,10.36,16.41,8.05
43,27.15,35.22,11.67,17.6,8.37
44,25.32,34.74,12.11,19.81,8.03
45,23.73,33.28,13.7,21.34,7.95
46,22.48,31.51,13.46,24.4,8.16
47,20.54,30.06,15.27,26.17,7.96
48,19.34,28.18,15.6,28.61,8.27
49,17.73,26.28,16.74,31.33,7.92
50,15.99,24.39,17.56,34.15,7.91
51,14.6,22.53,18.97,36.09,7.82
52,13.24,21.11,20.28,37.59,7.78
53,12.99,18.9,21.61,39.13,7.37
54,11.1,17.62,21.59,42.72,6.97
55,10.5,15.59,23.31,43.53,7.07
56,9.01,14.3,23.53,46.56,6.6
57,34.96,37.05,8.47,11.58,7.94
58,33.31,36.45,9.32,12.34,8.57
59,31.61,35.87,10.7,13.31,8.51
60,29.64,34.68,11.31,15.8,8.57
61,28.02,33.73,12.21,17.31,8.73
62,26.05,32.9,12.82,18.96,9.26
63,24.26,31.89,13.64,21.11,9.11
64,23.35,29.76,14.35,23.14,9.39
65,21.07,28.44,16.22,24.93,9.34
66,19.26,26.54,16.5,28.45,9.25
67,17.52,25.13,18.63,29.7,9.03
68,16.8,23.22,18.72,32.15,9.11
69,15.36,21.3,20.0,34.79,8.55
70,13.2,19.56,21.53,36.99,8.72
71,13.17,17.89,22.32,38.43,8.2
72,11.54,16.63,22.88,41.22,7.73
73,10.86,15.14,23.33,43.2,7.47
74,9.93,13.19,25.41,44.24,7.23
75,8.58,12.1,26.15,46.34,6.83
76,35.71,35.32,9.47,10.29,9.2
77,34.2,34.97,9.27,12.3,9.25
78,32.98,33.85,10.2,13.25,9.72
79,30.9,32.8,11.38,14.71,10.21
80,29.01,31.21,12.82,16.99,9.97
81,27.44,30.65,13.53,17.98,10.4
82,25.39,29.33,13.89,20.66,10.74
83,23.95,27.95,15.26,22.53,10.31
84,21.47,27.03,16.37,24.55,10.58
85,20.14,25.79,17.36,26.91,9.81
86,18.88,23.5,18.74,28.88,9.99
87,17.13,21.72,20.11,31.04,9.99
88,15.87,20.28,21.06,33.19,9.6
89,14.46,18.6,22.47,35.31,9.16
90,12.81,17.15,22.89,38.25,8.9
91,11.73,15.58,24.21,39.89,8.59
92,10.86,13.63,25.48,41.61,8.42
93,9.81,12.73,26.05,43.56,7.85
94,8.85,11.4,27.27,44.97,7.5
95,38.58,33.13,9.13,9.21,9.95
96,36.94,33.32,9.53,10.39,9.81
97,35.1,32.83,9.9,11.56,10.6
98,33.07,31.79,11.18,12.81,11.15
99,31.58,30.92,12.78,13.95,10.77
100,30.05,29.75,13.32,15.71,11.17
101,27.29,28.73,14.21,18.17,11.6
102,26.83,27.34,15.22,19.13,11.48
103,23.66,26.48,16.06,22.03,11.76
104,22.15,25.24,17.3,23.8,11.5
105,20.36,23.6,18.58,26.22,11.25
106,18.58,22.32,20.76,27.44,10.9
107,17.6,20.44,20.63,30.27,11.07
108,16.22,18.9,22.11,32.12,10.65
109,14.25,17.43,24.08,33.92,10.32
110,13.28,15.72,25.1,36.23,9.67
111,11.38,14.75,26.3,37.99,9.59
112,10.86,13.2,26.72,40.05,9.18
113,9.97,11.9,27.31,42.02,8.79
114,9.28,10.72,28.16,43.89,7.95
115,8.2,9.58,29.81,44.61,7.79
116,39.37,31.56,9.4,8.58,11.08
117,37.69,31.2,9.92,9.84,11.35
118,35.99,30.59,9.8,11.73,11.89
119,34.3,29.65,11.61,12.7,11.74
120,32.66,28.98,12.33,13.8,12.23
121,30.16,28.14,14.0,15.16,12.54
122,28.53,27.23,15.48,16.12,12.64
123,26.69,25.9,16.28,18.28,12.85
124,24.34,24.68,17.15,20.9,12.93
125,23.28,23.54,18.17,22.87,12.14
126,21.21,21.77,20.31,24.19,12.52
127,19.38,20.63,21.21,26.51,12.27
128,18.04,19.05,22.45,28.44,12.02
129,15.93,17.56,23.35,31.43,11.73
130,14.05,16.12,25.33,33.16,11.34
131,13.43,14.78,25.15,35.49,11.15
132,12.28,13.15,27.36,36.27,10.93
133,11.32,12.28,27.99,38.29,10.12
134,10.26,11.25,28.88,40.13,9.48
135,9.39,10.03,30.3,41.46,8.81
136,8.8,9.13,30.96,42.81,8.3
137,40.14,30.15,8.93,8.47,12.31
138,38.6,29.74,10.18,9.15,12.32
139,36.7,28.66,11.11,10.64,12.89
140,34.74,28.26,11.73,11.62,13.65
141,33.12,27.41,13.12,12.69,13.66
142,31.24,26.1,13.96,14.71,13.99
143,28.8,25.49,15.79,16.0,13.92
144,26.92,23.91,16.87,18.31,13.99
145,24.81,23.47,18.53,19.41,13.78
146,23.31,21.72,19.46,21.55,13.96
