Folder,Element,MinIndex,MaxIndex
0010272,Ag,114,178
0010272,Au,220,23
0010272,Pd,94,278
0010275,Ag,114,220
0010275,Au,220,74
0010275,Pd,39,295
0010275,Pt,74,335
0010275,Rh,323,0
0010304,Au,260,74
0010304,Pd,24,278
0010304,Pt,10,324
0010304,Rh,278,24
0010311,Au,199,135
0010311,Pd,11,323
0010311,Pt,23,324
0010311,Rh,295,56
0010311,Ru,340,4
0010374,Ru,156,220
0010374,Rh,323,0
0010374,Pd,0,278
0010374,Ir,220,55
0010374,Pt,10,336
0010399,Au,295,39
0010399,Cu,56,278
0010399,Pd,260,74
0010399,Pt,10,324
0010402,Ag,135,220
0010402,Au,341,0
0010402,Pd,260,114
0010402,Pt,1,341
0010403,Ag,198,220
0010403,Au,295,0
0010403,Cu,56,278
0010403,Pd,279,55
0010403,Pt,10,335
