index,Composition,Similarity_to_Resistance,SourceFile,Folder
55,Ag16.87Au41.47Pd41.66,0.3717805,0010272_Ag-Au-Pd_EDX.csv,0010272
74,Ag15.62Au40.60Pd43.77,0.37176457,0010272_Ag-Au-Pd_EDX.csv,0010272
38,Ag19.20Au42.16Pd38.65,0.37166494,0010272_Ag-Au-Pd_EDX.csv,0010272
93,Ag16.01Au39.22Pd44.77,0.37164676,0010272_Ag-Au-Pd_EDX.csv,0010272
73,Ag18.24Au39.63Pd42.12,0.371605,0010272_Ag-Au-Pd_EDX.csv,0010272
1,Ag23.56Au23.64Pd8.31Pt5.21Rh39.28,0.43674016,0010275_Ag-Au-Pd-Pt-Rh_EDX.csv,0010275
0,Ag26.07Au21.51Pd7.66Pt5.34Rh39.42,0.43640536,0010275_Ag-Au-Pd-Pt-Rh_EDX.csv,0010275
12,Ag27.13Au20.76Pd7.69Pt6.02Rh38.40,0.43581396,0010275_Ag-Au-Pd-Pt-Rh_EDX.csv,0010275
11,Ag28.80Au19.23Pd7.23Pt5.98Rh38.76,0.43568665,0010275_Ag-Au-Pd-Pt-Rh_EDX.csv,0010275
24,Ag31.30Au16.53Pd7.16Pt6.54Rh38.47,0.43533722,0010275_Ag-Au-Pd-Pt-Rh_EDX.csv,0010275
94,Au15.85Pd10.60Pt15.71Rh57.85,0.47708797,EDX_0010304_Au-Pd-Pt-Rh_asdepo_onTa.csv,0010304
115,Au15.65Pd12.33Pt17.61Rh54.41,0.4760945,EDX_0010304_Au-Pd-Pt-Rh_asdepo_onTa.csv,0010304
136,Au16.22Pd12.63Pt19.29Rh51.86,0.47561306,EDX_0010304_Au-Pd-Pt-Rh_asdepo_onTa.csv,0010304
178,Au15.25Pd14.88Pt22.89Rh46.97,0.4744916,EDX_0010304_Au-Pd-Pt-Rh_asdepo_onTa.csv,0010304
75,Au17.53Pd11.26Pt14.57Rh56.64,0.47441646,EDX_0010304_Au-Pd-Pt-Rh_asdepo_onTa.csv,0010304
11,Au16.73Pd7.53Pt7.90Rh42.66Ru25.19,0.5204648,EDX_0010311_Au-Pd-Pt-Rh-Ru_asdepo_onTa.csv,0010311
0,Au17.84Pd8.21Pt6.45Rh40.62Ru26.88,0.52009284,EDX_0010311_Au-Pd-Pt-Rh-Ru_asdepo_onTa.csv,0010311
24,Au15.44Pd8.19Pt8.70Rh43.83Ru23.83,0.51959074,EDX_0010311_Au-Pd-Pt-Rh-Ru_asdepo_onTa.csv,0010311
39,Au14.01Pd8.64Pt10.01Rh45.21Ru22.13,0.5186981,EDX_0010311_Au-Pd-Pt-Rh-Ru_asdepo_onTa.csv,0010311
1,Au19.46Pd8.67Pt6.00Rh39.02Ru26.85,0.5178774,EDX_0010311_Au-Pd-Pt-Rh-Ru_asdepo_onTa.csv,0010311
9,Ru11.30Rh31.90Pd11.10Ir38.40Pt7.30,0.59664965,edx_cleaned.csv,0010374
23,Ru10.00Rh26.30Pd13.40Ir43.40Pt6.90,0.5959833,edx_cleaned.csv,0010374
10,Ru9.80Rh29.70Pd12.70Ir40.90Pt6.80,0.5948702,edx_cleaned.csv,0010374
22,Ru11.20Rh28.20Pd13.20Ir40.30Pt7.00,0.59444475,edx_cleaned.csv,0010374
8,Ru12.80Rh33.10Pd11.20Ir35.30Pt7.60,0.5938132,edx_cleaned.csv,0010374
279,Au22.26Cu12.25Pd13.06Pt52.42,0.41462538,EDX_0010399_Au-Cu-Pd-Pt_asdepo.csv,0010399
260,Au26.38Cu12.09Pd12.27Pt49.26,0.41203153,EDX_0010399_Au-Cu-Pd-Pt_asdepo.csv,0010399
261,Au24.82Cu12.11Pd14.09Pt48.97,0.41173577,EDX_0010399_Au-Cu-Pd-Pt_asdepo.csv,0010399
241,Au28.49Cu10.92Pd14.09Pt46.50,0.41171813,EDX_0010399_Au-Cu-Pd-Pt_asdepo.csv,0010399
311,Au17.04Cu14.69Pd13.50Pt54.76,0.41169327,EDX_0010399_Au-Cu-Pd-Pt_asdepo.csv,0010399
341,Ag22.05Au7.69Pd19.83Pt50.43,0.43395334,0010402_Ag-Au-Pd-Pt_EDX.csv,0010402
338,Ag26.29Au9.60Pd14.03Pt50.07,0.4329955,0010402_Ag-Au-Pd-Pt_EDX.csv,0010402
339,Ag24.61Au8.98Pd16.72Pt49.69,0.43294948,0010402_Ag-Au-Pd-Pt_EDX.csv,0010402
340,Ag23.53Au9.06Pd17.97Pt49.44,0.43290204,0010402_Ag-Au-Pd-Pt_EDX.csv,0010402
334,Ag18.96Au7.87Pd25.22Pt47.94,0.4318578,0010402_Ag-Au-Pd-Pt_EDX.csv,0010402
260,Ag40.96Au18.67Cu12.18Pd7.17Pt21.01,0.37291953,EDX_0010403_Ag-Au-Cu-Pd-Pt_asdepo.csv,0010403
296,Ag36.34Au14.98Cu15.68Pd8.13Pt24.86,0.37210965,EDX_0010403_Ag-Au-Cu-Pd-Pt_asdepo.csv,0010403
242,Ag39.05Au19.89Cu12.56Pd8.25Pt20.25,0.37177795,EDX_0010403_Ag-Au-Cu-Pd-Pt_asdepo.csv,0010403
220,Ag42.12Au22.23Cu10.50Pd7.29Pt17.86,0.3717328,EDX_0010403_Ag-Au-Cu-Pd-Pt_asdepo.csv,0010403
279,Ag38.83Au16.92Cu14.43Pd6.92Pt22.91,0.3714375,EDX_0010403_Ag-Au-Cu-Pd-Pt_asdepo.csv,0010403
