Unnamed: 0.1,Unnamed: 0,eid,doi,title,year,citedby_count,cache_file_mdate,abstract
3862,2-s2.0-85146874670,2-s2.0-85146874670,10.1051/e3sconf/202235001014,Research on Synthesis of Feco@N-C and Activation Persulfate,2022,0,2024-12-19 14:55:24,xrd pattern show eight characteristic diffraction peak include cofe2o4 co fe o diffraction absorption peak ft ir infer c ncn co h functional group may exist sem observe surface morphology synthetic material fe co successfully load synthetic material activation effect feco n c activator ps significantly improve decoloration removal rate reach 81.66 min high ps alone feco n c activator good ph temperature adaptability feco n c activator could promote production free radical degrade oii efficiently
9372,2-s2.0-85104117588,2-s2.0-85104117588,10.1016/j.apcata.2021.118117,Synthesis of metallic nanoparticles for heterogeneous catalysis: Application to the Direct Borohydride Fuel Cell,2021,12,2024-12-19 16:07:46,electrocatalyst base metal metal oxide use today limited complexity synthesis process require several step deposit catalyst substrate herein describe chemical synthesis process consist single step synthesis direct deposition catalyst nanoparticle gold au palladium pd platinum pt thickness carbon fiber base porous transport layer ptl synthesis process essentially consist dissolve pgmea propylene glycol methyl ether acetate solvent metal precursor haucl4 h au cl pdno2 pd n o ptcl4 pt cl homopolymer pmma polymethylmetacrylate metal solution deposit surface ptl clean special emphasis make pt base material obtain ptl support nanoparticle firstly characterize scan electron microscopy sem evaluate morphology x ray diffraction xrd observe crystal phase validate methodology pt coat ptl material use anode borohydride oxidation reaction bor direct borohydride fuel cell dbfc compare state art nickel electrode optimum loading platinum 0.16 mg pt cm2 constitute good compromise power density faradic efficiency borohydride oxidation reaction bor thank low pt loading hydrogen evolve anodic reaction completely valorize electrode combine advantage high performance low metal loading hence lower materialscost
2020,2-s2.0-85135686606,2-s2.0-85135686606,10.1002/anie.202206915,Constructing Interfacial Boron-Nitrogen Moieties in Turbostratic Carbon for Electrochemical Hydrogen Peroxide Production,2022,48,2024-12-19 14:30:52,angewandte chemie international edition publish wiley vch gmbh.the electrochemical oxygen reduction reaction orr provide green route decentralize h2o2 h o synthesis structureselectivity relationship pivotal control highly selective active two electron pathway report fabrication boron nitrogen co dope turbostratic carbon catalyst tunable bnc configuration cnb zil assistance zwitterionic liquid zil electrochemical hydrogen peroxide production combine spectroscopic analysis reveal fine tailor bn moiety cnb zil interfacial bn specie homogeneous distribution tend segregate hexagonal boron nitride domain high pyrolysis temperature base experimental observation correlation interfacial bn moiety ho2− h o selectivity establish cnb zil electrocatalyst optimal interfacial bn moiety exhibit high ho2− h o selectivity small overpotential alkaline medium give ho2− h o yield ≈1787 mmol gcatalyst−1 h−1 −1.4 v flow cell reactor
8517,2-s2.0-85112622127,2-s2.0-85112622127,10.3390/catal11080947,"Functionalized and platinum-decorated multi-layer oxidized graphene as a proton, and electron conducting separator in solid acid fuel cells",2021,2,2024-12-19 15:56:01,licensee mdpi basel switzerland.in present article electrode contain composite platinum top plasma oxidize multi layer graphene film investigate model electrode combine exceptional high platinum utilization high electrode stability graphene thereby act separator phosphate base electrolyte platinum catalyst electrochemical impedance measurement humidify hydrogen 240 ◦ c show area normalize electrode resistance 0.06 ωcm−2 platinum loading ∼60 µgptcm−2 result outstanding mass normalize activity almost smgpt−1 smg pt exceed even state art electrode present platinum decorate graphene electrode enable stable operation h non optimize degradation rate 0.15 h−1 whereas electrode similar design without graphene separator prone fast degradation present result propose efficient way stabilize solid acid fuel cell electrode provide valuable insight degradation process essential electrode optimization
2918,2-s2.0-85135072605,2-s2.0-85135072605,10.3389/fphy.2022.859985,Facile Fabrication of Single-Layer Janus Membrane for Underwater Bubble Unidirectional Transport,2022,1,2024-12-19 14:42:56,although progress preparation janus membrane unidirectional penetration still remain great difficulty facile fabrication two dimensional janus membrane large pore structure stable bubble unidirectional transport water herein signal layer janu membrane superwetting fabricate via method liquid regulate hydrophobic modification strategy resultant janus mesh achieve underwater unidirectional penetration namely underwater bubble pass unidirectionally superhydrophobic side hydrophilic side block pass opposite direction thus janus membrane unidirectional underwater bubble penetration diode performance believe work promote development multi dimensional janus material fluid directional transport
6286,2-s2.0-85121431254,2-s2.0-85121431254,10.3390/catal12010006,"Enhanced electrocatalytic activity of cobalt-doped ceria embedded on nitrogen, sulfur-doped reduced graphene oxide as an electrocatalyst for oxygen reduction reaction",2022,12,2024-12-19 15:27:23,licensee mdpi basel switzerland.n dope rgo successfully synthesize embed co dope ceo2 ce o via hydrothermal synthesis crystal structure surface morphology elemental composition prepare catalyst study xrd raman spectra sem tem xps analyse synthesized electrocatalyst exhibit high onset halfwave potential orr result show combination n dope rgo co dope ceo2 ce o lead synergistic effect catalyz ing orr alkaline medium coceo2 co ce o n srgo display enhance orr performance compare bare ceo2 ce o superior stability prepare catalyst imply potential application beyond fuel cell metalair battery
9302,2-s2.0-85104510996,2-s2.0-85104510996,10.1002/aenm.202100070,Monolithic Photoelectrochemical CO2 Reduction Producing Syngas at 10% Efficiency,2021,31,2024-12-19 16:06:43,ideally pec approach sustain use sunlight water co2 c o energetic reactant input however low peak conversion efficiency make commercialization fully integrate pec device prohibitive cm2 monolithic pec device exceed solar fuel efficiency principal fuel product carbon monoxide hydrogen report correspond solar co solar h2 h efficiencie 3.5 respectively screen range operating condition reveal tunable product mixture h2 h co use gold electrocatalyst accordingly show device optimization yield h2 h co ratio 1:2 commonly present synthesis gas syngas notably modularity facile fabrication device permit incorporation broad array material various application example electrocatalyst may easily swap target different set product
6191,2-s2.0-85123120233,2-s2.0-85123120233,10.3390/bios12010026,Electroanalysis of Fentanyl and Its New Analogs: A Review,2022,12,2024-12-19 15:26:07,licensee mdpi basel switzerland article open access article distribute term condition creative common attribution cc license https creativecommons.orglicensesby 4.0/ .the review describe fentanyl analogs new synthetic opioid possibility identification determination use electrochemical method e.g. voltammetry potentiometry electrochemiluminescence electrochemical method combine various separation method review also cover analysis new synthetic opioids parent compound correspond metabolite body fluid urine blood serum plasma necessary fast accurate diagnosis intoxication identify quantify addictive illicit substance metabolite necessary clinical toxicological forensic purpose reaction grow number new synthetic opioid intoxication increase fatality observe past ten year provide thorough background develop new biosensor screen print electrode point care device
4066,2-s2.0-85128643237,2-s2.0-85128643237,10.1002/adma.202110103,Electronic Structure Engineering of Single-Atom Ru Sites via Co–N4 Sites for Bifunctional pH-Universal Water Splitting,2022,273,2024-12-19 14:58:10,advanced material publish wiley vch gmbh.the development bifunctional water split electrocatalyst efficient stable wide range ph great significance challenge atomically disperse ruco dual site catalyst report anchor n dope carbon ruconc outstanding oxygen evolution reaction oer hydrogen evolution reaction acidic alkaline electrolytes ruconc catalyst require overpotential mv mv oer deliver current density cmgeo−2 0.5 h2so4 h s o koh respectively outperform benchmark catalyst ptc ruo2 ru o theoretical calculation reveal introduction con4 co n site ruconc efficiently modify electronic structure ru enlarging ruo covalency increase ru electron density turn optimize bonding strength oxygenhydrogen intermediate specie ru site thereby enhance oer performance furthermore incorporation con4 co n site induce electron redistribution around run4 ru n thus enhance corrosionresistance ruconc acid alkaline electrolysis ruconc apply proton exchange membrane water electrolyzer steady operation demonstrate high current density cmgeo−2 h
5483,2-s2.0-85120859029,2-s2.0-85120859029,10.1016/j.catcom.2021.106379,Bifunctional CoP electrocatalysts for overall water splitting,2022,24,2024-12-19 15:16:51,therefore important develop bifunctional electrocatalyst cheap high efficient characteristic however traditional bifunctional catalyst usually exhibit high overpotential poor stability hydrogen evolution reaction oxygen evolution reaction oer herein synthesize several kind cop nanorod catalyst facile hydrothermal method subsequent thermal phosphorization process obtain cop 1.5 product show overpotential mv cm−2 mv oer mv cm−2 koh moreover bifunctional catalyst deliver cell voltage 1.66 v cm−2
