Unnamed: 0.1,Unnamed: 0,eid,doi,title,year,citedby_count,cache_file_mdate,abstract
2873,2-s2.0-85135452623,2-s2.0-85135452623,10.3389/fchem.2022.942492,Recent progress on covalent organic framework materials as CO2 reduction electrocatalysts,2022,11,2024-12-19 14:42:20,carbon neutralization via various novel technology alleviate co2 c o level atmosphere thus become one major topic modern research field advanced technology cover co2 c o capture storage conversion etc . electrocatalytic co2 c o reduction reaction co2rr c o r r heterogeneous catalyst among promising method since could utilize renewable energy generate valuable fuel chemical covalent organic framework cof represent crystalline organic polymer highly rigid conjugate structure tunable porosity exhibit significant potential heterogeneous electrocatalyst co2rr c o r r review briefly introduce related pioneering work cof base material electrocatalytic co2rr c o r r recent year provide basis future design synthesis highly active selective cof base electrocatalyst direction
7603,2-s2.0-85117372447,2-s2.0-85117372447,10.1039/d1cy01170g,Revisiting trends in the exchange current for hydrogen evolution,2021,37,2024-12-19 15:44:45,herein focus hydrogen evolution reaction acidic medium revisit original experimental datum find fidelity kinetic model significantly improve invoke metal dependence onk0such logarithm ofk0linearly depend absolute value δgh confirm relationship use additional experimental data point obtain critical review available literature analysis show new model decrease discrepancy calculate experimental exchange current density value four order magnitude furthermore show model improve use machine learn statistical inference method integrate additional material property
8176,2-s2.0-85114287616,2-s2.0-85114287616,10.3390/catal11091083,Promotion effect of palladium on bivo4 sensing material for epinephrine detection,2021,8,2024-12-19 15:51:27,licensee mdpi basel switzerland.in study pdbivo4 pd bi v o composite prepare hydrothermal method electrochemical sensing material epinephrine x ray diffraction scan electron microscopy transmission electron microscope use characterize sample electrochemical detection system cyclic voltammetry differential pulse voltammetry apply measure concentration epinephrine solution 0.9–27.5 µm pdbivo4 pd bi v o coat glassy carbon electrode result oxidation peak current pdbivo4 / gce pd bi v o g c e demonstrate good linearity epinephrine concentration detection limit epinephrine concentration cyclic voltammetry differential pulse voltammetry 0.262 µm 0.154 µm respectively additionally propose sense material exhibit good reproducibility stability selectivity plausible sensing mechanism propose
656,2-s2.0-85136087801,2-s2.0-85136087801,10.1038/s41467-022-32601-9,Structural evolution and strain generation of derived-Cu catalysts during CO2 electroreduction,2022,104,2024-12-18 16:34:30,however origin selectivity influence catalyst precursor fully understand combine operando x ray diffraction operando raman spectroscopy monitor structural compositional evolution three cu precursor co2rr c o r r result indicate despite different kinetic three precursor completely reduce cu similar grain size ~11 nm oxidize cu specie involve co2rr c o r r furthermore cu oh cu2 cu oh 2co3 derive cu exhibit considerable tensile strain 0.43 ~0.55 whereas cuo derive cu theoretical calculation suggest tensile strain cu lattice conducive promote co2rr c o r r consistent experimental observation high co2rr c o r r performance derive cu catalyst attribute combined effect small grain size lattice strain originate situ electroreduction precursor finding establish correlation cu precursors lattice strain catalytic behavior demonstrate unique ability operando characterization study electrochemical process
7288,2-s2.0-85127368445,2-s2.0-85127368445,10.1039/d1ta08241h,High-loading metal atoms on graphdiyne for efficient nitrogen fixation to ammonia†,2021,27,2024-12-19 15:40:52,graphdiyne base atomic catalyst emerge new class promising material catalysis new graphdiyne base manganese atomic electrocatalyst mnsagdy design successfully synthesize via facile situ reduction strategy electrochemical nitrogen fixation ammonia experimental result reveal single mn atom successfully anchor highly dispersed surface gdy form catalyst determine chemical structure facilitate charge transfer capability maximize active site special characteristic provide mnsagdy high ammonia yield rate 46.78 μg h−1 mgcat.−1 faradaic efficiency 39.83 well cycling durability outperform report conventional atomic electrocatalyst heterostructure one work broaden application scope gdy base atomic catalyst demonstrate applicability field energy conversion
274,2-s2.0-85144908895,2-s2.0-85144908895,10.3390/aerospace9120799,Flight Time Optimization and Modeling of a Hybrid Gasoline–Electric Multirotor Drone: An Experimental Study,2022,5,2024-12-18 16:30:53,batteries power drone consider inadequate power source due low energy density gasoline energy dense source combine electric propulsion system gasoline engine consider paper propose novel hybrid multirotor drone design use two gasoline engine provide majority lift force four electric motors stabilize drone propulsion system characterize optimize exploit respective advantage reduce total energy consumption rate increase flight time simulation experimental result show hybrid gaselectric multirotor drone achieve three time flight time fully electric drone
1746,2-s2.0-85139813068,2-s2.0-85139813068,10.3390/ijms231911282,Carbon-Based Electrocatalyst Design with Phytic Acid—A Versatile Biomass-Derived Modifier of Functional Materials,2022,7,2024-12-19 14:23:07,carbon material employ advanced electrode catalyst increase accessibility efficient economical energy conversion storage solution base electrocatalysis particular carbon material derive biomass promise candidate replace precious metal base catalyst owe low cost anti corrosion property electrochemical durability sustainability catalytic application rational design engineering functional carbon material term structure morphology heteroatom dope crucial phytic acid derive natural abundant renewable resource represent versatile carbon precursor modifier introduce tune aforementioned property review discuss synthetic strategy prepare functional carbon material use phytic acid explore influence precursor result material physicochemical characteristic also summarize recent strategy apply improve oxygen reduction performance porous carbon material use phytic acid thereby offer guidance future design functional sustainable carbon material enhance catalytic property
4260,2-s2.0-85126901087,2-s2.0-85126901087,10.1002/cssc.202102506,Copper Carbonate Hydroxide as Precursor of Interfacial CO in CO2 Electroreduction,2022,26,2024-12-19 15:00:55,chemsuschem publish wiley vch gmbh.copper electrode especially effective catalysis c2 c multi carbon product co2 c o reduction reaction co2rr c o r r therefore major technological interest reason unparalleled cu performance co2rr c o r r insufficiently understand electrodeelectrolyte interface highlight dynamic physical chemical system determinant catalytic event exploit intrinsic surface enhance raman effect previously characterize cu foam electrode operando raman experiment use interrogate structure molecular interaction electrodeelectrolyte interface subcatalytic catalytic potential formation copper carbonate hydroxide cucarhyd detect resemble mineral malachite carbonate ion could directly convert co low overpotential experiment suggest basic mode co2 / carbonate c o reduction cu electrode interface contrast previous mechanistic model start point carbon reduction co2 c o carbonate ion bind metallic cu electrode form cucarhyd structure hypothesize cu oxides residue could enhance co2rr c o r r indirectly support formation cucarhyd motifs presence cucarhyd patch catalytic potential might result alkalization conjunction local electrical potential gradient enable formation metastable cucarhyd motif large range potential
2875,2-s2.0-85135900257,2-s2.0-85135900257,10.1021/acs.jpcc.2c01107,Oxygen and Proton Transport in Flooded Graphene Pores with N-Dopants and Defects,2022,2,2024-12-19 14:42:21,oxygen reduction reaction catalyze ptc proton exchange membrane fuel cell cathode o2 o h delivery pt surface h2o h o transport away require pt nanoparticle may accessible via micropore small ionomer molecule enter possibly require flood h transport test bury pt particle play role activity propose transport mechanism perform atomic scale simulation base reactive force field molecular dynamic emphasis confinement å . diffusion coefficient function molar concentration local environment evaluate water domain confine two dimensional graphene nanochannel various channel height represent morphological model micropore proton exchange fuel cell cathode study show local atomic scale structure strongly modify h o2 o h2o h o transport rate flood micropore less å size find critical crossover diffusion behavior around å space large pore bulk like diffusion property confinement å monotonically decrease diffusion rate pore size decrease observe locally disperse water region ultimately strand reactant long distance transport finding suggest flood micropore may fact viable transport pathway relevant reactant product pore wall opposite side remain separated ≥10 å separation furthermore confinement effect strong n doping c vacancy defect c pore wall minimal impact diffusion rate effect counterintuitively apparent large spacing finding provide valuable insight regard cathode performance role strand catalyst particle may play fuel cell cathode
3761,2-s2.0-85131803014,2-s2.0-85131803014,10.3389/fbioe.2022.895107,Oriented Growth of Neural Stem Cell–Derived Neurons Regulated by Magnetic Nanochains,2022,5,2024-12-19 14:53:53,owe anisotropy nervous system newly derive neuron need functional integrity also orient growth contact partner cell establish functional connection orient growth newly derive neuron key factor neural stem cellbase nerve regeneration nowadays various biomaterial apply assist orient growth neural stem cellderive neuron however among biomaterial magnetic material apply guide neuronal growth still few material fiber work develop magnetic nanochain guide orient growth neural stem cellderive neuron guidance magnetic nanochain seed neural stem cell exhibit good arrangement neural stem cellderive neuron show well orient growth orientation nanochain anticipate magnetic nanochain would huge potential stem cellbase nerve regeneration
